Course ID,Course Name,Credit Count,Prerequisites,Diversity Group,General Education Goal,Course Description
ART 110,Drawing Foundations,3,,,,Introduction to traditional drawing techniques and concepts.
ART 275,Introduction to Photography,3,,,,"Introduction to the techniques and expressive potential of both digital and darkroom photography. Topics include basic camera controls, lighting, composition, editing, and fine art printing in the digital lab and darkroom. A digital camera with manual controls of aperture and shutter speed is required for part of the semester."
ANTH 491,Archaeology Laboratory,3-Jan,,,,"An introduction to archaeological laboratory techniques and museological practice, through participation in the various processes involved."
ANTH 492,Biological Anthropology Lab,3-Jan,Consent,,,Guided advanced laboratory work in biological/physical anthropology.
ANTH 493,Ethnology Lab,3-Jan,Consent,,,Individual projects are done in close coordination with a faculty member.
CHEM 104,Introduction to Chemistry,3,,,,", CHEM 106, CHEM 111, or"
CHEM 106,Chemistry of Life Process Part I (General),3,High school algebra recommended,,,", CHEM 111, or"
CHEM 111,Chemistry of Life Process Part II (Organic & Biochemistry),5,CHEM 106 or high school chemistry,,,", or"
BIOL 105,General Biology I,4,,,,"W, BIOL 106,"
BIOL 106,General Biology II,4,,,,","
BIOL 431,Comparative Animal Physiology,3,"BIOL 105, BIOL 106 or consent",,,", BIOL 441,"
BIOL 441,Plant Physiology,4,"BIOL 105, BIOL 106, BIOL 217, one semester organic",,,","
CDIS 402,Child Language Disorders,2,,,,". Practice in applying course content to the language of children. CDIS 404 Deaf Studies: Deaf Culture, History and Social"
CDIS 320,Beginning and Intermediate Audiometrics,2,,,,course.
CHEM 201,General Chemistry I,5,“C” (2.0) or higher in MATH 112 or the equivalent; high,,,. Credit will not be given to students who have previously taken a chemistry course at or above Chem 111 and received a passing grade.
MATH 115,Precalculus Mathematics,4,"Satisfy Math Placement Table in this section, or grade of P in",,,in the placement chart. See Mathematics for details.
CHEM 324,Organic Chemistry II,3,CHEM 322 with a “C” (2.0) or higher.,,,3 credits
CHEM 445,Physical Chemistry I,4,"MATH 121, PHYS 211, CHEM 305",,,". An advanced treatment of measurement theory and data analysis precedes a series of thermodynamic and kinetic experiments designed to complement topics treated in lecture to help students’ independence and sophistication in planning, performing, and reporting experimental work. CHEM 451 Physical Chemistry Laboratory II 1 credit Laboratory to accompany CHEM 446. Experiments and computational projects in quantum mechanics, spectroscopy, and statistical mechanics. The experiments and projects will continue to work toward the goal of increasing the students’ independence and sophistication. Prereq: “C” (2.0) or better in CHEM 445; pre or coreq: CHEM 446"
CHEM 465,Biochemical Techniques I,2,Concurrent registration in CHEM 460 or completion of,,,is recommended. higher in all prerequisites.
CHEM 305,Analytical Chemistry,4,“C” (2.0) or higher in CHEM 202,,,is highly recommended.
CHEM 460,Biochemistry I,3,"BIOL 106, CHEM 324. BIOL 106 or permission “C” (2.0) or",,,with “C” or higher. CHEM 305 is highly recommended.
CIS 121,Introduction to Programming,4,MATH 112 or MATH 113 or MATH 115 or MATH 121,,,". Students develop a basic knowledge of programming skills and object-oriented concepts, and use fundamental data structures such as lists, stacks, queues, and trees. 115, MATH 121, or MATH 130"
MATH 121,Calculus I,4,"Satisfy Placement Table in this section, MATH 115 or both",,,", or MATH 130"
MATH 130,Finite Mathematics and Introductory Calculus,4,"Satisfy Placement Table in this section, or grade of “C” (2.0)",,,
CIS 380,Systems Analysis and Design,4,CIS 340. Select One Course: CIS 122 or CIS 123,,,4 credits
CIVE 321,Fluid Mechanics,3,ME 214. Select one: ME 241 or ME 299,,,"or ME 321 CIVE 370W Introduction to Transportation systems; land use and transportation interaction, planning, and traffic operations; transportation decision making using economic analysis. Introduction to design, construction, maintenance, and operation of various transportation modes. Includes significant design component."
ME 321,Fluid Mechanics,3,"MATH 223, ME 214",,,"CIVE 370W Introduction to Transportation systems; land use and transportation interaction, planning, and traffic operations; transportation decision making using economic analysis. Introduction to design, construction, maintenance, and operation of various transportation modes. Includes significant design component."
POL 454,Civil Liberties,4,,,,
POL 475,Judicial Process,4,,,,
CM 220,Construction Materials and Methods II,3,CM 210,,,3 credits
CS 495,Computer Science Seminar,1,Admission to major.,,,". CS 391W Students learn and practice the essential elements of computer science through research, classical problem or industry project implementation: scoping, modeling, experimentation, analysis, modern tools, creativity, business plans, and global/societal/environmental impacts. Students learn and develop the elements of professionalism while operating in project teams. Topics include leadership, metacognition, teamwork, written and oral communication, ethics and professional and personal responsibility. Course must be taken concurrently with CS 495."
CS 306,Network Architectures,2,CIS 223 and CIS 224 or EE 234,,,. Prerequisite: Admission to Major or Permission
CS 391,Computer Science Project 1,4,CIS 223 and MATH 280,,,W/392W to bring their research or project implementation and leadership to that expected of contributing computer scientists in industry or research. Course must be taken concurrently with CS 495. CS 491W The first in a two-semester sequence of capstone design. Students build on the experience gained in CS 391W/392W to bring their research or project implementation and leadership to that expected of contributing computer scientists in industry or research. Course must be taken concurrently with CS 495.
CS 435,Topics in Intelligent Systems,2,,,,", CS 440, CS 445, CS 450, CS 465, CS 470, CS 480, or CS 485) CS 492W The second in a two-semester sequence of capstone design and the fourth project class overall. Students build on the experience gained in CS 391W/392W to bring their research or project implementation and leadership to that expected of contributing computer scientists in industry or research. Expectations include public presentation of project work, patent applications, and/or plan for commercialization of project. Course must be taken concurrently with CS 495. 420, CS 435, CS 440, CS 445, CS 450, CS 465, CS 470, CS 480, or CS 485)"
CS 440,Topics in Information Management,2,,,,", CS 445, CS 450, CS 465, CS 470, CS 480, or CS 485) CS 492W The second in a two-semester sequence of capstone design and the fourth project class overall. Students build on the experience gained in CS 391W/392W to bring their research or project implementation and leadership to that expected of contributing computer scientists in industry or research. Expectations include public presentation of project work, patent applications, and/or plan for commercialization of project. Course must be taken concurrently with CS 495. 420, CS 435, CS 440, CS 445, CS 450, CS 465, CS 470, CS 480, or CS 485)"
CS 445,Topics in Information Assurance and Security,2,,,,", CS 450, CS 465, CS 470, CS 480, or CS 485) CS 492W The second in a two-semester sequence of capstone design and the fourth project class overall. Students build on the experience gained in CS 391W/392W to bring their research or project implementation and leadership to that expected of contributing computer scientists in industry or research. Expectations include public presentation of project work, patent applications, and/or plan for commercialization of project. Course must be taken concurrently with CS 495. 420, CS 435, CS 440, CS 445, CS 450, CS 465, CS 470, CS 480, or CS 485)"
CS 450,Topics in Computational Science,2,,,,", CS 465, CS 470, CS 480, or CS 485) CS 492W The second in a two-semester sequence of capstone design and the fourth project class overall. Students build on the experience gained in CS 391W/392W to bring their research or project implementation and leadership to that expected of contributing computer scientists in industry or research. Expectations include public presentation of project work, patent applications, and/or plan for commercialization of project. Course must be taken concurrently with CS 495. 420, CS 435, CS 440, CS 445, CS 450, CS 465, CS 470, CS 480, or CS 485)"
