Course Number,Course Name,Credit Count,Prerequisites,Color Group
200 2024-2025,Undergraduate,Catalog,N/A,N/A
ACCT 200,Financial Accounting,3,N/A,N/A
Prerequisites: MATH,112 or MATH 115 or MATH 121 or MATH,130,N/A,N/A
Prerequisites: MATH,112 or MATH 115 or MATH 121 or MATH,130,N/A,N/A
ACCT 210,Managerial Accounting,3,N/A,N/A
ACCT 210,Managerial Accounting,3,N/A,N/A
ACCT 220,Accounting Cycle Applications,1,N/A,N/A
ACCT 220,Accounting Cycle Applications,1,N/A,N/A
ACCT 300,Intermediate Financial Accounting I,3,N/A,N/A
ACCT 300,Intermediate Financial Accounting I,3,N/A,N/A
ACCT 301,Intermediate Financial Accounting II,3,N/A,N/A
A continuation,of Accounting 300. An in-depth analysis,of,N/A,N/A
A continuation,of Accounting 300. An in-depth analysis,of,N/A,N/A
ACCT 310,Management Accounting I,3,N/A,N/A
Prerequisites: ACCT,"200,",ACCT,N/A,N/A
ACCT 320,Accounting Analytics and Information Systems,3,N/A,N/A
ACCT 330,(3.00) Individual Income Tax,3,N/A,N/A
Prerequisites: ACCT,"200,",ACCT,N/A,N/A
ACCT 398,CPT: Co-Operative Experience,0,Permission of the Chairperson of the department; co-op,N/A
ACCT 400,Advanced Financial Accounting,3,N/A,N/A
ACCT 400,Advanced Financial Accounting,3,N/A,N/A
ACCT 410,Business Income Tax,3,N/A,N/A
Prerequisites: ACCT,"300,",ACCT,N/A,N/A
ACCT 421,Assurance Services I,3,N/A,N/A
ACCT 421,Assurance Services I,3,N/A,N/A
ACCT 492,Study Tour,1-3,N/A,N/A
ACCT 497,Internship,1-6,N/A,N/A
ACCT 499,Individual Study of Accounting,1-4,N/A,N/A
GERO 200,Family Dynamics of Aging,3,N/A,Gold
www.mnsu.edu 2024-2025,Undergraduate,Catalog,N/A,N/A
GERO 200W,(3.00) Family Dynamics of Aging,3,N/A,Gold
GERO 398,CPT: Co-Operative Experience,0,N/A,N/A
