Course ID,Course Name,Credit Count,Prerequisites,Diversity Group,General Education Goal,Course Description
GERO 200W,(3.00) Family Dynamics of Aging,3,N/A,Gold,N/A,"This course will answer the question “Why should I care about getting old when I am young?” through an exploration of the life course perspective, service-learning opportunities, and written reflection and exploration."
Prerequisites: At,least,60,N/A,N/A,N/A,permission; co-op contract; other prerequisites may also apply.
AIS 210W,Oral Traditions,3,N/A,Purple,N/A,Oral traditions are at the base of all American Indian cultures. This class will provide students with the necessary tools for a better understanding of traditional knowledge and its importance within diverse traditional cultures.
AIS 220W,Introduction to Tribal Sovereignty,3,N/A,Purple,N/A,"Course introduces students to the legal side of being American Indian. Politics and policies will be examined to show how a contemporary native experience is shaped through American courts, Presidential chambers, and Native activist movements."
AIS 230W,American Indians of Minnesota,3,N/A,N/A,N/A,This course will provide overview of Minnesota Indian nations and their relations to each other and the effects of European incursion. Subsequent relations will focus on the US-Dakota war and its aftermath. Diverse Cultures: Purple
AIS 240W,American Indian Women,3,N/A,N/A,N/A,Being American Indian and being woman creates a unique situation for women who have been directly influenced by the differences of gender roles from two intersecting cultures. This course will focus on how those differences have affected American Indian Women. Diverse Cultures: Purple
AIS 300W,American Indian Leaders,3,N/A,Purple,N/A,"Examines leadership prior to European colonization, the overlap of Indian and colonial leadership, contemporary governmental leadership, and contemporary tribal leadership. Define what is and is not leadership and examine characteristics of individuals deserving the title of leader among American Indians."
Prerequisites: At,least,60,N/A,N/A,N/A,permission; co-op contract; other prerequisites may also apply.
ANTH 250W,Portraits of Culture,4,N/A,Purple,N/A,"Survey of human cultures through a variety of classic and contemporary anthropological writing and film. Students write weekly reflections. Written work is shared, discussed, and revised. ANTH 260 Vampires, Werewolves, and Zombies: Folklore"
Prerequisites: At,least,60,N/A,N/A,N/A,permission; co-op contract; other prerequisites may also apply.
ANTH 421W,"Health, Culture, and Disease",4,N/A,N/A,N/A,"Cross-cultural examination of healing traditions, health beliefs and the impact of social, economic and political factors on the health of peoples in different cultures around the world and among diverse ethnic groups within culturally plural societies, including the United States. Diverse Cultures: Purple"
ANTH 425W,Anthropology of Death,4,N/A,N/A,N/A,"The biological and cultural aspects of death, as seen anthropologically, are the focus of this course. Mortuary behavior, ritual, and treatment of the human body will be addressed both temporally and cross-culturally."
ANTH 436W,Anthropology of Aging,4,"ANTH 101, ANTH 230, or ANTH 220, or consent",Purple,N/A,"A cross-cultural examination of the aging process, status, and treatment of elders around the world."
ANTH 438W,Anthropological Theory,4,N/A,N/A,N/A,Examination of the intellectual history of anthropology from its nineteenth century roots to today’s current theoretical trends. Students will learn about the major schools of thought in anthropological theory and practice critical examination of their applications.
ANTH 443W,People and Cultures of East Asia,4,N/A,N/A,N/A,"Survey of East Asian cultural region. Cultural diversity, change and continuity examined in China, Japan and Korea through institutions and cultural settings. Focus includes how modern East Asian societies face internal social changes and their changing international status. Diverse Cultures: Purple"
AOS 380W,Applied Leadership Workshop,2,N/A,N/A,N/A,"The focus in this course is on critical thinking, decision-making, and leadership in contemporary organizational environments. The course also explores the concept of followership and power distribution, and organizational adaptation due to technological and global economic change. Students will also participate in an applied research project in an approved organization of choice."
ART 265W,Art As Politics,3,N/A,N/A,N/A,"This course analyzes relationships between art and politics from ancient times through today, exploring uses of art from persuasion to overt propaganda in visual arts and architecture. It will deal with diverse cultures, covering material from a global perspective. ART 270 Printmaking: Beginning Silkscreen and"
ART 477W,Roots of Modern Islamic Art,3,N/A,Purple,N/A,"Investigation of developments in sacred and secular art and architecture in various regions of the world, exploring themes such as nationbuilding, modernization vs. tradition, post colonialism among others, since the 19th century."
AST 115W,Life in the Universe,2,N/A,N/A,N/A,The probability of extraterrestrial intelligent life; the chemical basis of life; planetary environments; habitable zones; the Drake equation; UFOs; space travel; interstellar communication; limits on technical civilizations.
AE 488W,Senior Design Project I,3,"MFE 341, AE 364, AE 387",N/A,N/A,The first of a two-course sequence where students carry out their capstone design project. Weekly meetings are scheduled where the design team carries out the tasks required for completion. Formal design presentations and research papers are presented at the end of the course. Corequisites of MFE 324 and AE 468.
AE 489W,Senior Design Project II,3,"MFE 324, AE 468, AE 488W",N/A,N/A,The second of a two-course sequence where students build upon the first semester’s work. This course culminates with the completion of the capstone project with a formal technical paper following SAE format that would be ready to be submitted for publication. Automotive Engineering Technology AET 102 Introduction to Automotive Engineering
Prerequisites: AET,102. At least,60,N/A,N/A,N/A,instructor permission; co-op contract; other prerequisites may also apply.
AET 488W,Senior Design Project I,3,"MET 341, AET 364, AET 387",N/A,N/A,"The first of a two-course sequence where students carry out their capstone design project. Weekly meetings are scheduled where the design team carries out the tasks required for completion. Formal design presentations and research papers are presented at the end of the course. Corequisites: MET 324, AET 468"
AET 489W,Senior Design Project II,3,"AET 468, AET 488W, MET 324",N/A,N/A,The second of a two-course sequence where students build upon the first semester’s work. This course culminates with the completion of the capstone project with a formal technical paper following SAE format that would be ready to be submitted for publication.
BIOL 443W,Plant Ecology,4,N/A,N/A,N/A,"Expands upon general principles of ecology to focus on the factors that regulate the distribution and abundance of plants, analysis of plant populations, dynamics of plant communities, and scientific communication. Lecture and lab (fieldwork) included. (Taking BIOL 217 is strongly recommended before taking this class.)"
CAHN 101W,The Health Care Professions,3,N/A,N/A,N/A,This interdisciplinary course is designed to introduce students to health careers and related professions. It is a writing intensive course preparing students to become effective communicators within the context of health care settings. Chemistry
registration attempt.,In order for CHEM,498,N/A,N/A,N/A,
CIVE 370W,Transportation Engineering,4,"CIVE 145, ME 291",N/A,N/A,"Introduction to Transportation systems; land use and transportation interaction, planning, and traffic operations; transportation decision making using economic analysis. Introduction to design, construction, maintenance, and operation of various transportation modes. Includes significant design component."
Prerequisites: CIVE,201. At least,60,N/A,N/A,N/A,instructor permission; co-op contract; other prerequisites may also apply.
CIVE 401W,Civil Engineering Design I,2,"ENG 271W, CIVE 340, CIVE 350, CIVE 360, CIVE 370W",N/A,N/A,"Practical civil engineering design project with real world constraints. This course focuses on the planning and formulation of a project, and the presentation of preliminary findings to the public. Includes significant design component."
CIVE 402W,Civil Engineering Design II,3,CIVE 401W,N/A,N/A,"Practical civil engineering design project with real world constraints. Focuses on the engineering analysis, design, and economic analysis of the project. Includes significant design component. Students will prepare for and complete the Fundamentals of Engineering exam."
CIVE 478W,Transportation Asset Management,3,CIVE 370W,N/A,N/A,"Engineering management techniques for maintaining and managing infrastructure assets. Systematic approach to management through value engineering, engineering economics, and life cycle cost analysis. Selection and scheduling of maintenance activities. Analysis of networkwide resource needs. Project level analysis. Transportation Asset Management Plans. Includes significant design component. CIVE 481 Water & Wastewater Treatment, Collection &"
COMM 105W,Interpersonal Communication,4,N/A,N/A,N/A,A course blending theory and practice to help individuals build effective relationships through improved communication.
COMM 221W,Media Writing Fundamentals,4,N/A,N/A,N/A,Basic techniques of gathering information and writing readable and accurate media stories.
COMM 325W,Reporting and Editing,4,N/A,N/A,N/A,"Discussion of and practice in reporting about public affairs and social issues, plus examination of copy editing and headline writing for traditional and new media."
COMM 330W,Multimedia Storytelling,4,N/A,N/A,N/A,"Creation of photo, audio, video, and written content for multi-platform distribution. Includes critical consideration and application of content creation tools, social media management tools, and legal and ethical issues."
COMM 434W,Public Relations Writing,4,N/A,N/A,N/A,"Practical skill in the development of public relations writing including news releases, brochures, public service announcements, pitch letters, annual reports."
COMM 436W,Specialized Writing,4,N/A,N/A,N/A,"In this advanced nonfiction writing course, students will analyze examples of professional media writing and employ techniques to create a portfolio of persuasive, informative, and personal writing for a variety of media markets."
CDIS 350W,Interprofessional Practice and Research,3,N/A,N/A,N/A,This course will explore interprofessional practice and research design with emphasis related to the areas of allied health and nursing sciences and disciplines. Basic overview of research methodologies commonly utilized in health sciences and approaches to interprofessional research will be explored through review of original research. Students will be required to produce and revise scientific writing with specific focus on interprofessional studies. Team-based problem centered research questions will be developed and investigated using various research methodology and interprofessional practice best standards with current health-related issues.
CIS 202W,Computers in Society,4,N/A,N/A,N/A,"Students prepare written summaries and oral presentations related to the complex social and ethical issues associated with computers. Through thoughtful questions, informative readings, and the analysis of opposing viewpoints, participants gain insight into the complexity of technologyrelated issues in a world without clearly defined borders."
CS 201W,Artificial Intelligence & Science Fiction,4,N/A,N/A,N/A,"Course will explore the interplay between science fiction (1950s-present) and the development of artificial intelligence. Turing tests, agents, senses, problem solving, game playing, information retrieval, machine translation robotics, and ethical issues. Variable"
CS 391W,Computer Science Project,1,CIS 223 and MATH 280,N/A,N/A,"Students learn and practice the essential elements of computer science through research, classical problem or industry project implementation: scoping, modeling, experimentation, analysis, modern tools, creativity, business plans, and global/societal/environmental impacts. Students learn and develop the elements of professionalism while operating in project teams. Topics include leadership, metacognition, teamwork, written and oral communication, ethics and professional and personal responsibility. Course must be taken concurrently with CS 495."
CS 392W,Computer Science Project,2,CS 391W,N/A,N/A,"Students further learn and practice the essential elements of computer science through research, classical problem or industry project implementation: scoping, modeling, experimentation, analysis, modern tools, creativity, business plans, and global/societal/environmental impacts. Students continue to learn and develop the elements of professionalism while operating in project teams. Topics include leadership, metacognition, teamwork, written and oral communication, ethics and professional and personal responsibility. Course must be taken concurrently with CS 495."
CS 490W,Cognitive Science Senior Capstone,4,Senior standing and successful completion of all core,N/A,N/A,Students gain experience working with a team to solve a substantial problem in the field of computer science using concepts that span several topic areas in computer science related to cognitive science. Class time focuses primarily on project design and implementation. Senior standing in the Cognitive Science major with a Computer Science Focus. requirements.
CS 491W,Computer Science Capstone,1,"CS 301, CS 302, CS 303, CS 304, CS 392W",N/A,N/A,The first in a two-semester sequence of capstone design. Students build on the experience gained in CS 391W/392W to bring their research or project implementation and leadership to that expected of contributing computer scientists in industry or research. Course must be taken concurrently with CS 495.
CS 492W,Computer Science Capstone,2,"CS 491W and (CS 306, CS 401, CS 403, CS 406, CS 410, CS",N/A,N/A,"The second in a two-semester sequence of capstone design and the fourth project class overall. Students build on the experience gained in CS 391W/392W to bring their research or project implementation and leadership to that expected of contributing computer scientists in industry or research. Expectations include public presentation of project work, patent applications, and/or plan for commercialization of project. Course must be taken concurrently with CS 495. 420, CS 435, CS 440, CS 445, CS 450, CS 465, CS 470, CS 480, or CS 485)"
CS 498W,Senior Thesis,4,Senior standing and consent,N/A,N/A,"Advanced study and research required. Topic of the senior thesis determined jointly by the student and the faculty advisor. Fall, Spring"
CW 242W,Introduction to Creative Writing,4,N/A,N/A,N/A,An introduction to writing poetry and short prose. This course does not assume previous creative writing experience on the part of the student.
CW 447W,Advanced Creative Writing,4,N/A,N/A,N/A,Revise and polish creative work into a professional portfolio with publication and presentation in mind.
CJ 332W,Peace Officer Communication Techniques,3,N/A,N/A,N/A,"The course will provide the student with a solid foundation in effective peace officer communications and prepare the student analytically for a career as a peace officer. This course also has a writing intensive requirement that involves drafting, editing, and reviewing a variety of written assignments. Must be a major or minor in Corrections, Criminal Justice, and/or Peace Officer (Law Enforcement) Programs."
CJ 421W,Community Corrections,3,N/A,N/A,N/A,"Addresses theoretical roots, historical developments, and current practices of probation, parole, and other community corrections programs. Special attention is given to innovative, future approaches to community corrections. Writing intensive"
CJ 430W,Peace Officer Technical Writing,3,N/A,N/A,N/A,"This course will cover the basic techniques of writing reports, memoranda, forms, and other documents used in the peace officer profession. This is a writing-intensive course that will not only fulfill MN POST Report Writing requirements, but will also require students to compose numerous documents and respond to writing feedback throughout the semester."
DANC 120W,Introduction to Dance,3,Consent,N/A,N/A,A survey of dance in all its vibrant forms intended to develop student understanding and appreciation for the significant role dance plays in world cultures.
DANC 484W,Dance History,3,DANC 225,N/A,N/A,"Investigation of concert dance history from diverse perspectives. Along with western European contributions, the legacies and traditions associated with the African diaspora, North American indigenous populations, vernacular and folk forms will also will be included. Sociopolitical ideologies of race, class, and gender will apply to this historical examination."
DHYG 425W,Community Dental Health,3,N/A,N/A,N/A,"This course introduces second year dental hygiene students to the disciplines and basic principles of community dental health, epidemiologic methods and biostatistical measurement analysis. Preventive oral health measures and program development is included to provide a background for the practical application of dental public health methods to the community. This course is an upper division writing intensive course for the traditional dental hygiene program."
DHYG 444W,Principles of Oral Health Promotion,3,N/A,N/A,N/A,"Leadership preparation in the delivery of oral health care in the public health model. Emphasis will be placed on defining oral health problems and solutions, community planning, implementation and evaluation based on the oral health objectives of Healthy People 2010."
DHYG 453W,Research Methods in Dental Hygiene,3,N/A,N/A,N/A,Students will discover research and writing careers for dental hygienists. Course will provide awareness of the American Dental Hygienists’ Association research agenda. Various research methods will be explored and students will develop skills related to locating and evaluating scientific literature to make evidence-based decisions. Professional writing skills will be developed throughout the course.
the United,States,3,N/A,Purple,N/A,"This course will examine the gendered nature of public policy using standard microeconomic tools. It examines the impact of public policy on employment discrimination, reproductive rights, and sexual orientation."
ECON 314W,Current Economic Issues,3,N/A,N/A,N/A,"Elementary economic background and analysis of housing, medical care, inflation, unemployment dilemma, pollution, poverty and affluence, balance between public and private sectors, transportation, urban problems, and other issues will be covered in this course."
ECON 320W,Gender Issues and Economic Globalization,3,ECON 201 or ECON 202,Purple,N/A,"This course will provide tools for analyzing the effects of economic globalization on employment, distribution of income, economic development and socio-economic issues from a gender perspective. "
ECON 462W,Econometrics,4,N/A,N/A,N/A,The study of methods and techniques for building econometric models with the goal of forecasting and measurement of the economic relationships by integrating economic theory and statistics in it.
KSP 220W,Human Relations in a Multicultural Society,3,N/A,Gold,N/A,"Study of interpersonal skills, motivation, and group skills. Applied to educational settings. There will be 30 hours of field experience outside of class (collaborative for KSP 222 and 220W). Meets State of Minnesota human relations requirement for teacher licensure. "
"Families, and",Community,3,N/A,N/A,N/A,"Teacher candidates will further develop processes for creating and sustaining a classroom learning environment that enables success for all learners, including interacting with diverse families, school colleagues, and representatives from community agencies to support student engagement and learning. Corequisites: KSP 440, KSP 442 KSP 442 Reading, Literacy, and Differentiated Instruction in Inclusive"
Prerequisites: EE,235. At least,60,N/A,N/A,N/A,instructor permission; co-op contract; other prerequisites may also apply.
EE 467W,Principles of Engineering Design III,1-2,"EE 332, EE 337, EE 341, EE 358. Select One Course: EE 333,",N/A,N/A,"The design and organization of engineering projects. Project proposals, reporting, feasibility studies, and interpretation. Specification preparation, interpretation, and control. Issues involving creativity, project planning and control, and intellectual property rights. Students enrolled in this course must initiate and complete a design project in a small team format. EE 390. Select One Course: EE 334, EE 353. Select One Course: EE 350, EE 395"
EE 477W,Principles of Engineering Design IV,1-2,EE 472,N/A,N/A,"Completion of design projects and reports. Lectures on ethics, issues in contracting and liability, concurrent engineering, ergonomics and environmental issues, economics and manufacturability, reliability and product lifetimes. Lectures by faculty and practicing engineers. EE 478 Digital Signal Processing Lab 1 credit Digital signal processing (DSP) has a wide variety of applications such as but not limited to: voice and audio processing, biomedical signal analysis, mobile and internet communications, radar and sonar, image/ video processing. This course will strengthen student’s knowledge of DSP fundamentals and familiarize them with practical aspects of DSP algorithm development and implementation. Students will develop the ability to implement DSP algorithms for real-time performance with a floating-point DSP chip. Corequisites: EE 472"
Prerequisites: EET,223. At least,60,N/A,N/A,N/A,instructor permission; co-op contract; other prerequisites may also apply.
ELE 222W,Human Relations in a Multicultural Society,4,N/A,Gold,N/A,"This course provides education in self-awareness and skills that are essential for living and working in a democratic and socially just society. The course addresses issues of oppression and social justice related to race/ethnicity, gender, age, class, religion, disability, physical appearance, sexual orientation, and nationality. The course addresses groups that have historically been excluded from western power and decision-making. Participants will examine mainstream and alternative viewpoints for values, validity, and outcomes using investigative and critical thinking skills."
ENG 112W,Why Literature Matters,4,ENG 101,N/A,N/A,"Study and analysis of prose, poetry, drama, and film from various genres, time periods, and geographies. Emphasizes critical reading of and writing about literature."
ENG 201W,Writing Technologies,4,ENG 101,N/A,N/A,"Students analyze and apply rhetorical principles in their writing with “new media.” As members of a media-saturated culture, we know that print text is only one form of writing, and sometimes it is not the most effective choice. Because all of us make sense of texts and issues in a variety of ways, this course asks students to utilize multimodal (visual, aural, etc.) forms of communication and become more informed, critical consumers of new media writing themselves."
ENG 211W,Literature and Human Diversity,4,ENG 101,Purple,N/A,"Courses will explore literary representations of, and literary contributions made by, under-represented peoples. Students will develop critical thinking, reading, and writing skills, and increased appreciation of the diversity of human experience. Potential topics include: MultiEthnic Literature, Literature and Disability. May be repeated as topics change."
ENG 212W,World Literature,4,ENG 101,N/A,N/A,"Courses will introduce students to works of literature from a variety of world cultures. Designed to increase knowledge of world cultures and appreciation and understanding of cultural differences in representation, and in seeing, believing, and being. Emphasizes critical thinking, reading, and writing. May be repeated with different topics."
ENG 213W,Literature and Ethics,4,ENG 101,N/A,N/A,"Courses will focus on some characteristic ways in which literature addresses and explores the ethical dimensions of human society and the relationships between works and their cultural contexts. Emphasizes critical thinking, reading and writing. May be repeated as topics change."
ENG 271W,Technical Communication,4,ENG 101,N/A,N/A,"Introduction to learning the written and oral communication of technical information. Assignments include writing and presenting proposals, reports, and documentation. Emphasis on use of rhetorical analysis, computer applications, collaborative writing, and usability testing to complete technical communication tasks in the workplace."
ENG 272W,Business Communication,4,N/A,N/A,N/A,"Introduction to business communication. Assignments include writing and presenting proposals, reports, and documentation typical to a business/industry setting. Emphasis on use of rhetorical analysis, software applications, collaboration, and usability testing to complete business communication tasks. Fall, Spring"
ENG 273W,Agricultural Communication,4,N/A,N/A,N/A,"Introduction to written and visual communication of technical information in agricultural contexts. Through rhetorical analysis, collaborative and independent writing, and usability testing, students will learn strategies to produce clear, concise, accurate, and effective documents and presentations."
ENG 275W,Introduction to Literary Studies,4,ENG 101,N/A,N/A,An introduction to literary genres and to the techniques of writing about literature.
ENG 301W,Advanced Writing,4,ENG 101 and permission of instructor,N/A,N/A,"Expressive expository and argumentative writing. For anyone interested in developing advanced rhetorical skills such as invention, arrangement, and style in discourse. Especially recommended for students who plan to write as part of their careers or pursue graduate study."
ENG 402W,Gender in Literature,4,N/A,Purple,N/A,Selected topics course on literature about gender and gendered experiences
ENG 403W,Selected Authors,4,N/A,N/A,N/A,Studies in selected authors. Specific authors change. May be repeated with content changes.
ENG 412W,Arab American Literature,4,N/A,Purple,N/A,"This course critically examines a wide array of literature, non-fiction essays and articles, film and art to explore the historical experiences of diverse Arab American communities. The course will begin by discussing major issues in the field, the history of immigration and citizenship, and developments in Arab American writing. Students will learn about waves of immigration from the 1880s onward, the literary communities that formed, and their contemporary legacy. The course will enable the students to better comprehend the historical and cultural contexts in which Arab American literature has evolved and the diverse perspectives of individual writers and artists."
ENG 433W,Selected Studies in World Literature,4,N/A,Purple,N/A,"Topics on themes, issues, and developments in genres of the literatures of the world. Content changes. May be repeated."
ENG 436W,Native American Literature,4,N/A,Purple,N/A,"This writing-intensive course surveys the earliest Native American literary works, from oral tradition and songs to contemporary works and authors, with a particular emphasis on tribal and cultural contexts that identify these works as Native American."
ENG 437W,Latina/o Literature,2-4,N/A,N/A,N/A,"This course surveys the origins and development of Chicana/o and Latina/o literature, from oral narratives, early poetry, and narrative fiction and memoirs, through the Chicano Movement and the emergence of Chicana/o literature and drama. The course also examines contemporary Chicana/o and Latina/o narrative fiction, including issues related to immigration, the urban experience, Chicana/o and Latina/o subjectivity, and the reappropriation and reinterpretation of myths, legends, and cultural figures in transnational context. Diverse Cultures: Purple"
ENG 438W,African American Literature,4,N/A,Purple,N/A,"This writing-intensive course surveys the earliest African American literary works, including slave narratives, poetry, folklore, and oration, through 20th century movements such as the Jazz Age, Harlem Renaissance, and Black Arts Movement of the 1960s, to contemporary works and authors."
ENG 474W,Research and Writing Technical Reports,4,ENG 271W or ENG 272W,N/A,N/A,"Practice in writing various types of reports for a variety of purposes and audiences. Includes primary and secondary research methods, and data analysis of information to be used in reports."
ETHN 201W,Perspectives on African Americans,3,N/A,Purple,N/A,"This course will explore the historical, social, political, and cultural experience of African Americans. It will also examine the contributions of African Americans to the growth and development of the United States."
ETHN 203W,Perspectives on Asian Americans,3,N/A,Purple,N/A,Introduction to the history and cultures of the major Asian American ethnic groups with a comparative approach to their similarities and differences.
ETHN 204W,Perspectives on Latinos/Hispanics,3,N/A,Purple,N/A,"A survey of the history and present status of Hispanics/Latinos in the United States from 1848. Emphasis will be on culture, history, and sociopolitical patterns."
ETHN 220W,Civil Rights in the U.S.,3,N/A,N/A,N/A,This course will focus on the struggle for civil rights by diverse groups in the United States. Emphasis will be on how these struggles have impacted their communities and cultural pluralism in the U.S. Diverse Cultures: Purple
ETHN 402W,Ethnic Research Methods/Skills,3,"ETHN 100 or ETHN 101 or ETHN 150, or Consent",Gold,N/A,"This is a comprehensive course, which introduces students to qualitative, quantitative and evaluation social research methods. It provides students with hands-on experience of collecting and analyzing data, from any given diverse ethnic community through participant observation and needs assessment."
FCS 414W,Family Policy and Ethics,3,N/A,Purple,N/A,"Students are provided information of past and present policies that impact underserved families nationally and internationally. Students will identify, review, and discuss family policy using relevant and applicable theory. This course will advance student knowledge for careers in family policy as well as becoming an ethically-minded advocate and/ or professional. Students will be provided a variety of opportunities to develop their knowledge and professional writing skills in the subject matter."
FCS 480W,Applied Food Science,3,"FCS 340, ServSafe Certified",N/A,N/A,"This class is a laboratory and experiential learning course. The class will explore application of the principles of food science to food experiments and food product development. Students will plan and executive development of an original food product and conduct sensory evaluation testing with their recipe, developing skills in technical writing. ServSafe Certified."
FILM 210W,Film Genres,4,N/A,N/A,N/A,"Study and analysis of the techniques, thematic conventions, and cultural and historical contexts of major film genres including the western, the musical, crime, melodrama, science fiction, and gangster. Films will include a mix of classic and contemporary examples."
FILM 216W,Writing About Film,4,N/A,N/A,N/A,"Studies analytical film language in several different film writing forms, including short and long-form reviews, collaborative analysis, and formal critical essays. Emphasizes social and critical contexts needed for film analysis and practice of writing in these film forms."
FILM 334W,International Cinema,4,N/A,N/A,N/A,"Introduces students to film from a variety of world cultures. Designed to increase knowledge of world cultures and appreciation and understanding of cultural differences in representation. Emphasizes history of national cinemas, film analysis, and writing. Diverse Cultures: Purple"
FREN 280W,Parallel Worlds: Exploring Cultures & Symbols,4,N/A,Purple,N/A,"This course explores a wide range of cultural topics such as race, gender, human rights, social conflict, mythology, imaginary worlds, etc. Topics vary every semester and will be explored from a global perspective involving at least 4 cultures (e.g. Dakota, German, Francophone, Scandinavian, Hispanic, Lusophone, etc.). The course is taught in English through the lens of literary and cultural criticism with a focus on French and Francophone studies, and exposes students to international and diverse points of view that prepare them to be global citizens. "
FREN 302W,Composition,2-4,"FREN 201, FREN 202, or equivalent",N/A,N/A,"Review of grammar and vocabulary. Practice in descriptive, narrative, and expository prose."
GWS 110W,Introduction to Gender,4,N/A,Purple,N/A,"This course familiarizes students with the field of Gender and Women’s Studies. It focuses on major questions and approaches to understanding gender alongside race, class, and sexuality, among other identity categories."
GWS 120W,Violence and Gender,4,N/A,Purple,N/A,"Students will examine the gendered and systematic nature of violence. Special attention will be given to the ways in which violence against women is perpetuated through interpersonal relationships and through institutions such as schools, the judicial system, welfare policies. The effects of internalized oppressions, such as internalized sexism, racism, and homophobia will be discussed. Emphasis on feminist analysis and building skills for educating ourselves and others about constructing non-violent cultures."
GWS 220W,Sex and Gender Worldwide,4,N/A,Purple,N/A,"This course will examine women’s lives and activism, past and present, throughout the world. We will explore and evaluate individual and collective efforts to achieve social justice in the context of interlocking systems of oppression. Fall, Spring, Summer"
GWS 225W,Queer America,4,N/A,Gold,N/A,"An introduction to the study of lesbian, gay, bisexual, and transgender communities and identities, including challenges to homophobia and heterosexism. We will explore social and historical constructions of LGBT identities as they vary across ethnic, class, and gender lines. Fall, Spring"
GEOG 210W,Landscapes and Places,3,N/A,N/A,N/A,Introduction to the concepts of landscape and place in a variety of geographical writings. Emphasizes works with strong regional overtones. The interaction between the physical and cultural environments is paramount. Field observation and integrating imagery into original student writing documents is also addressed.
GEOG 416W,Fluvial Geomorphology and Hydrology,4,Either GEOG 101 or GEOL 121 and GEOG 315 or 415 are,N/A,N/A,"An in-depth investigation into fluvial systems including sediment transport, sediment budget analysis, channel geometry/morphology, drainage basin analysis, geomorphic evolution of fluvial landscapes, hydrology (i.e., runoff generation and channel formation, storm hydrograph and flood analysis, discharge measurements) of fluvial systems, and effects of anthropogenic modification and use of fluvial systems. Registration with completed prereqs or instructor consent. recommended. Or instructor consent."
GEOL 320W,Sedimentology and Stratigraphy,4,"Select one course: GEOL 100, GEOL 107, GEOL 121",N/A,N/A,"Focused studies of the origins and processes of transportation, deposition, burial, and diagenesis of sedimentary materials. Lab assignments focus on sedimentary material identification and analysis. Field trips required."
GER 280W,Parallel Worlds: Exploring Cultures & Symbols,4,N/A,N/A,N/A,"This course explores a wide range of cultural topics such as race, gender, human rights, social conflict, mythology, imaginary worlds, etc. Topics vary every semester and will be explored from a global perspective involving at least 4 cultures (e.g. Dakota, German, Francophone, Scandinavian, Hispanic, Lusophone, etc.). The course is taught in English through the lens of literary and cultural criticism with the focus on German studies, and exposes students to international and diverse points of view that prepare them to be global citizens. Diverse Cultures: Purple"
