Program,hasPrereqToMajor,prereqToMajorList,hasReqGenEds,reqGenEdsList,hasMajorCommonCore,majorCommonCoreList,hasThesisCapstone,ChooseThesisCapstone,hasMajorRestrictiveElectives,majorRestrictiveElectivesList,hasMajorUnrestrictedElectives,majorUnrestrictedElectives,hasRequiredMinor,minorName,otherGradReq
Integrated Business Experience (CERT),FALSE,,FALSE,,TRUE,"['ACCT 200', 'FINA 362', 'MGMT 230', 'MRKT 210']",FALSE,,TRUE,"[['credits_3', 'BUS 397', 'CIS 499']]",FALSE,,FALSE,,
Marketing (BS),TRUE,"['ACCT 200', 'BUS 295', 'CIS 101']",TRUE,"['ECON 201', 'MATH 130', ['credits_3', 'PHIL 120W', 'PHIL 205W', 'PHIL 222W', 'PHIL 224W', 'PHIL 226W', 'PHIL 240W']]",TRUE,"[['credits_34', 'ACCT 210', 'BLAW 200', 'ECON 202', 'ECON 207', 'FINA 362', 'IBUS 380', 'MGMT 230', 'MGMT 300', 'MGMT 346', 'MGMT 481', 'MRKT 210'], ['credits_21', 'MRKT 312', 'MRKT 316', 'MRKT 317', 'MRKT 318', 'MRKT 324', 'MRKT 341', 'MRKT 490']]",FALSE,,FALSE,,TRUE,"[['credits_6', 'BUS 397', 'MRKT 413', 'MRKT 415', 'MRKT 416', 'MRKT 420', 'MRKT 424', 'MRKT 428', 'MRKT 460', 'MRKT 480', 'MRKT 492', 'MRKT 494', 'MRKT 496', 'MRKT 498']]",FALSE,,
Sport Management (BS),TRUE,['HP 141'],TRUE,"['ENG 101', 'MATH 112', 'PSYC 101', 'SOC 101', ['credits_3', 'ECON 201', 'ECON 202'], ['credits_3', 'COMM 100', 'COMM 102']]",TRUE,"['ACCT 200', 'HP 290', 'HP 325', 'HP 350', 'HP 435', 'HP 459', 'HP 462', 'HP 465', 'HP 468', 'HP 469']",FALSE,,TRUE,"[['credits_6', 'HP 437', 'HP 463', 'HP 464', 'HP 475', 'HP 497'], ['credits_9', 'HP 488', 'HP 496']]",FALSE,,TRUE,"['ANY_OF', 'Accounting', 'Athletic Coaching', 'Business Law', 'Esport Management', 'Financial Planning', 'Human Resources Management', 'Economics', 'Entrepreneurship and Innovation', 'International Business', 'Marketing', 'Advisor approved minors']",
Special Education: Academic and Behavioral Strategist (BS),TRUE,"['HLTH 240', 'MATH 201', ['credits_3', 'CDIS 205', 'HLTH 210']]",FALSE,,TRUE,"['SPED 333', 'SPED 401', 'SPED 404', 'SPED 406', 'SPED 407', 'SPED 408', 'SPED 409', 'SPED 410', 'SPED 411', 'SPED 412', 'SPED 413', 'SPED 414', 'SPED 422', 'SPED 448W', 'SPED 458', 'SPED 459']",FALSE,,FALSE,,FALSE,,FALSE,,
Family Consumer Science Education (BS),FALSE,,TRUE,"['FCS 100', 'FCS 140', 'HLTH 240']",TRUE,"['FCS 101', 'FCS 120', 'FCS 150', 'FCS 270', 'FCS 275', 'FCS 284', 'FCS 301', 'FCS 331', 'FCS 340', 'FCS 400', 'FCS 414W', 'FCS 478', 'FCS 484', 'FCS 488', 'HLTH 311']",FALSE,,FALSE,,FALSE,,FALSE,,
Nursing (BS),TRUE,"['BIOL 201', 'BIOL 202', 'FCS 242', 'NURS 236', 'NURS 282']",TRUE,"['BIOL 271', 'CHEM 111', 'ENG 101', 'KSP 235', 'NURS 286', 'PSYC 101', 'STAT 154']",TRUE,"['NURS 310', 'NURS 311', 'NURS 312', 'NURS 313', 'NURS 317', 'NURS 350W', 'NURS 351', 'NURS 353', 'NURS 356', 'NURS 357', 'NURS 410', 'NURS 411', 'NURS 413', 'NURS 416', 'NURS 417', 'NURS 426', 'NURS 450', 'NURS 451', 'NURS 456', 'NURS 457', 'NURS 458']",FALSE,,FALSE,,FALSE,,FALSE,,
Electrical Engineering (BSEE),TRUE,"['EE 105', 'EE 106', 'EE 107', 'EE 230', 'EE 231', 'EE 234', 'EE 235', 'EE 240', 'MATH 122', 'MATH 321', 'PHYS 222', 'PHYS 232']",TRUE,"['CHEM 191', 'ENG 101', 'ENG 271W', 'MATH 121', 'PHYS 221', ['credits_3', 'ECON 201', 'ECON 202']]",TRUE,"['EE 241', 'EE 281', 'EE 282', 'EE 303', 'EE 304', 'EE 332', 'EE 333', 'EE 336', 'EE 337', 'EE 341', 'EE 342', 'EE 343', 'EE 350', 'EE 353', 'EE 358', 'EE 363', 'EE 368', 'EE 450', 'EE 467W', 'EE 477W', 'EE 482', 'MATH 223', 'PHYS 223', 'PHYS 233']",FALSE,,TRUE,"[{'rules' : [15,15], 'area_1' : ['EE 333', ['credits_12', 'CSI 350', 'EE 353', 'EE 453', 'EE 470', 'EE 471', 'EE 472', 'EE 473', 'EE 474', 'EE 475', 'EE 476', 'EE 479', 'EE 480', 'EE 481', 'EE 484', 'EE 485', 'EE 487', 'EE 489', 'ME 213'], 'area_2' : ['EE 390', ['credits_11', 'CSI 350', 'EE 353', 'EE 453', 'EE 333', 'EE 470', 'EE 471', 'EE 472', 'EE 473', 'EE 474', 'EE 475', 'EE 476', 'EE 479', 'EE 480', 'EE 481', 'EE 484', 'EE 485', 'EE 487', 'EE 489', 'ME 213']]}]",FALSE,,FALSE,,"[['credits_3', 'MATH 354', 'ME 291'], ['credits_3', 'BLAW 200', 'FINA 362', 'MGMT 230', 'MGMT 340', 'MRKT 210']]"
Accounting (BS),TRUE,"['ACCT 200', 'BUS 295', 'CIS 101', 'MATH 130', 'ECON 201']",TRUE,"['ECON 201', 'MATH 130', ['credits_3', 'PHIL 120W', 'PHIL 205W', 'PHIL 222W', 'PHIL 224W', 'PHIL 226W', 'PHIL 240W']]",TRUE,"['ACCT 210', 'BLAW 200', 'ECON 202', 'ECON 207', 'FINA 362', 'IBUS 380', 'MGMT 230', 'MGMT 300', 'MGMT 346', 'MGMT 481', 'MRKT 210',['credits_28', 'ACCT 220', 'ACCT 300', 'ACCT 301', 'ACCT 310', 'ACCT 320', 'ACCT 330', 'ACCT 400', 'ACCT 410', 'ACCT 421', 'BLAW 450']]",FALSE,,FALSE,,TRUE,"[['credits_0', 'BUS 397']]",FALSE,,
Aviation (BS) Aeronautics,FALSE,,TRUE,"['MATH 112', 'PHYS 101']",TRUE,"['AVIA 100', 'AVIA 101', 'AVIA 150', 'AVIA 201', 'AVIA 334', 'AVIA 432', 'AVIA 437', 'AVIA 445', 'GEOG 217']",FALSE,,FALSE,,FALSE,"[['credits_48', 'AVIA 100-499']]",FALSE,,
Aviation (BS) Aviation Management,FALSE,,TRUE,"['MATH 112', 'PHYS 101']",TRUE,"['AVIA 100', 'AVIA 101', 'AVIA 150', 'AVIA 201', 'AVIA 334', 'AVIA 432', 'AVIA 437', 'AVIA 445', 'GEOG 217', 'ACCT 200', 'BLAW 200', 'ECON 202', 'FINA 362', 'MGMT 230', 'MGMT 300', 'MGMT 340', 'MGMT 380', 'MGMT 472', 'MRKT 210']",FALSE,,TRUE,"[['credits_6', 'AVIA 343', 'AVIA 344', 'AVIA 443']]",FALSE,,FALSE,,
