Course ID,Course Name,Credit Count,Prerequisites,Diversity Group,General Education Goal,Course Description
ACCT 200,Financial Accounting,3.0,MATH 112 or MATH 115 or MATH 121 or MATH 130 or MATH 181,,,"The accounting process, financial statement preparation, and analysis. Includes the accounting cycle, asset, liability, and equity accounting. Emphasis on the use of accounting data."
ACCT 210,Managerial Accounting,3.0,ACCT 200,,,Preparation and analysis of cost-based management reports: use of cost information to make short-term operating decisions and long-term capital decisions.
ACCT 300,Intermediate Financial Accounting I,3.0,ACCT 200,,,"An in-depth analysis of financial accounting concepts and procedures, and includes coverage of the income statement, balance sheet, time value of money, receivables, and inventories."
ACCT 301,Intermediate Financial Accounting II,3.0,ACCT 300,,,"A continuation of Accounting 300. An in-depth analysis of long-term liabilities, stockholders’ equity, leases, pensions, deferred taxes, and the statement of cash flows."
ACCT 310,Management Accounting I,3.0,"ACCT 200, ACCT 210",,,"Emphasizes product and service costing, including job order and process costing systems. Other related topics are budgeting, pricing, costvolume-profit analysis, standards and variance analysis."
ACCT 320,Accounting Analytics and Information Systems,3.0,,,,"A discussion of various accounting information systems. Topics include documentation, internal control, system design, knowledge structures, database design, software evaluation, systems applications and current developments."
ACCT 330,(3.00) Individual Income Tax,3.0,"ACCT 200, ACCT 210",,,"The course examines the principles and procedures relating to the determination and computation of federal income taxes for an individual. Federal estate tax, gift tax, and income taxation of estates and trusts are also examined."
ACCT 398,CPT: Co-Operative Experience,0.0,Permission of the Chairperson of the department; co-op,,,Curricular Practical Training: Co-Operative Experience is a zerocredit full-time practical training experience for one summer and an adjacent fall or spring term. Special rules apply to preserve fulltime student status. Please contact an advisor in your program for complete information. contract; other prerequisites may also apply.
ACCT 400,Advanced Financial Accounting,3.0,ACCT 301,,,"A study of accounting principles and concepts for mergers, acquisitions, consolidated statements, foreign currency translation, partnerships, and governmental/not for profit."
ACCT 410,Business Income Tax,3.0,"ACCT 300, ACCT 330",,,"The course examines the principles and procedures relating to the determination and computation of federal income taxes for various business entities including sole proprietorships, corporations, partnerships and tax-exempt entities. The course also covers tax research procedures."
ACCT 421,Assurance Services I,3.0,ACCT 300,,,"An overview of the external audit process, the issues facing the auditing profession today, and assurance services. Includes detailed coverage of the AICPA Code of Conduct, audit planning, substantive testing, auditors’ responsibilities for detecting fraud, and audit reports."
ACCT 492,Study Tour,nan,,,,"Study tours are led by Minnesota State University, Mankato faculty and provide students with opportunities to visit companies and attend lectures by renowned experts from key sectors of economy, government, and business."
ACCT 497,Internship,nan,,,,"Supervised experience in public, industrial or governmental accounting. Students must meet standards established by the employer and the Department of Accounting."
ACCT 499,Individual Study of Accounting,nan,,,,Aging Studies
GERO 200,Family Dynamics of Aging,3.0,,Gold,,"This course will answer the question “Why should I care about getting old when I am young?” through an exploration of the life course perspective, service-learning opportunities, and written reflection and exploration."
GERO 200W,(3.00) Family Dynamics of Aging,3.0,,Gold,,"This course will answer the question “Why should I care about getting old when I am young?” through an exploration of the life course perspective, service-learning opportunities, and written reflection and exploration."
GERO 398,CPT: Co-Operative Experience,0.0," At least 60 credits earned; in good, standing;, permission; co-op contract; other prerequisites may also apply.",,,Curricular Practical Training: Co-Operative Experience is a zerocredit full-time practical training experience for one semester and an adjacent fall or spring term. Special rules apply to preserve fulltime student status. Please contact an advisor in your program for complete information.
GERO 450,Innovations in Aging Policy,3.0,,,,"Engaging with the practice of policy development, understanding critical policies impacting the experience of aging, and learning how to become a policy entrepreneur will be the focus for this course. The course will also explore innovations in aging policy globally."
GERO 480,Long-Term Care Administration,3.0,,,,"Overview of how facilities administer supports and services to the elderly, with an emphasis on state and federal laws and the delivery of care. Course addresses the organization, operations, services, and programs of long-term care facilities. Meets state education requirements for specific content area."
GERO 485,Topics in Gerontology,nan,,,,Topics vary as announced in class schedule. May be retaken for credit if topic is different.
GERO 487,Long-Term Care Regulatory Management,3.0,,,,"This course in regulatory management covers the legal, regulatory, and funding provisions and requirements governing operation of longterm care supports and services. The course meets the state educational requirement for a specific content area."
GERO 490,Workshop,nan,,,,Workshop topics vary as announced in class schedule. May be retaken for credit.
GERO 491,In-Service,nan,,,,
GERO 497,Internship,nan,Consent,,,
GERO 498,Practicum: Nursing Home Administration,nan,by application and consent only,,,For students following plan of study for nursing home administration licensure only.
GERO 499,Individual Study in Gerontology,nan,,,,"The school and community health programs prepare health professionals with expertise in health promotion and disease prevention for employment in public health and community health agencies, health care facilities, business, and industry and schools. AgriBusiness & Food Innovation"
AGBZ 110,Agronomy Selling Skills,3.0,,,,"This course covers the basic and advanced principles and techniques used in selling agricultural merchandise and services. Agricultural Sales has taken on increased importance in recent years. The introduction of new products and services has magnified the need for technically competent knowledgeable sales personnel. Roleplaying and advanced, in-depth sales presentations will be done in class. Students will also be required to make an industry visit and write appropriate letters. THIS COURSE IS FOR BAS AGRONOMY MAJORS ONLY. The course does not apply toward any College of Business majors, certificates, or minors. The course serves as a counterpart to a South Central College course for ease of transfer."
AGBZ 111,Introduction to Agriculture Economics,3.0,,,,"This course is an introduction to agricultural economics. Economic concepts of the food, fiber, and fuel industry will be explored though problem solving exercises and graphical analysis. Consumer and business behavior will be analyzed under various market and regulatory conditions, with major focus spent on determining changes to equilibrium of aggregate supply and demand curves. Both microeconomic and macroeconomic factors will be defined and discussed in relation to global and local agribusiness value chains, including many factors affecting farmers in the American Midwest. THIS COURSE IS FOR BAS AGRONOMY MAJORS ONLY. The course does not apply toward any College of Business majors, certificates, or minors. The course serves as a counterpart to a South Central College course for ease of transfer."
AGBZ 315,Agronomy Finance Management,4.0,,,,"This course covers major aspects of agribusiness from financial management through financial problem solving, analysis, and planning. Students will apply economic and financial concepts by creating balance sheets, income statements, cash flows, inventory controls, and budgets. Students will have the opportunity to apply what they have learned in a computerized farm supply business simulation. Students will also develop management skills needed to be an effective agribusiness manager. THIS COURSE IS FOR BAS AGRONOMY MAJORS ONLY. The course does not apply toward any College of Business majors, certificates, or minors. The course serves as a counterpart to a South Central College course for ease of transfer."
AGBZ 330,AgriBusiness & Food Supply Chain Management,3.0,,,,"This course examines supply chain concepts and principles, theoretical concepts and their application to modern and future agriculture industries. This course will have an emphasis on regional agriculture and food commodities as well as processed food production and manufacturing. Professionals in the agriculture industry will be brought into class to explain how agribusiness supply chain knowledge and skills are essential to various sectors. Students will have an opportunity to broaden their thinking, understanding, and professional potential as related to the agribusiness and food industry while interacting with professionals and facility tours. The course does not apply toward any College of Business majors or minors. The course serves as a counterpart to a South Central College course for ease of transfer."
AGBZ 340,Commodity Marketing Principles,3.0,,,,"This course covers the principles of agricultural commodity marketing, including cash, forward, futures, and options contracts. Economic impacts on supply, demand, and equilibrium pricing for commodities will be explored. Students will participate in simulated marketing transactions and track local and terminal market pricing. THIS COURSE IS FOR BAS AGRONOMY MAJORS ONLY. The course does not apply toward any College of Business majors, certificates, or minors. The course serves as a counterpart to a South Central College course for ease of transfer."
AGBZ 345,Commodity Marketing Strategies,2.0,,,,"This course covers strategies of commodity marketing of agricultural products. Students will apply marketing principles in various market situations. Students will work with forward contracts, basis contracts, futures contracts, and option strategies in agriculture commodities. Students will develop market plans for agribusiness marketing and input needs. THIS COURSE IS FOR BAS AGRONOMY MAJORS ONLY. The course does not apply toward any College of Business majors, certificates, or minors. The course serves as a counterpart to a South Central College course for ease of transfer."
