Course Number,Course Name,Credit Count,Prerequisites/Color Group
ACCT,200 Financial Accounting,3,MATH 112 or MATH 115 or MATH 121 or MATH 130 or
ACCT,210 Managerial Accounting,3,ACCT 200
ACCT,300 Intermediate Financial Accounting I,3,ACCT 200
ACCT,301 Intermediate Financial Accounting II,3,ACCT 300
ACCT,310 Management Accounting I,3,"ACCT 200, ACCT 210"
ACCT,320 Accounting Analytics and Information Systems,3,N/A
ACCT,330 (3.00) Individual Income Tax,3,"ACCT 200, ACCT 210"
ACCT,398 CPT: Co-Operative Experience,0,Permission of the Chairperson of the department; co-op
ACCT,400 Advanced Financial Accounting,3,ACCT 301
ACCT,410 Business Income Tax,3,"ACCT 300, ACCT 330"
ACCT,421 Assurance Services I,3,ACCT 300
ACCT,492 Study Tour,1-3,N/A
ACCT,497 Internship,1-6,N/A
ACCT,499 Individual Study of Accounting,1-4,N/A
GERO,200 Family Dynamics of Aging,3,Gold
GERO,200W (3.00) Family Dynamics of Aging,3,Gold
GERO,398 CPT: Co-Operative Experience,0,At least 60 credits earned; in good standing; instructor
Prerequisites:,At least 60 credits earned; in good,standing;,N/A
GERO,450 Innovations in Aging Policy,3,N/A
GERO,480 Long-Term Care Administration,3,N/A
GERO,485 Topics in Gerontology,1-3,N/A
GERO,487 Long-Term Care Regulatory Management,3,N/A
GERO,490 Workshop,1-3,N/A
GERO,491 In-Service,1-6,N/A
GERO,497 Internship,1-6,Consent
GERO,498 Practicum: Nursing Home Administration,1-6,by application and consent only
GERO,499 Individual Study in Gerontology,1-4,N/A
AGBZ,110 Agronomy Selling Skills,3,N/A
AGBZ,111 Introduction to Agriculture Economics,3,N/A
AGBZ,315 Agronomy Finance Management,4,N/A
AGBZ,330 AgriBusiness & Food Supply Chain,Management3,N/A
AGBZ,340 Commodity Marketing Principles,3,N/A
AGBZ,345 Commodity Marketing Strategies,2,N/A
AGBZ,350 Agribusiness Transfer & Law,3,N/A
AGBZ,370 AgriBusiness Finance,3,N/A
AGBZ,371 Agricultural Technology Seminar,2,N/A
AGBZ,492 Study Tour,1-3,N/A
AGBZ,496 Internship,1-4,N/A
AIS,101 Introduction to American Indigenous Studies,3,N/A
AIS,112 Elementary Ojibwe I,4,Purple
AIS,113 Elementary Ojibwe II,4,Purple
AIS,130 Introduction to Indigenous Education,3,Purple
AIS,210W Oral Traditions,3,Purple
AIS,211 Native America to 1900,3,Purple
AIS,212 Native America 1900 to Present,3,N/A
AIS,220W Introduction to Tribal Sovereignty,3,Purple
AIS,230W American Indians of Minnesota,3,N/A
AIS,240W American Indian Women,3,N/A
AIS,275 Selected Topics,3,N/A
AIS,300W American Indian Leaders,3,Purple
AIS,330 Indigenous Education,3,Purple
AIS,340 American Indians in Film,3,N/A
AIS,360 Indigenous Peoples and Environmental Struggles,3,Purple
AIS,380 The Sacred Landscape,3,Purple
AIS,398 CPT: Co-Operative Experience,0,At least 60 credits earned; in good standing; instructor
AIS,455 Museum Science and Representation,3,Gold
AIS,460 Behaving Like Relatives,3,Gold
AIS,475 Selected Topics,3,N/A
AIS,485 Workshop,1-6,N/A
AIS,497 Internship,1-12,Gold
AIS,499 Individual Study,1-6,N/A
ANTH,101 Introduction to Anthropology,4,Purple
ANTH,102 Ancient Peoples,4,N/A
ANTH,120 Forensic Science: An Anthropological,Approach4,N/A
ANTH,210 Introduction to Archaeology,4,N/A
ANTH,220 Human Origins,4,N/A
ANTH,230 Peoples and Cultures of the World,4,Purple
ANTH,240 Language and Culture,4,N/A
ANTH,245 The Social Life of Swearing,4,Purple
ANTH,250W Portraits of Culture,4,Purple
of,Fear,4,Purple
Body,Art,4,Purple
ANTH,269 Anthropology of Sex,4,Purple
ANTH,280 Engaged Anthropology,3,Gold
ANTH,285 Special Topics,1-3,N/A
ANTH,290 Exploratory Studies,1-3,Consent
ANTH,300 Introduction to Anthropology Methods,4,ANTH 101
ANTH,311 Ancient Egypt,4,N/A
ANTH,323 Primate Behavior,4,ANTH 101 or ANTH 220 or consent
ANTH,331 Environmental Anthropology,4,N/A
ANTH,332 Anthropology of Religion,4,Purple
ANTH,333 Ethnographic Film,3,N/A
ANTH,335 People and Cultures of Sub-Saharan Africa,4,N/A
ANTH,340 Language and Power,4,Purple
ANTH,360 Business Anthropology,4,N/A
ANTH,361 Foodways,4,Purple
ANTH,398 CPT: Co-Operative Experience,0,At least 60 credits earned; in good standing; instructor
ANTH,410 Archaeology of Minnesota,4,N/A
ANTH,411 Archaeology of Native North America,4,N/A
ANTH,412 Archaeology of Latin America,4,N/A
ANTH,414 Museology,4,N/A
ANTH,415 Cultural Resource Management,4,"ANTH 101, ANTH 210 or consent"
ANTH,416 Archeological Methods,4,N/A
ANTH,417 Quaternary Environments and Climatic Change,4,"GEOG 101, ANTH 210; Students are strongly encouraged to"
ANTH,418 Agricultural Systems and Environmental,Change4,N/A
ANTH,420 Human Osteology,4,N/A
ANTH,"421W Health, Culture, and Disease",4,N/A
ANTH,422 Forensic Anthropology,4,ANTH 420
ANTH,424 Bioarchaeology,4,N/A
ANTH,425W Anthropology of Death,4,N/A
ANTH,430 Peoples and Cultures of Latin America,4,"ANTH 101, ANTH 230, or consent"
ANTH,431 Applied Cultural Research,3,"ANTH 101, ANTH 230, or consent; ETHN 100, ETHN 101,"
ANTH,"432 Kinship, Marriage and Family",3,N/A
ANTH,433 Anthropology of Gender,4,"ANTH 101, ANTH 230, or consent"
ANTH,436W Anthropology of Aging,4,Purple
ANTH,437 Applied Anthropology,4,"ANTH 101, ANTH 230 or consent"
ANTH,438W Anthropological Theory,4,N/A
ANTH,439 Qualitative Research Methods,4,"ANTH 101, ANTH 220 or consent"
ANTH,440 Native American Cultures of North America,4,N/A
ANTH,443W People and Cultures of East Asia,4,N/A
ANTH,475 Senior Thesis,3,ANTH 300
ANTH,480 Fieldwork: Archaeology/Ethnology,3-6,"Consent, or one of: ANTH 101, ANTH 102, or ANTH 220"
ANTH,485 Topics in Anthropology,1-3,N/A
ANTH,486 Workshop,1-3,Depends on topic and instructor
ANTH,491 Archaeology Laboratory,1-3,N/A
ANTH,492 Biological Anthropology Lab,1-3,Consent
ANTH,493 Ethnology Lab,1-3,Consent
ANTH,494 Linguistic Lab,1-3,N/A
ANTH,497 Internship,1-12,Consent
ANTH,498 Internship: Teaching Anthropology,1-3,N/A
ANTH,499 Individual Study,1-6,Consent
AOS,101 Preparing for Leadership Careers,3,N/A
AOS,301 Introduction to Applied Leadership,3,N/A
AOS,320 Applied Leadership Communication Workshop,3,N/A
AOS,380W Applied Leadership Workshop 2,3,N/A
AOS,420 Applied Leadership & Decision Making,3,N/A
AOS,430 Global Social Entrepreneurship,3,N/A
AOS,440 Social Enterprise,3,N/A
AOS,488 Professional Studies Portfolio,2,AOS 301
AOS,492 Selected Topics,3,N/A
AOS,499 Individual Study,1-12,N/A
ART,100 Elements and Principles of Art,3,N/A
ART,101 Design Foundations,3,N/A
ART,103 Three-Dimensional Design,3,N/A
ART,110 Drawing Foundations,3,N/A
ART,160 Introduction to Visual Culture,3,Purple
ART,202 Introduction to Digital Media,3,N/A
ART,210 Drawing,3,ART 110
ART,212 Life Drawing,3,ART 110
ART,220 Graphic Design I,3,ART 202
ART,225 Developing Creativity: Approaches and,Techniques3,N/A
ART,231 Mixed Media,3,N/A
ART,240 Painting,3,"ART 100 or ART 101, ART 110 or consent"
ART,245 Watercolor,3,"ART 100 or ART 101, ART 110 or consent"
ART,250 Ceramics: Beginning Wheel,3,N/A
ART,251 Ceramics: Beginning Handbuilding,3,N/A
ART,260 Art History Survey I,3,Purple
ART,261 Art History Survey II,3,N/A
ART,265W Art As Politics,3,N/A
Lithography,,3,N/A
ART,271 Printmaking: Beginning Intaglio/Relief,3,N/A
ART,275 Introduction to Photography,3,N/A
ART,280 Sculpture,3,ART 103 or consent
ART,285 Introduction to Installation,3,ART 103 or consent
ART,294 Topics,3,N/A
ART,302 Interaction Design,3,ART 202
ART,304 Typography I,3,ART 202
ART,310 Drawing,3,ART 210
ART,320 Graphic Design II,3,"ART 220, ART 302, ART 304"
ART,324 Concept and Image,3,"ART 220, ART 302, ART 304"
ART,340 Painting,3,ART 240 or consent
ART,350 Intermediate Ceramics,3,ART 250 or ART 251
ART,370 Printmaking: Intermediate Studio,3,ART 270 or ART 271
ART,372 Digital Printmaking,3,"ART 202, ART 271"
ART,375 Intermediate Black and White Photography,3,ART 275
ART,377 Intermediate Digital Photography,3,ART 275
ART,378 Experimental Video,3,N/A
ART,380 Sculpture,3,ART 280
ART,385 Intermediate Installation,3,ART 285 or consent
ART,391 Portfolio Review,0,ART 104
ART,392 Portfolio Review: Graphic Design,0,"ART 220, ART 302, ART 304"
ART,400 Graphic Design Special Topics,3-6,ART 392
ART,402 Motion Graphics,3,ARTR 392
ART,404 Typography II,3,"ART 220, ART 302, ART 304"
ART,405 Self-Initiated Design Workshop,3,392
ART,406 Web Design I,3,"ART 220, ART 302, ART 304"
ART,410 Drawing Workshop,3-6,ART 310
ART,417 Medieval Art and Architecture,3,ART 260 or consent
ART,419 Gender in Art,3,ART 261 or consent
ART,420 Graphic Design III,3-6,"ART 320, ART 404, ART 406"
ART,421 Art Methods Elementary School,3,"ART 100 or ART 101, Jr. status or consent"
ART,424 Art Education for the Exceptional Child,3,ART 421
ART,426 Art Methods Secondary School,3,ART 421
ART,434 Arts Administration,3,N/A
ART,436 Web Design II,3,"ART 392, ART 406"
ART,440 Painting,3-6,ART 340
ART,444 Typography III,3,"ART 392, ART 404"
ART,450 Advanced Ceramics,3-6,ART 350
ART,460 Ancient Art,3,ART 260 or consent
ART,462 Renaissance Art,3,ART 261 or consent
ART,463 Mannerism to Romanticism,3,"ART 392, ART 406"
ART,464 Art Museum and Exhibition Studies,3,"ART 260, ART 261"
ART,466 Realism to Postmodernism,3,ART 261 or consent
ART,467 Art of the Islamic World,3,Purple
ART,468 Design: History and Theory,3,N/A
ART,469 Asian Art,3,Purple
ART,470 Printmaking: Advanced Studio,3-6,ART 370
ART,475 Advanced Photography Studio,3-6,N/A
ART,477W Roots of Modern Islamic Art,3,Purple
ART,480 Sculpture,3-6,ART 380
ART,485 Advanced Installation,3-6,ART 385 or consent
ART,492 Art History Seminar,1-6,Consent
ART,494 Topics,3,N/A
ART,495 Senior Exhibit,0-1,Consent
ART,496 Art History Senior Thesis,1,Consent of advisor
ART,497 Internship,1-6,Jr. standing with consent of advisor and department chair.
ART,499 Individual Study,1-6,Consent
AST,101 Introduction to Astronomy,3,N/A
AST,102 Introduction to the Planets,3,N/A
AST,115 Life in the Universe,2,N/A
AST,115W Life in the Universe,2,N/A
AST,125 Observational Astronomy,3,AST 101
AST,201 Spherical Astronomy,2,N/A
AST,215 Astronomy and Astrophysics I,4,MATH 121 and PHYS 221
AST,225 Astronomy and Astrophysics II,4,"AST 215, MATH 122, PHYS 222"
AST,351 Telescope Operations,2,"AST 201 and AST 215, Consent"
AST,353 Photometry I,2,AST 215
AST,354 Photometry II,2,AST 353
AST,355 Astrometry,2,AST 201 and AST 215
AST,357 Spectroscopy,2,AST 225
AST,493 Undergraduate Research,1-6,Consent
AST,495 Selected Topics,1-4,Consent
AST,499 Individual Study,1-8,Consent
AE,102 Introduction to Automotive Engineering,1,N/A
AE,160 Automotive Systems,4,N/A
AE,261 Automotive Driveability & Diagnosis,4,N/A
AE,262 Automotive Computers and Electronics,4,"EET 113, AE 160, AE 261"
AE,280 Data Acquisition and Analysis,3,"EET 113, MATH 121"
AE,334 Fluid Power,3,"MATH 121, PHYS 221"
AE,364 Chassis Design and Testing,4,"MATH 121, PHYS 221"
AE,366 Automotive Thermodynamics & Engine Design,3,"MATH 121, PHYS 221. Select One Course: CHEM 191 or"
AE,387 Junior Design Project,2,STAT 354
AE,436 Hybrid and Electric Vehicles,3,"AE 280, AE 366"
AE,465 Automotive Laboratory Experience,2,AE 364
AE,468 Automotive Research Methods,4,"STAT 354, AE 366"
AE,488W Senior Design Project I,3,"MFE 341, AE 364, AE 387"
AE,489W Senior Design Project II,3,"MFE 324, AE 468, AE 488W"
Technology,,1,N/A
AET,160 Automotive Technology & Systems,4,N/A
AET,261 Automotive Driveability and Diagnosis,4,N/A
AET,262 Automotive Computers and Electronics,4,"AET 160, AET 261, EET 113"
AET,280 Data Acquisition and Analysis,3,"EET 113, MATH 121"
AET,334 Fluid Power,3,"MATH 121, PHYS 211"
