Course ID,Course Name,Credit Count,Prerequisites
ACCT 200,Financial Accounting,3,MATH 112 or MATH 115 or MATH 121 or MATH 130 or MATH 181
ACCT 210,Managerial Accounting,3,ACCT 200
ACCT 220,Accounting Cycle Applications,1,ACCT 200
ACCT 300,Intermediate Financial Accounting I,3,ACCT 200
ACCT 301,Intermediate Financial Accounting II,3,ACCT 300
ACCT 310,Management Accounting I,3,"ACCT 200, ACCT 210"
ACCT 320,Accounting Analytics and Information Systems,3,
ACCT 330,(3.00) Individual Income Tax,3,"ACCT 200, ACCT 210"
ACCT 398,CPT: Co-Operative Experience,0,Permission of the Chairperson of the department; co-op contract; other prerequisites may also apply.
ACCT 400,Advanced Financial Accounting,3,ACCT 301
ACCT 410,Business Income Tax,3,"ACCT 300, ACCT 330"
ACCT 421,Assurance Services I,3,ACCT 300
ACCT 492,Study Tour,1-3,
ACCT 497,Internship,1-6,
ACCT 499,Individual Study of Accounting,1-4,
AE 102,Introduction to Automotive Engineering,1,
AE 160,Automotive Systems,4,
AE 261,Automotive Driveability & Diagnosis,4,
AE 262,Automotive Computers and Electronics,4,"EET 113, AE 160, AE 261"
AE 280,Data Acquisition and Analysis,3,"EET 113, MATH 121"
AE 334,Fluid Power,3,"MATH 121, PHYS 221"
AE 364,Chassis Design and Testing,4,"MATH 121, PHYS 221"
AE 366,Automotive Thermodynamics & Engine Design,3,"MATH 121, PHYS 221. Select One Course: CHEM 191 or CHEM 201"
AE 387,Junior Design Project,2,STAT 354
AE 436,Hybrid and Electric Vehicles,3,"AE 280, AE 366"
AE 465,Automotive Laboratory Experience,2,AE 364
AE 468,Automotive Research Methods,4,"MFE 324, AE 468, AE 488W"
AE 488W,Senior Design Project I,3,"MFE 341, AE 364, AE 387"
AE 489W,Senior Design Project II,3,"MFE 324, AE 468, AE 488W"
AET 102,Introduction to Automotive Engineering Technology,1,
AET 160,Automotive Technology & Systems,4,
AET 261,Automotive Driveability and Diagnosis,4,
AET 262,Automotive Computers and Electronics,4,"AET 160, AET 261, EET 113"
AET 280,Data Acquisition and Analysis,3,"EET 113, MATH 121"
AET 334,Fluid Power,3,"MATH 121, PHYS 211"
AET 364,Chassis Design and Performance Testing,4,"MATH 121, PHYS 211"
AET 366,Automotive Thermodynamics and Engine Design,3,"CHEM 104, MATH 121, PHYS 211"
AET 387,Junior Design Project,3,"ENG 271W, STAT 154"
AET 398,CPT: Co-Operative Experience,0,Permission Required
AET 435,Automotive Design and Construction,1-4,Permission Required
AET 436,Hybrid and Electric Vehicles,3,"AET 280, AET 366"
AET 465,Automotive Laboratory Experience,2,"AET 364, Permission required"
AET 468,Automotive Research Methods,4,Permission required
AET 488W,Senior Design Project I,3,"MET 341, AET 364, AET 387"
AET 489W,Senior Design Project II,3,"AET 468, AET 488W, MET 324"
AET 492,Automotive Seminar,1-4,Permission required
AET 497,Internship: Automotive,1-10,40 earned credits in AET/MET
AET 499,Individual Study,1-4,Permission required
AGBZ 110,Agronomy Selling Skills,3,
AGBZ 111,Introduction to Agriculture Economics,3,
AGBZ 315,Agronomy Finance Management,4,
AGBZ 330,AgriBusiness & Food Supply Chain Management,3,
AGBZ 340,Commodity Marketing Principles,3,
AGBZ 345,Commodity Marketing Strategies,2,
AGBZ 350,Agribusiness Transfer & Law,3,
AGBZ 370,AgriBusiness Finance,3,
AGBZ 371,Agricultural Technology Seminar,2,
AGBZ 492,Study Tour,1-3,
AGBZ 496,Internship,1-4,
AIS 101,Introduction to American Indigenous Studies,3,
AIS 112,Elementary Ojibwe I,4,
AIS 113,Elementary Ojibwe II,4,
AIS 130,Introduction to Indigenous Education,3,
AIS 210W,Oral Traditions,3,
AIS 211,Native America to 1900,3,
AIS 212,Native America 1900 to Present,3,
AIS 220W,Introduction to Tribal Sovereignty,3,
AIS 230W,American Indians of Minnesota,3,
AIS 240W,American Indian Women,3,
AIS 275,Selected Topics,3,
AIS 300W,American Indian Leaders,3,
AIS 330,Indigenous Education,3,
AIS 340,American Indians in Film,3,
AIS 360,Indigenous Peoples and Environmental Struggles,3,
AIS 380,The Sacred Landscape,3,
AIS 398,CPT: Co-Operative Experience,0,At least 60 credits earned; in good standing; instructor permission; co-op contract; other prerequisites may also apply.
AIS 455,Museum Science and Representation,3,
AIS 460,Behaving Like Relatives,3,
AIS 475,Selected Topics,3,
AIS 485,Workshop,1-6,
AIS 497,Internship,1-12,
AIS 499,Individual Study,1-6,
ANTH 101,Introduction to Anthropology,4,
ANTH 102,Ancient Peoples,4,
ANTH 120,Forensic Science: An Anthropological Approach,4,
ANTH 210,Introduction to Archaeology,4,
ANTH 220,Human Origins,4,
ANTH 230,Peoples and Cultures of the World,4,
ANTH 240,Language and Culture,4,
ANTH 245,The Social Life of Swearing,4,
ANTH 250W,Portraits of Culture,4,
ANTH 260,"Vampires, Werewolves, and Zombies: Folklore of Fear",4,
ANTH 261,"Taboos, Tattoos, and T-Shirts: Culture and Body Art",4,
ANTH 269,Anthropology of Sex,4,
ANTH 280,Engaged Anthropology,3,Consent
ANTH 285,Special Topics,1-3,
ANTH 290,Exploratory Studies,1-3,Consent
ANTH 300,Introduction to Anthropology Methods,4,ANTH 101
ANTH 311,Ancient Egypt,4,
ANTH 323,Primate Behavior,4,ANTH 101 or ANTH 220 or consent
ANTH 331,Environmental Anthropology,4,
ANTH 332,Anthropology of Religion,4,
ANTH 333,Ethnographic Film,3,
ANTH 335,People and Cultures of Sub-Saharan Africa,4,
ANTH 340,Language and Power,4,
ANTH 360,Business Anthropology,4,
ANTH 361,Foodways,4,
ANTH 398,CPT: Co-Operative Experience,0,At least 60 credits earned; in good standing; instructor permission; co-op contract; other prerequisites may also apply.
ANTH 410,Archaeology of Minnesota,4,
ANTH 411,Archaeology of Native North America,4,
ANTH 412,Archaeology of Latin America,4,
ANTH 414,Museology,4,
ANTH 415,Cultural Resource Management,4,"ANTH 101, ANTH 210 or consent"
ANTH 416,Archeological Methods,4,
ANTH 417,Quaternary Environments and Climatic Change,4,"GEOG 101, ANTH 210; Students are strongly encouraged to take Geog 315 or 4/515 before enrolling. Geol 121 can be substituted for Geog 101 with instructor permission."
ANTH 418,Agricultural Systems and Environmental Change,4,
ANTH 420,Human Osteology,4,
ANTH 421W,"Health, Culture, and Disease",4,
ANTH 422,Forensic Anthropology,4,ANTH 420
ANTH 424,Bioarchaeology,4,
ANTH 425W,Anthropology of Death,4,
ANTH 430,Peoples and Cultures of Latin America,4,"ANTH 101, ANTH 230, or consent"
ANTH 431,Applied Cultural Research,3,"ANTH 101, ANTH 230, or consent; ETHN 100, ETHN 101, or ETHN 150 or consent."
ANTH 432,"Kinship, Marriage and Family",3,
ANTH 433,Anthropology of Gender,4,"ANTH 101, ANTH 230, or ANTH 220, or consent"
ANTH 436W,Anthropology of Aging,4,"ANTH 101, ANTH 230, or ANTH 220, or consent"
ANTH 437,Applied Anthropology,4,"ANTH 101, ANTH 230 or consent"
ANTH 438W,Anthropological Theory,4,
ANTH 439,Qualitative Research Methods,4,"ANTH 101, ANTH 220 or consent"
ANTH 440,Native American Cultures of North America,4,
ANTH 443W,People and Cultures of East Asia,4,
ANTH 475,Senior Thesis,3,Consent
ANTH 480,Fieldwork: Archaeology/Ethnology,3-6,"Consent, or one of: ANTH 101, ANTH 102, or ANTH 220"
ANTH 485,Topics in Anthropology,1-3,
ANTH 486,Workshop,1-3,Depends on topic and instructor
ANTH 491,Archaeology Laboratory,1-3,
ANTH 492,Biological Anthropology Lab,1-3,Consent
ANTH 493,Ethnology Lab,1-3,Consent
ANTH 494,Linguistic Lab,1-3,
ANTH 497,Internship,1-12,Consent
ANTH 498,Internship: Teaching Anthropology,1-3,
ANTH 499,Individual Study,1-6,Consent
AOS 101,Preparing for Leadership Careers,3,
AOS 301,Introduction to Applied Leadership,3,
AOS 320,Applied Leadership Communication Workshop,3,
AOS 380W,Applied Leadership Workshop 2,3,
AOS 420,Applied Leadership & Decision Making,3,
AOS 430,Global Social Entrepreneurship,3,
AOS 440,Social Enterprise,3,
AOS 488,Professional Studies Portfolio,2,AOS 301
AOS 492,Selected Topics,3,
AOS 499,Individual Study,1-12,
ART 100,Elements and Principles of Art,3,
ART 101,Design Foundations,3,
ART 103,Three-Dimensional Design,3,
ART 110,Drawing Foundations,3,
ART 160,Introduction to Visual Culture,3,
ART 202,Introduction to Digital Media,3,
ART 210,Drawing,3,ART 110
ART 212,Life Drawing,3,ART 110
ART 220,Graphic Design I,3,ART 202
ART 225,Developing Creativity: Approaches and Techniques,3,
ART 231,Mixed Media,3,
ART 240,Painting,3,"ART 100 or ART 101, ART 110 or consent"
ART 245,Watercolor,3,"ART 100 or ART 101, ART 110 or consent"
ART 250,Ceramics: Beginning Wheel,3,
ART 251,Ceramics: Beginning Handbuilding,3,
ART 260,Art History Survey I,3,
ART 261,Art History Survey II,3,
ART 265W,Art As Politics,3,
ART 270,Printmaking: Beginning Silkscreen and Lithography,3,
ART 271,Printmaking: Beginning Intaglio/Relief,3,
ART 275,Introduction to Photography,3,
ART 280,Sculpture,3,ART 103 or consent
ART 285,Introduction to Installation,3,ART 103 or consent
ART 294,Topics,3,
ART 302,Interaction Design,3,ART 202
ART 304,Typography I,3,ART 202
ART 310,Drawing,3,ART 210
ART 320,Graphic Design II,3,"ART 220, ART 302, ART 304"
ART 324,Concept and Image,3,"ART 220, ART 302, ART 304"
ART 340,Painting,3,ART 240 or consent
ART 350,Intermediate Ceramics,3,ART 250 or ART 251
ART 370,Printmaking: Intermediate Studio,3,ART 270 or ART 271
ART 372,Digital Printmaking,3,"ART 202, ART 271"
ART 375,Intermediate Black and White Photography,3,ART 275
ART 377,Intermediate Digital Photography,3,ART 275
ART 378,Experimental Video,3,
ART 380,Sculpture,3,ART 280
ART 385,Intermediate Installation,3,ART 285 or consent
ART 391,Portfolio Review,0,ART 104
ART 392,Portfolio Review: Graphic Design,0,ART 392
ART 400,Graphic Design Special Topics,3-6,ART 392
ART 402,Motion Graphics,3,ARTR 392
ART 404,Typography II,3,"ART 220, ART 302, ART 304"
ART 405,Self-Initiated Design Workshop,3,392
ART 406,Web Design I,3,ART 310
ART 410,Drawing Workshop,3-6,ART 310
ART 417,Medieval Art and Architecture,3,ART 260 or consent
ART 419,Gender in Art,3,"ART 320, ART 404, ART 406"
ART 420,Graphic Design III,3-6,"ART 320, ART 404, ART 406"
ART 421,Art Methods Elementary School,3,"ART 100 or ART 101, Jr. status or consent"
ART 424,Art Education for the Exceptional Child,3,ART 421
ART 426,Art Methods Secondary School,3,ART 421
ART 434,Arts Administration,3,
ART 436,Web Design II,3,ART 340
ART 440,Painting,3-6,ART 340
ART 444,Typography III,3,ART 350
ART 450,Advanced Ceramics,3-6,ART 350
ART 460,Ancient Art,3,ART 260 or consent
ART 462,Renaissance Art,3,ART 261 or consent
ART 463,Mannerism to Romanticism,3,"ART 392, ART 406"
ART 464,Art Museum and Exhibition Studies,3,"ART 260, ART 261"
ART 466,Realism to Postmodernism,3,ART 261 or consent
ART 467,Art of the Islamic World,3,
ART 468,Design: History and Theory,3,
ART 469,Asian Art,3,Consent
ART 470,Printmaking: Advanced Studio,3-6,ART 370
ART 475,Advanced Photography Studio,3-6,
ART 477W,Roots of Modern Islamic Art,3,
ART 480,Sculpture,3-6,ART 380
ART 485,Advanced Installation,3-6,ART 385 or consent
ART 492,Art History Seminar,1-6,Consent
ART 494,Topics,3,Consent
ART 495,Senior Exhibit,0-1,Consent
ART 496,Art History Senior Thesis,1,Consent
ART 497,Internship,1-6,Jr. standing with consent of advisor and department chair.
ART 499,Individual Study,1-6,Consent
AST 101,Introduction to Astronomy,3,
AST 102,Introduction to the Planets,3,
AST 115,Life in the Universe,2,
AST 115W,Life in the Universe,2,
AST 125,Observational Astronomy,3,AST 101
AST 201,Spherical Astronomy,2,
AST 215,Astronomy and Astrophysics I,4,MATH 121 and PHYS 221
AST 225,Astronomy and Astrophysics II,4,"AST 215, MATH 122, PHYS 222"
AST 351,Telescope Operations,2,"AST 201 and AST 215, Consent"
AST 353,Photometry I,2,AST 215
AST 354,Photometry II,2,AST 353
AST 355,Astrometry,2,AST 201 and AST 215
AST 357,Spectroscopy,2,Consent
AST 493,Undergraduate Research,1-6,Consent
AST 495,Selected Topics,1-4,Consent
AST 499,Individual Study,1-8,Consent
AVIA 100,Aviation Program Orientation,1,
AVIA 101,World of Aviation,3,
AVIA 102,Aviation Terminology,3,
AVIA 150,Private Pilot,3,
AVIA 151,Private Pilot Flight Lab,2,
AVIA 152,Private Pilot Helicopter Flight Lab,3,
AVIA 153,Private Pilot Flight Lab II,1,
AVIA 160,Introduction to UAS,3,
AVIA 171,Multi-Engine Flight Lab,1,"AVIA 151, or equivalent"
AVIA 201,Theory of Flight,3,"PHYS 101, MATH 112. Select 1 course: AVIA 150 or AVIA 240"
AVIA 202,Principles of Air Navigation,3,AVIA 150
AVIA 240,Instrument Pilot,3,"AVIA 150, or equivalent"
AVIA 241,Instrument Pilot Flight Lab,2,
AVIA 242,Instrument Pilot Helicopter Flight Lab,3,AVIA 152
AVIA 243,Instrument Pilot Flight Lab II,1,
AVIA 250,Commercial Pilot,3,"AVIA 153, AVIA 240"
AVIA 251,Commercial Pilot Flight Lab,2,
AVIA 252,Commercial Pilot Helicopter Flight Lab,3,"AVIA 152, AVIA 242"
AVIA 253,Commercial Pilot Flight Lab II,2,
AVIA 270,Helicopter Pilot,3,"AVIA 150, AVIA 250, AVIA 260"
AVIA 275,Helicopter Flight Theory,3,
AVIA 300,Advanced Studies Orientation,1,ENG 271W or ENG 272W
AVIA 305,Aviation Professional Communications,1,
AVIA 306,Intercollegiate Flight Team,1,
AVIA 333,Airline Operations,3,
AVIA 334,Aviation Management,3,
AVIA 336,Basic Aircraft Systems,3,
AVIA 337,Avionics,3,
AVIA 338,Advanced Aircraft Systems,3,AVIA 201
AVIA 339,Aerospace Propulsion,3,
AVIA 340,Flight Operations,3,AVIA 240
AVIA 343,Airport Management,3,
AVIA 344,Airport Operations,3,
AVIA 360,Flight Instructor,3,"AVIA 243, AVIA 250"
AVIA 364,Flight Instructor Flight Lab,3,
AVIA 365,UAS Sensors,3,AVIA 160
AVIA 370,Confidence Maneuver Training flight lab,3,AVIA 253
AVIA 375,UAS Telemetry and Communication,3,AVIA 370
AVIA 383,Flight Instructor Helicopter Flight Lab,1,AVIA 252
AVIA 392,Instrument Instructor Helicopter Flight Lab,1,"AVIA 242, AVIA 252"
AVIA 432,Aviation Law – General,3,
AVIA 435,Aviation Law – Transactions,3,AVIA 432
AVIA 436,Flight Operations and Procedures,3,AVIA 340
AVIA 437,Aviation Safety,3,AVIA 150
AVIA 442,Fundamentals of Air Traffic Control,3,AVIA 240
