ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Advanced Professional Nurse,MS,Advanced Professional Nurse - MS,7358,30,Nurse Leader,Graduate,2024-2025,Capstone Course,,,,,NURS,684,NURS 684,Nursing Leadership Capstone,3,,,
Advanced Professional Nurse,MS,Advanced Professional Nurse - MS,7358,30,Nurse Leader,Graduate,2024-2025,Common Core,,,,,NURS,521,NURS 521,Socialization and Transition for Advanced Professional Nursing Roles,3,,,
Advanced Professional Nurse,MS,Advanced Professional Nurse - MS,7358,30,Nurse Leader,Graduate,2024-2025,Common Core,,,,,NURS,523,NURS 523,Nursing Science Theory,3,,,
Advanced Professional Nurse,MS,Advanced Professional Nurse - MS,7358,30,Nurse Leader,Graduate,2024-2025,Common Core,,,,,NURS,524,NURS 524,Advanced Healthcare Technology and Informatics,3,,,
Advanced Professional Nurse,MS,Advanced Professional Nurse - MS,7358,30,Nurse Leader,Graduate,2024-2025,Common Core,,,,,NURS,525,NURS 525,"Advanced Pathophysiology, Pharmacology & Health Assessment",3,,,
Advanced Professional Nurse,MS,Advanced Professional Nurse - MS,7358,30,Nurse Leader,Graduate,2024-2025,Common Core,,,,,NURS,634,NURS 634,Advanced Professional Nursing Leadership in Organizations,3,,,
Advanced Professional Nurse,MS,Advanced Professional Nurse - MS,7358,30,Nurse Leader,Graduate,2024-2025,Emphasis Common Core,,,,,NURS,681,NURS 681,Leadership Styles and Interprofessional Collaboration,3,,,
Advanced Professional Nurse,MS,Advanced Professional Nurse - MS,7358,30,Nurse Leader,Graduate,2024-2025,Emphasis Common Core,,,,,NURS,682,NURS 682,"Healthcare Policy, Finance, and Budget",3,,,
Advanced Professional Nurse,MS,Advanced Professional Nurse - MS,7358,30,Nurse Leader,Graduate,2024-2025,Emphasis Common Core,,,,,NURS,683,NURS 683,Quality Improvement and Safety,3,,,
Advanced Professional Nurse,MS,Advanced Professional Nurse - MS,7358,30,Nurse Leader,Graduate,2024-2025,Research/Methods Course(s),,,,,NURS,630,NURS 630,Advanced Evidenced-Based Nursing Practice,3,,,
