ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Capstone Course,,,Choose thesis or APP ,Choose1 - 6 Credit(s).,GERO,694,GERO 694,Alternate Plan Paper,1-2,,,
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Capstone Course,,,Choose thesis or APP ,Choose1 - 6 Credit(s).,GERO,699,GERO 699,Thesis,1-3,,,
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Common Core,,,,,GERO,600,GERO 600,Gerontology Theory and Practice,3,,,
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Restricted Electives,,,Bio Medical  ,Choose  3 Credit(s).,ANTH,521,ANTH 521,"Health, Culture, & Disease",4,,,
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Restricted Electives,,,Bio Medical  ,Choose  3 Credit(s).,BIOL,517,BIOL 517,Biology of Aging and Chronic Diseases,3,,,
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Restricted Electives,,,Bio Medical  ,Choose  3 Credit(s).,HLTH,555,HLTH 555,Health and Aging,3,,,
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Restricted Electives,,,Internship ,Choose  6 Credit(s).,GERO,697,GERO 697,Internship,1-6,,,
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Restricted Electives,,,Policy/Applied Theory  ,Choose  3 Credit(s).,GERO,550,GERO 550,Innovations in Aging Policy,3,,,
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Restricted Electives,,,Policy/Applied Theory  ,Choose  3 Credit(s).,GERO,585,GERO 585,Topics in Gerontology,1-3,,,
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Restricted Electives,,,Policy/Applied Theory  ,Choose  3 Credit(s).,GERO,603,GERO 603,Transformational Leadership in Aging,3,,,
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Restricted Electives,,,Policy/Applied Theory  ,Choose  3 Credit(s).,SOWK,519,SOWK 519,Social Work and Aging,3,,,
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Restricted Electives,,,Social - Psychological  ,Choose  3 Credit(s).,ANTH,536,ANTH 536,Anthropology of Aging,4,,,
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Restricted Electives,,,Social - Psychological  ,Choose  3 Credit(s).,PSYC,566,PSYC 566,Psychology of Aging,4,,,
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Restricted Electives,,,Social - Psychological  ,Choose  3 Credit(s).,SOC,504,SOC 504,Sociology of Aging,3,,,
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Restricted Electives,,,Social - Psychological  ,Choose  3 Credit(s).,SOC,505,SOC 505,Sociology of Death,3,,,
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Unrestricted Electives,,, Note: SOC 517 is also listed as CORR 517,Choose8 - 14 Credit(s).,FCS,574,FCS 574,Community Resources and Family Support,3,,,
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Unrestricted Electives,,, Note: SOC 517 is also listed as CORR 517,Choose8 - 14 Credit(s).,GERO,580,GERO 580,Long-Term Care Administration,3,,,
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Unrestricted Electives,,, Note: SOC 517 is also listed as CORR 517,Choose8 - 14 Credit(s).,GERO,601,GERO 601,Current Health Issues in Aging,3,,,
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Unrestricted Electives,,, Note: SOC 517 is also listed as CORR 517,Choose8 - 14 Credit(s).,GERO,677,GERO 677,Individual Study,1-4,,,
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Unrestricted Electives,,, Note: SOC 517 is also listed as CORR 517,Choose8 - 14 Credit(s).,HLTH,541,HLTH 541,Death Education,3,,,
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Unrestricted Electives,,, Note: SOC 517 is also listed as CORR 517,Choose8 - 14 Credit(s).,RPLS,582,RPLS 582,Leisure and Older Adults,3,,,
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Unrestricted Electives,,, Note: SOC 517 is also listed as CORR 517,Choose8 - 14 Credit(s).,SOC,517,SOC 517,Program Administration,3,,,
Aging Studies,MS,Aging Studies - MS,2510,34,,Graduate,2024-2025,Unrestricted Electives,,, Note: SOC 517 is also listed as CORR 517,Choose8 - 14 Credit(s).,SOC,566,SOC 566,Program Planning and Evaluation,3,,,
