ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all AgriBusiness & Food Majors  ,,AGBZ,330,AGBZ 330,AgriBusiness & Food Supply Chain Management,3,,,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all AgriBusiness & Food Majors  ,,AGBZ,370,AGBZ 370,AgriBusiness Finance,3,,,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all AgriBusiness & Food Majors  ,,AGBZ,496,AGBZ 496,Internship,1-4,,,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all AgriBusiness & Food Majors  ,,MGMT,360,MGMT 360,AgriBusiness in the Modern Economy,3,,,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business Majors ,,ACCT,210,ACCT 210,Managerial Accounting,3, ACCT 200,,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business Majors ,,BLAW,200,BLAW 200,Legal Environment of Business,3,,,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business Majors ,,ECON,202,ECON 202,Principles of Microeconomics,3,,,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business Majors ,,ECON,207,ECON 207,Business Statistics,4,MATH 112 or equivalent,,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business Majors ,,FINA,362,FINA 362,Business Finance,3,ACCT 200,,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business Majors ,,IBUS,380,IBUS 380,Principles of International Business,3,,,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business Majors ,,MGMT,230,MGMT 230,Principles of Management,3,,,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business Majors ,,MGMT,300,MGMT 300,Introduction to MIS,3,ISYS 101 or CIS 101,,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business Majors ,,MGMT,346,MGMT 346,Operations Management for the Supply Chain,3, ECON 207 ,,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business Majors ,,MGMT,481,MGMT 481,Business Policy & Strategy,3,"FINA 362, MRKT 210, MGMT 230, MGMT 346",,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Common Core,,,Required of all College of Business Majors ,,MRKT,210,MRKT 210,Principles of Marketing,3,,,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Area A: Accounting ,Choose  9 Credit(s).,ACCT,300,ACCT 300,Intermediate Financial Accounting I,3,ACCT 200,,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Area A: Accounting ,Choose  9 Credit(s).,ACCT,310,ACCT 310,Management Accounting I,3,"ACCT 200, ACCT 210",,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Area A: Accounting ,Choose  9 Credit(s).,ACCT,320,ACCT 320,Accounting Analytics and Information Systems,3,,,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Area A: Accounting ,Choose  9 Credit(s).,ACCT,330,ACCT 330,Individual Income Tax,3," ACCT 200, ACCT 210",,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Area A: Accounting ,Choose  9 Credit(s).,BLAW,474,BLAW 474,Environmental Law,3, BLAW 200 ,,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Area B: Entrepreneurship ,Choose  9 Credit(s).,BLAW,471,BLAW 471,Technology and Intellectual Property Law,3,,,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Area B: Entrepreneurship ,Choose  9 Credit(s).,BLAW,474,BLAW 474,Environmental Law,3, BLAW 200 ,,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Area B: Entrepreneurship ,Choose  9 Credit(s).,MGMT,332,MGMT 332,Creativity and Innovation,3,,,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Area B: Entrepreneurship ,Choose  9 Credit(s).,MGMT,443,MGMT 443,Entrepreneurship: New Venture Growth,3,,,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Area C: Finance ,Choose  9 Credit(s).,FINA,375,FINA 375,Business Analytics,3,"ECON 207, STAT 154",,
Agribusiness and Food Innovation,BS,Agribusiness and Food Innovation - BS,202052921,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Area C: Finance ,Choose  9 Credit(s).,FINA,462,FINA 462,Strategic Financial Management,3, FINA 362 ,,
