ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Agronomy,BAS,Agronomy - BAS,202423421,120,Undergraduate,2024-2025,Required General Education,,,,,BIOL,106,General Biology II,4,,,,
Agronomy,BAS,Agronomy - BAS,202423421,120,Undergraduate,2024-2025,Required General Education,,,,,CHEM,201,General Chemistry I,5,“C” (2.0) or higher in MATH 112 or the equivalent; high school chemistry or “C” (2.0) or higher in CHEM 104.,,,
Agronomy,BAS,Agronomy - BAS,202423421,120,Undergraduate,2024-2025,Required General Education,,,,,STAT,154,Elementary Statistics,4,"Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,,
Agronomy,BAS,Agronomy - BAS,202423421,120,Undergraduate,2024-2025,Required General Education,,,Math Requirement ,Choose3 - 4 Credit(s).,MATH,112,College Algebra,4,"Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,,
Agronomy,BAS,Agronomy - BAS,202423421,120,Undergraduate,2024-2025,Required General Education,,,Math Requirement ,Choose3 - 4 Credit(s).,MATH,113,Trigonometry,3,"Satisfy Placement Table in this section, or MATH 112 with “C” (2.0) or better. ",,,
Agronomy,BAS,Agronomy - BAS,202423421,120,Undergraduate,2024-2025,Required General Education,,,Math Requirement ,Choose3 - 4 Credit(s).,MATH,115,Precalculus Mathematics,4,"Satisfy Math Placement Table in this section, or grade of P in MATH 098.",,,
Agronomy,BAS,Agronomy - BAS,202423421,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,125,Livestock Production,3,,,,
Agronomy,BAS,Agronomy - BAS,202423421,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,136,Forages and Pasture Management,2,,,,
Agronomy,BAS,Agronomy - BAS,202423421,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,146,Agronomy I,2,,,,
Agronomy,BAS,Agronomy - BAS,202423421,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,204,Soils II,3,"BIOL 104, GEOL 104",,,
Agronomy,BAS,Agronomy - BAS,202423421,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,215,General Ecology,4,BIOL 105 and BIOL 106 or consent ,,,
Agronomy,BAS,Agronomy - BAS,202423421,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,217,Plant Science,4,BIOL 105 and BIOL 106 or consent ,,,
Agronomy,BAS,Agronomy - BAS,202423421,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,246,Agronomy II,3,BIOL 146,,,
