ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Alcohol and Drug Studies,BS,Alcohol and Drug Studies - BS,3079,120,,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,225,HLTH 225,Introduction to Alcohol and Drug Studies,3,,,
Alcohol and Drug Studies,BS,Alcohol and Drug Studies - BS,3079,120,,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,370,HLTH 370,Multicultural topics for addictions professionals,3,HLTH 225,,
Alcohol and Drug Studies,BS,Alcohol and Drug Studies - BS,3079,120,,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,372,HLTH 372,Adolescent Addictions,3,HLTH 225,,
Alcohol and Drug Studies,BS,Alcohol and Drug Studies - BS,3079,120,,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,373,HLTH 373,Individual Counseling Skills for Substance Use Disorders,3,HLTH 225,,
Alcohol and Drug Studies,BS,Alcohol and Drug Studies - BS,3079,120,,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,374,HLTH 374,Group Counseling Skills for Substance Use Disorders,3,HLTH 225,,
Alcohol and Drug Studies,BS,Alcohol and Drug Studies - BS,3079,120,,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,406,HLTH 406,Ethics and Professionalism for Addictions Professionals,3, HLTH 225,,
Alcohol and Drug Studies,BS,Alcohol and Drug Studies - BS,3079,120,,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,407,HLTH 407,Pharmacology for Alcohol and Drug Professionals,3, HLTH 225,,
Alcohol and Drug Studies,BS,Alcohol and Drug Studies - BS,3079,120,,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,408W,HLTH 408W,Theories and Methods for Addictions Professionals,3, HLTH 225,,
Alcohol and Drug Studies,BS,Alcohol and Drug Studies - BS,3079,120,,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,456,HLTH 456,Assessment and Diagnosis of Substance Use Disorders,3, HLTH 225 ,,
Alcohol and Drug Studies,BS,Alcohol and Drug Studies - BS,3079,120,,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,469,HLTH 469,Co-Occurring Disorders,3, HLTH 225 ,,
Alcohol and Drug Studies,BS,Alcohol and Drug Studies - BS,3079,120,,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,497,HLTH 497,Internship: Alcohol and Drug Studies,1-12, Completion of all Alcohol and Drug Studies required core courses.,,
Alcohol and Drug Studies,BS,Alcohol and Drug Studies - BS,3079,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  12 Credit(s).,CJ,309,CJ 309,Drugs and Society,3,,,
Alcohol and Drug Studies,BS,Alcohol and Drug Studies - BS,3079,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  12 Credit(s).,CSP,470,CSP 470,Group Procedures,3,,,
Alcohol and Drug Studies,BS,Alcohol and Drug Studies - BS,3079,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  12 Credit(s).,CSP,471,CSP 471,Interpersonal Helping Skills,3,,,
