ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Common Core,,,,,AIS,210W,AIS 210W,Oral Traditions,3,,,Purple
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Common Core,,,,,AIS,220W,AIS 220W,Introduction to Tribal Sovereignty,3,,,Purple
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Common Core,,,,,AIS,230W,AIS 230W,American Indians of Minnesota,3,,,Purple
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Common Core,,,,,AIS,460,AIS 460,Behaving Like Relatives,3,,Permission of AIS faculty member.,Gold
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Language ,Choose  8 Credit(s).,AIS,112,AIS 112,Elementary Ojibwe I,4,,,Purple
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Language ,Choose  8 Credit(s).,AIS,113,AIS 113,Elementary Ojibwe II,4,,,Purple
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Outside Electives Choose remaining electives up to 9 credits,,ANTH,331,ANTH 331,Environmental Anthropology,4,,,
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Outside Electives Choose remaining electives up to 9 credits,,ANTH,411,ANTH 411,Archaeology of Native North America,4,,,
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Outside Electives Choose remaining electives up to 9 credits,,ANTH,412,ANTH 412,Archaeology of Latin America,4,,,
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Outside Electives Choose remaining electives up to 9 credits,,ANTH,440,ANTH 440,Native American Cultures of North America,4,,,
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Outside Electives Choose remaining electives up to 9 credits,,CJ,322,CJ 322,Peacekeeping in a Diverse Society I,3,,,Purple
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Outside Electives Choose remaining electives up to 9 credits,,ENG,436W,ENG 436W,Native American Literature,4,,,Purple
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Outside Electives Choose remaining electives up to 9 credits,,PHIL,115W,PHIL 115W,"Philosophy of Race, Class and Gender",3,,,
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Outside Electives Choose remaining electives up to 9 credits,,POL,426,POL 426,Racial and Ethnic Politics,4,,,
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Program Electives ,Choose12 - 21 Credit(s).,AIS,211,AIS 211,Native America to 1900,3,,,Purple
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Program Electives ,Choose12 - 21 Credit(s).,AIS,212,AIS 212,Native America 1900 to Present,3,,,Purple
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Program Electives ,Choose12 - 21 Credit(s).,AIS,240W,AIS 240W,American Indian Women,3,,,Purple
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Program Electives ,Choose12 - 21 Credit(s).,AIS,275,AIS 275,Selected Topics:,3,,,
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Program Electives ,Choose12 - 21 Credit(s).,AIS,300W,AIS 300W,American Indian Leaders,3,,,Purple
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Program Electives ,Choose12 - 21 Credit(s).,AIS,330,AIS 330,Indigenous Education,3,,,Purple
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Program Electives ,Choose12 - 21 Credit(s).,AIS,340,AIS 340,American Indians in Film,3,,,Purple
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Program Electives ,Choose12 - 21 Credit(s).,AIS,360,AIS 360,Indigenous Peoples and Environmental Struggles,3,,,Purple
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Program Electives ,Choose12 - 21 Credit(s).,AIS,380,AIS 380,The Sacred Landscape,3,,,Purple
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Program Electives ,Choose12 - 21 Credit(s).,AIS,455,AIS 455,Museum Science and Representation,3,,,Gold
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Program Electives ,Choose12 - 21 Credit(s).,AIS,475,AIS 475,Selected Topics:,3,,,
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Program Electives ,Choose12 - 21 Credit(s).,AIS,485,AIS 485,Workshop,1-6,,,
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Program Electives ,Choose12 - 21 Credit(s).,AIS,497,AIS 497,Internship,1-12,,,Gold
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Program Electives ,Choose12 - 21 Credit(s).,AIS,499,AIS 499,Individual Study,1-6,,,
American Indigenous Studies,BA,American Indigenous Studies - BA,201401111,120,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,AIS,101,AIS 101,Introduction to American Indigenous Studies,3,,,
