ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Emphasis Common Core,,,,,BIOL,201,BIOL 201,Anatomy & Physiology I,4,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Emphasis Common Core,,,,,BIOL,202,BIOL 202,Anatomy & Physiology II,4,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Emphasis Common Core,,,,,FCS,242,FCS 242,Nutrition for Healthcare Professionals,3,Select One Course: CHEM 106 or CHEM 111,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Emphasis Common Core,,,,,HLTH,321,HLTH 321,Medical Terminology,3,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Emphasis Common Core,,,,,HP,314,HP 314,Physiology of Exercise,3,BIOL 330,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Emphasis Common Core,,,,,PHYS,211,PHYS 211,Principles of Physics I,4,"Either MATH 112 and MATH 113, or MATH 115",,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Emphasis Restricted Electives,Option 1 ,Option 1 ,,,HP,328,HP 328,Pathomechanics in Sports Medicine,3,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Emphasis Restricted Electives,Option 2 ,Option 2 ,,,HP,363,HP 363,Science of Strength Training and Kinesiology,3,BIOL 220,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Emphasis Restricted Electives,Option 2 ,Option 2 ,,,HP,431,HP 431,Biomechanics,3,HP 363,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,," Not required, but may assist in admission to a graduate program.",,HP,340,HP 340,Prevention and Care,2,HLTH 210,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,," Not required, but may assist in admission to a graduate program.",,HP,415,HP 415,Advanced Sports Medicine,2," BIOL 220, HLTH 210, HP 340",,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,260,HLTH 260,Introduction to Applied Health Science,3,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,295,HLTH 295,Professional Preparation in Health Careers,1,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,360,HLTH 360,Theories and Models of Health Education,3,HLTH 260,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,361W,HLTH 361W,Health Communication and Advocacy,4,"HLTH 101, HLTH 360",,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,380W,HLTH 380W,"Health Education Planning, Implementing, and Evaluating 1",3,"HLTH 360, HLTH 361W",,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,454,HLTH 454,Chronic and Infectious Diseases,3,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,460,HLTH 460,Introduction to Epidemiology,3,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,480,HLTH 480,"Health Education Planning, Implementing and Evaluating 2",3, HLTH 380W,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,482W,HLTH 482W,Administration and Grant Writing in Health Education,4,HLTH 380W,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Required General Education,,,,,BIOL,105,BIOL 105,General Biology I,4,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Required General Education,,,,,HLTH,101,HLTH 101,Health and the Environment,3,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Required General Education,,,,,HLTH,210,HLTH 210,Emergency Medical Responder First Aid & CPR,3,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Required General Education,,,,,HLTH,212,HLTH 212,Consumer Health,3,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Required General Education,,,,,PSYC,101,PSYC 101,Introduction to Psychological Science,4,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Required General Education,,,,,STAT,154,STAT 154,Elementary Statistics,4," Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Required General Education,,,Chemistry ,Choose3 - 5 Credit(s).,CHEM,111,CHEM 111,Chemistry of Life Process Part II (Organic & Biochemistry),5, CHEM 106 or high school chemistry ,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Required General Education,,,Chemistry ,Choose3 - 5 Credit(s).,CHEM,201,CHEM 201,General Chemistry I,5,“C” (2.0) or higher in MATH 112 or the equivalent; high school chemistry or “C” (2.0) or higher in CHEM 104.,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Required General Education,,,Communication  ,Choose  3 Credit(s).,COMM,100,COMM 100,Fundamentals of Communication,3,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Athletic Training,Undergraduate,2024-2025,Required General Education,,,Communication  ,Choose  3 Credit(s).,COMM,102,COMM 102,Public Speaking,3,,,
