ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Occupational Therapy,Undergraduate,2024-2025,Emphasis Common Core,,,,,BIOL,201,BIOL 201,Anatomy & Physiology I,4,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Occupational Therapy,Undergraduate,2024-2025,Emphasis Common Core,,,,,BIOL,202,BIOL 202,Anatomy & Physiology II,4,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Occupational Therapy,Undergraduate,2024-2025,Emphasis Common Core,,,,,HLTH,321,HLTH 321,Medical Terminology,3,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Occupational Therapy,Undergraduate,2024-2025,Emphasis Common Core,,,,,PSYC,101,PSYC 101,Introduction to Psychological Science,4,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Occupational Therapy,Undergraduate,2024-2025,Emphasis Common Core,,,,,PSYC,455,PSYC 455,Abnormal Psychology,4,PSYC 101,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Occupational Therapy,Undergraduate,2024-2025,Emphasis Common Core,,,,,SOC,101,SOC 101,Introduction to Sociology,4,,,Purple
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Occupational Therapy,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Human Development ,Choose3 - 4 Credit(s).,KSP,235,KSP 235,Human Development,3,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Occupational Therapy,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Human Development ,Choose3 - 4 Credit(s).,PSYC,343,PSYC 343,Introduction to Developmental Psychology,4, PSYC 101 ,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Occupational Therapy,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Physics ,Choose3 - 4 Credit(s).,PHYS,101,PHYS 101,Introductory Physics,3,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Occupational Therapy,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Physics ,Choose3 - 4 Credit(s).,PHYS,211,PHYS 211,Principles of Physics I,4,"Either MATH 112 and MATH 113, or MATH 115",,
Applied Health Science,BS,Applied Health Science - BS,36,120,Pre-Occupational Therapy,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Statistics ,Choose  4 Credit(s).,SOC,202,SOC 202,Introductory Social Statistics,4,,,
