ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Art,BFA,Art - BFA,2515,120,,Undergraduate,2024-2025,Major Common Core,,,,,ART,101,ART 101,Design Foundations,3,,,
Art,BFA,Art - BFA,2515,120,,Undergraduate,2024-2025,Major Common Core,,,,,ART,103,ART 103,Three-Dimensional Design,3,,,
Art,BFA,Art - BFA,2515,120,,Undergraduate,2024-2025,Major Common Core,,,,,ART,110,ART 110,Drawing Foundations,3,,,
Art,BFA,Art - BFA,2515,120,,Undergraduate,2024-2025,Major Common Core,,,,,ART,391,ART 391,Portfolio Review,0,ART 104,,
Art,BFA,Art - BFA,2515,120,,Undergraduate,2024-2025,Major Common Core,,,,,ART,466,ART 466,Realism to Postmodernism,3, ART 261 or consent ,,
Art,BFA,Art - BFA,2515,120,,Undergraduate,2024-2025,Major Restricted Electives,Advanced Drawing and Art/Design History Choose 12 Credit(s).,,,Choose3 - 6 Credit(s).,ART,210,ART 210,Drawing,3, ART 110 ,,
Art,BFA,Art - BFA,2515,120,,Undergraduate,2024-2025,Major Restricted Electives,Advanced Drawing and Art/Design History Choose 12 Credit(s).,,,Choose3 - 6 Credit(s).,ART,212,ART 212,Life Drawing,3, ART 110 ,,
Art,BFA,Art - BFA,2515,120,,Undergraduate,2024-2025,Major Restricted Electives,Advanced Drawing and Art/Design History Choose 12 Credit(s).,,,Choose3 - 6 Credit(s).,ART,310,ART 310,Drawing,3, ART 210,,
Art,BFA,Art - BFA,2515,120,,Undergraduate,2024-2025,Major Restricted Electives,Advanced Drawing and Art/Design History Choose 12 Credit(s).,,,Choose3 - 6 Credit(s).,ART,410,ART 410,Drawing Workshop,3-6, ART 310,,
Art,BFA,Art - BFA,2515,120,,Undergraduate,2024-2025,Major Restricted Electives,Advanced Drawing and Art/Design History Choose 12 Credit(s).,,,Choose6 - 9 Credit(s).,ART,417,ART 417,Medieval Art and Architecture,3, ART 260 or consent,,
Art,BFA,Art - BFA,2515,120,,Undergraduate,2024-2025,Major Restricted Electives,Advanced Drawing and Art/Design History Choose 12 Credit(s).,,,Choose6 - 9 Credit(s).,ART,419,ART 419,Gender in Art,3, ART 261 or consent ,,
