ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Common Core,,,,,ART,391,ART 391,Portfolio Review,0,ART 104,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Common Core,,,,,ART,417,ART 417,Medieval Art and Architecture,3, ART 260 or consent,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Common Core,,,,,ART,460,ART 460,Ancient Art,3, ART 260 or consent ,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Common Core,,,,,ART,466,ART 466,Realism to Postmodernism,3, ART 261 or consent ,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Common Core,,,,,ART,496,ART 496,Art History Senior Thesis,1, Consent of advisor ,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Common Core,,,Design/Drawing Requirement 101 preferred,Choose  3 Credit(s).,ART,100,ART 100,Elements and Principles of Art,3,,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Common Core,,,Design/Drawing Requirement 101 preferred,Choose  3 Credit(s).,ART,101,ART 101,Design Foundations,3,,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Common Core,,,Non-Western ,Choose  3 Credit(s).,ART,467,ART 467,Art of the Islamic World,3,,,Purple
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Common Core,,,Non-Western ,Choose  3 Credit(s).,ART,469,ART 469,Asian Art,3," ART 260, ART 261 or consent ",,Purple
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Common Core,,,Non-Western ,Choose  3 Credit(s).,ART,477W,ART 477W,Roots of Modern Islamic Art,3,,,Purple
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Common Core,,,Renaissance and Baroque ,Choose  3 Credit(s).,ART,462,ART 462,Renaissance Art,3, ART 261 or consent ,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Common Core,,,Renaissance and Baroque ,Choose  3 Credit(s).,ART,463,ART 463,Mannerism to Romanticism,3,"ART 392, ART 406",,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Restricted Electives,,, Choose three courses from the Major Common Core not previously taken and/or from the following:,Choose  9 Credit(s).,ART,419,ART 419,Gender in Art,3, ART 261 or consent ,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Restricted Electives,,, Choose three courses from the Major Common Core not previously taken and/or from the following:,Choose  9 Credit(s).,ART,464,ART 464,Art Museum and Exhibition Studies,3," ART 260, ART 261",,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Restricted Electives,,, Choose three courses from the Major Common Core not previously taken and/or from the following:,Choose  9 Credit(s).,ART,468,ART 468,Design: History and Theory,3,,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Restricted Electives,,, Choose three courses from the Major Common Core not previously taken and/or from the following:,Choose  9 Credit(s).,ART,492,ART 492,Art History Seminar,1-6, Consent ,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Restricted Electives,,, Choose three courses from the Major Common Core not previously taken and/or from the following:,Choose  9 Credit(s).,ART,494,ART 494,Topics,3,,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Studio Electives ,Choose  6 Credit(s).,ART,103,ART 103,Three-Dimensional Design,3,,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Studio Electives ,Choose  6 Credit(s).,ART,110,ART 110,Drawing Foundations,3,,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Studio Electives ,Choose  6 Credit(s).,ART,202,ART 202,Introduction to Digital Media,3,,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Studio Electives ,Choose  6 Credit(s).,ART,210,ART 210,Drawing,3, ART 110 ,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Studio Electives ,Choose  6 Credit(s).,ART,212,ART 212,Life Drawing,3, ART 110 ,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Studio Electives ,Choose  6 Credit(s).,ART,220,ART 220,Graphic Design I,3,ART 202,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Studio Electives ,Choose  6 Credit(s).,ART,225,ART 225,Developing Creativity: Approaches and Techniques,3,,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Studio Electives ,Choose  6 Credit(s).,ART,231,ART 231,Mixed Media,3,,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Studio Electives ,Choose  6 Credit(s).,ART,240,ART 240,Painting,3,"ART 100 or ART 101, ART 110 or consent",,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Studio Electives ,Choose  6 Credit(s).,ART,245,ART 245,Watercolor,3,"ART 100 or ART 101, ART 110 or consent",,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Studio Electives ,Choose  6 Credit(s).,ART,250,ART 250,Ceramics: Beginning Wheel,3,,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Studio Electives ,Choose  6 Credit(s).,ART,251,ART 251,Ceramics: Beginning Handbuilding,3,,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Studio Electives ,Choose  6 Credit(s).,ART,270,ART 270,Printmaking: Beginning Silkscreen and Lithography,3,,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Studio Electives ,Choose  6 Credit(s).,ART,271,ART 271,Printmaking: Beginning Intaglio/Relief,3,,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Studio Electives ,Choose  6 Credit(s).,ART,275,ART 275,Introduction to Photography,3,,,
Art History,BA,Art History - BA,3961,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Studio Electives ,Choose  6 Credit(s).,ART,280,ART 280,Sculpture,3, ART 103 or consent ,,
