ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Capstone Course,,,,,ART,699,ART 699,Graduate Exhibition and Defense,3-6                                     ,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Common Core,,,,,ART,690,ART 690,Graduate Review,1,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Research/Methods Course(s),,,,,ART,601,ART 601,Introduction to Research in Art,3,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,501,ART 501,Graphic Design,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,510,ART 510,Drawing: Contemporary Practices I,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,519,ART 519,Gender in Art,3,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,521,ART 521,Art & Design Education 1: Content and Clinical Experience at the K-6 Level,3,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,524,ART 524,"Arts Based Pedagogy: Practices, Technologies and Assessments",3,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,526,ART 526,Art & Design Education 2: Content and Clinical Experience at the 7-12 Level,3,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,534,ART 534,Arts Administration,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,540,ART 540,Painting: Contemporary Practices I,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,550,ART 550,Graduate Ceramics I,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,560,ART 560,Ancient Art Around the Mediterranean,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,561,ART 561,Medieval Art Around the Mediterranean,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,562,ART 562,Renaissance Art,3,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,563,ART 563,Mannerism to Romanticism,3,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,564,ART 564,Museum Studies: Theory & Practice,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,566,ART 566,Realism to Postmodernism,3,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,567,ART 567,Art of the Islamic World,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,568,ART 568,Design: History and Theory,3,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,569,ART 569,Arts of South & East Asia,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,570,ART 570,Graduate Printmaking I,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,575,ART 575,Photography,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,577,ART 577,Roots of Modern Islamic Art,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,580,ART 580,Graduate Sculpture I,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,585,ART 585,Installation Art: Contemporary Practices I,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art History Choose any 500 level Art History courses,Choose3 - 6 Credit(s).,ART,594,ART 594,Topics,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,501,ART 501,Graphic Design,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,510,ART 510,Drawing: Contemporary Practices I,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,519,ART 519,Gender in Art,3,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,521,ART 521,Art & Design Education 1: Content and Clinical Experience at the K-6 Level,3,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,524,ART 524,"Arts Based Pedagogy: Practices, Technologies and Assessments",3,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,526,ART 526,Art & Design Education 2: Content and Clinical Experience at the 7-12 Level,3,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,534,ART 534,Arts Administration,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,540,ART 540,Painting: Contemporary Practices I,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,550,ART 550,Graduate Ceramics I,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,560,ART 560,Ancient Art Around the Mediterranean,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,561,ART 561,Medieval Art Around the Mediterranean,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,562,ART 562,Renaissance Art,3,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,563,ART 563,Mannerism to Romanticism,3,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,564,ART 564,Museum Studies: Theory & Practice,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,566,ART 566,Realism to Postmodernism,3,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,567,ART 567,Art of the Islamic World,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,568,ART 568,Design: History and Theory,3,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,569,ART 569,Arts of South & East Asia,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,570,ART 570,Graduate Printmaking I,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,575,ART 575,Photography,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,577,ART 577,Roots of Modern Islamic Art,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,580,ART 580,Graduate Sculpture I,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,585,ART 585,Installation Art: Contemporary Practices I,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,594,ART 594,Topics,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,600,ART 600,Advanced Graphic Design,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,610,ART 610,Drawing: Contemporary Practices II,4,,,
Art,MA,Art - MA,39,30,,Graduate,2024-2025,Restricted Electives,,,Art Studio ,Choose15 - 18 Credit(s).,ART,640,ART 640,Painting: Contemporary Practices II,4,,,
