ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Art Teaching,BS,Art Teaching - BS,526,120,,Undergraduate,2024-2025,Major Common Core,,,,,ART,103,ART 103,Three-Dimensional Design,3,,,
Art Teaching,BS,Art Teaching - BS,526,120,,Undergraduate,2024-2025,Major Common Core,,,,,ART,110,ART 110,Drawing Foundations,3,,,
Art Teaching,BS,Art Teaching - BS,526,120,,Undergraduate,2024-2025,Major Common Core,,,,,ART,250,ART 250,Ceramics: Beginning Wheel,3,,,
Art Teaching,BS,Art Teaching - BS,526,120,,Undergraduate,2024-2025,Major Common Core,,,,,ART,270,ART 270,Printmaking: Beginning Silkscreen and Lithography,3,,,
Art Teaching,BS,Art Teaching - BS,526,120,,Undergraduate,2024-2025,Major Common Core,,,,,ART,421,ART 421,Art Methods Elementary School,3," ART 100 or ART 101, Jr. status or consent ",,
Art Teaching,BS,Art Teaching - BS,526,120,,Undergraduate,2024-2025,Major Common Core,,,,,ART,426,ART 426,Art Methods Secondary School,3, ART 421 ,,
Art Teaching,BS,Art Teaching - BS,526,120,,Undergraduate,2024-2025,Major Common Core,,,,,ART,466,ART 466,Realism to Postmodernism,3, ART 261 or consent ,,
Art Teaching,BS,Art Teaching - BS,526,120,,Undergraduate,2024-2025,Major Common Core,,,,,ART,495,ART 495,Senior Exhibit,0-1,Consent,,
Art Teaching,BS,Art Teaching - BS,526,120,,Undergraduate,2024-2025,Major Common Core,,,Art Education ,Choose  3 Credit(s).,ART,424,ART 424,Art Education for the Exceptional Child,3, ART 421 ,,
Art Teaching,BS,Art Teaching - BS,526,120,,Undergraduate,2024-2025,Major Common Core,,,Design Foundations ,Choose  3 Credit(s).,ART,100,ART 100,Elements and Principles of Art,3,,,
Art Teaching,BS,Art Teaching - BS,526,120,,Undergraduate,2024-2025,Major Common Core,,,Design Foundations ,Choose  3 Credit(s).,ART,101,ART 101,Design Foundations,3,,,
Art Teaching,BS,Art Teaching - BS,526,120,,Undergraduate,2024-2025,Major Restricted Electives,,,STUDIO CONCENTRATION Select a minimum of 12 studio credits in your specialization area at the 300/400 level in consultation with the art advisor.  Certain 300-level courses need to be taken twice before proceeding to the 400-level.  Consult your advisor. ,Choose  12 Credit(s).,ART,302,ART 302,Interaction Design,3,ART 202,,
Art Teaching,BS,Art Teaching - BS,526,120,,Undergraduate,2024-2025,Major Restricted Electives,,,STUDIO CONCENTRATION Select a minimum of 12 studio credits in your specialization area at the 300/400 level in consultation with the art advisor.  Certain 300-level courses need to be taken twice before proceeding to the 400-level.  Consult your advisor. ,Choose  12 Credit(s).,ART,304,ART 304,Typography I,3,ART 202,,
Art Teaching,BS,Art Teaching - BS,526,120,,Undergraduate,2024-2025,Major Restricted Electives,,,STUDIO CONCENTRATION Select a minimum of 12 studio credits in your specialization area at the 300/400 level in consultation with the art advisor.  Certain 300-level courses need to be taken twice before proceeding to the 400-level.  Consult your advisor. ,Choose  12 Credit(s).,ART,310,ART 310,Drawing,3, ART 210,,
Art Teaching,BS,Art Teaching - BS,526,120,,Undergraduate,2024-2025,Major Restricted Electives,,,STUDIO CONCENTRATION Select a minimum of 12 studio credits in your specialization area at the 300/400 level in consultation with the art advisor.  Certain 300-level courses need to be taken twice before proceeding to the 400-level.  Consult your advisor. ,Choose  12 Credit(s).,ART,320,ART 320,Graphic Design II,3," ART 220, ART 302, ART 304",,
Art Teaching,BS,Art Teaching - BS,526,120,,Undergraduate,2024-2025,Major Restricted Electives,,,STUDIO CONCENTRATION Select a minimum of 12 studio credits in your specialization area at the 300/400 level in consultation with the art advisor.  Certain 300-level courses need to be taken twice before proceeding to the 400-level.  Consult your advisor. ,Choose  12 Credit(s).,ART,340,ART 340,Painting,3, ART 240 or consent ,,
Art Teaching,BS,Art Teaching - BS,526,120,,Undergraduate,2024-2025,Major Restricted Electives,,,STUDIO CONCENTRATION Select a minimum of 12 studio credits in your specialization area at the 300/400 level in consultation with the art advisor.  Certain 300-level courses need to be taken twice before proceeding to the 400-level.  Consult your advisor. ,Choose  12 Credit(s).,ART,350,ART 350,Intermediate Ceramics,3, ART 250 or ART 251 ,,
Art Teaching,BS,Art Teaching - BS,526,120,,Undergraduate,2024-2025,Major Restricted Electives,,,STUDIO CONCENTRATION Select a minimum of 12 studio credits in your specialization area at the 300/400 level in consultation with the art advisor.  Certain 300-level courses need to be taken twice before proceeding to the 400-level.  Consult your advisor. ,Choose  12 Credit(s).,ART,370,ART 370,Printmaking: Intermediate Studio,3, ART 270 or ART 271 ,,
