ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Athletic Training,MS,Athletic Training - MS,209898427,52,,Graduate,2024-2025,Capstone Course,,,,,AT,681,AT 681,Evidence-Based Practice I,1,,,
Athletic Training,MS,Athletic Training - MS,209898427,52,,Graduate,2024-2025,Capstone Course,,,,,AT,682,AT 682,Evidence-Based Practice II,1,,,
Athletic Training,MS,Athletic Training - MS,209898427,52,,Graduate,2024-2025,Common Core,,,,,AT,606,AT 606,Anatomic Basis of Musculoskeletal Injury,3,Acceptance into the M.S. in Athletic Training degree program,,
Athletic Training,MS,Athletic Training - MS,209898427,52,,Graduate,2024-2025,Common Core,,,,,AT,607,AT 607,Athletic Training Techniques,3,Acceptance into the M.S. in Athletic Training degree program.,,
Athletic Training,MS,Athletic Training - MS,209898427,52,,Graduate,2024-2025,Common Core,,,,,AT,608,AT 608,Athletic Training Emergency Care,2,,,
Athletic Training,MS,Athletic Training - MS,209898427,52,,Graduate,2024-2025,Common Core,,,,,AT,610,AT 610,Evaluation Techniques I,4,,,
Athletic Training,MS,Athletic Training - MS,209898427,52,,Graduate,2024-2025,Common Core,,,,,AT,612,AT 612,Neurological Assessment & Care,2,,,
Athletic Training,MS,Athletic Training - MS,209898427,52,,Graduate,2024-2025,Common Core,,,,,AT,614,AT 614,Evaluation Techniques II,4,,,
Athletic Training,MS,Athletic Training - MS,209898427,52,,Graduate,2024-2025,Common Core,,,,,AT,616,AT 616,Medical Pathologies & Procedures in Athletic Training,3,,,
Athletic Training,MS,Athletic Training - MS,209898427,52,,Graduate,2024-2025,Common Core,,,,,AT,620,AT 620,Therapeutic Interventions I,3,,,
Athletic Training,MS,Athletic Training - MS,209898427,52,,Graduate,2024-2025,Common Core,,,,,AT,622,AT 622,Therapeutic Interventions II,3,,,
Athletic Training,MS,Athletic Training - MS,209898427,52,,Graduate,2024-2025,Common Core,,,,,AT,624,AT 624,Manual Therapy in Athletic Training,2,,,
Athletic Training,MS,Athletic Training - MS,209898427,52,,Graduate,2024-2025,Common Core,,,,,AT,632,AT 632,Pharmacology in Athletic Training,2,,,
Athletic Training,MS,Athletic Training - MS,209898427,52,,Graduate,2024-2025,Common Core,,,,,AT,634,AT 634,Nutrition for the Athletic Trainer,2,,,
Athletic Training,MS,Athletic Training - MS,209898427,52,,Graduate,2024-2025,Common Core,,,,,AT,636,AT 636,Behavioral Health in Athletic Training,2,,,
Athletic Training,MS,Athletic Training - MS,209898427,52,,Graduate,2024-2025,Common Core,,,,,AT,670,AT 670,Healthcare Administration in Athletic Training,3,,,
Athletic Training,MS,Athletic Training - MS,209898427,52,,Graduate,2024-2025,Common Core,,,,,AT,671,AT 671,Clinical Experiences I,1,,,
Athletic Training,MS,Athletic Training - MS,209898427,52,,Graduate,2024-2025,Common Core,,,,,AT,672,AT 672,Clinical Experiences II,2,,,
Athletic Training,MS,Athletic Training - MS,209898427,52,,Graduate,2024-2025,Common Core,,,,,AT,673,AT 673,Clinical Experiences III,2,,,
Athletic Training,MS,Athletic Training - MS,209898427,52,,Graduate,2024-2025,Common Core,,,,,AT,674,AT 674,Clinical Experiences IV,3,,,
Athletic Training,MS,Athletic Training - MS,209898427,52,,Graduate,2024-2025,Research/Methods Course(s),,,,,AT,680,AT 680,Athletic Training Research Methods & Statistics,4,Acceptance into the M.S. in Athletic Training degree program,,
