ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Major Common Core,,,,,AET,280,AET 280,Data Acquisition and Analysis,3,"EET 113, MATH 121",,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Major Common Core,,,,,AET,334,AET 334,Fluid Power,3," MATH 121, PHYS 211",,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Major Common Core,,,,,AET,364,AET 364,Chassis Design and Performance Testing,4,"MATH 121, PHYS 211",,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Major Common Core,,,,,AET,366,AET 366,Automotive Thermodynamics and Engine Design,3,"CHEM 104, MATH 121, PHYS 211",,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Major Common Core,,,,,AET,387,AET 387,Junior Design Project,3,"ENG 271W, STAT 154",,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Major Common Core,,,,,AET,436,AET 436,Hybrid and Electric Vehicles,3,"AET 280, AET 366",,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Major Common Core,,,,,AET,465,AET 465,Automotive Laboratory Experience,2,"AET 364, Permission required",,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Major Common Core,,,,,AET,468,AET 468,Automotive Research Methods,4,"AET 366, PHYS 211, STAT 154",,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Major Common Core,,,,,AET,488W,AET 488W,Senior Design Project I,3,"MET 341, AET 364, AET 387","MET 324, AET 468",
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Major Common Core,,,,,AET,489W,AET 489W,Senior Design Project II,3,"AET 468, AET 488W, MET 324",,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Major Common Core,,,,,MATH,122,MATH 122,Calculus II,4,MATH 121 with “C” (2.0) or better or consent,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Major Common Core,,,,,MET,323,MET 323,Statics,3, PHYS 211 and MATH 121,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Major Common Core,,,,,MET,324,MET 324,Strength of Materials and Dynamics,4, MET 323,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Major Common Core,,,,,MET,341,MET 341,Advanced Parametric Modeling,3, MET 142,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Major Common Core,,,,,MET,375,MET 375,Manufacturing Processes II ,4,MET 275,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Major Common Core,,,,,MET,424,MET 424,Industrial Safety,2,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Major Common Core,,,,,MET,425,MET 425,Project and Value Management,3,STAT 154,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,212,PHYS 212,Principles of Physics II,4, PHYS 211 ,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,AET,102,AET 102,Introduction to Automotive Engineering Technology,1,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,AET,160,AET 160,Automotive Technology & Systems,4,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,AET,261,AET 261,Automotive Driveability and Diagnosis,4,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,AET,262,AET 262,Automotive Computers and Electronics,4,"AET 160, AET 261, EET 113",,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EET,113,EET 113,DC Circuits,3,MATH 112 or MATH 115,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,ENG,101,ENG 101,Foundations of Writing & Rhetoric,4,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MATH,121,MATH 121,Calculus I,4,"Satisfy Placement Table in this section, MATH 115 or both MATH 112 and MATH 113 with “C” (2.0) or better.",,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MET,142,MET 142,Introduction to Parametric Modeling,3,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MET,275,MET 275,Manufacturing Processes I,4, CHEM 104 and MET 142 ,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,PHYS,211,PHYS 211,Principles of Physics I,4,"Either MATH 112 and MATH 113, or MATH 115",,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Prerequisites to the Major,,,Communication ,Choose  3 Credit(s).,COMM,100,COMM 100,Fundamentals of Communication,3,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Prerequisites to the Major,,,Communication ,Choose  3 Credit(s).,COMM,102,COMM 102,Public Speaking,3,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Required General Education,,,,,CHEM,104,CHEM 104,Introduction to Chemistry,3,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Required General Education,,,,,ECON,202,ECON 202,Principles of Microeconomics,3,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Required General Education,,,,,ENG,271W,ENG 271W,Technical Communication,4, ENG 101 ,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,,Undergraduate,2024-2025,Required General Education,,,,,STAT,154,STAT 154,Elementary Statistics,4," Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,
