ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Required General Education,,,,,MATH,112,College Algebra,4,"BIOL 105, BIOL 106, BIOL 215 or consent",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Required General Education,,,,,PHYS,101,Introductory Physics,3,BIOL 215,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,100,Aviation Program Orientation,1,BIOL 215,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,101,World of Aviation,3,"BIOL 105, BIOL 106, BIOL 215 or consent ",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,150,Private Pilot,3,"BIOL 105, BIOL 106, BIOL 215, or consent ",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,201,Theory of Flight,3,BIOL 215,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,334,Aviation Management,3,"BIOL 105, BIOL 106, BIOL 215, BIOL 306",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,432,Aviation Law - General,3,,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,437,Aviation Safety,3,,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,445,Aviation Human Factors,3,"BIOL 105, BIOL 106",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,217,Weather,4,"BIOL 105, BIOL 106, and BIOL 270 ",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,151,Private Pilot Flight Lab,2,,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,153,Private Pilot Flight Lab II,1,"BIOL 105 and BIOL 106, BIOL 211 ",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,240,Instrument Pilot,3,"BIOL 105, BIOL 106, CHEM 201",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,241,Instrument Pilot Flight Lab,2,BIOL 100 or BIOL 105 ,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,243,Instrument Pilot Flight Lab II,1,BIOL 100 or BIOL 105 ,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,250,Commercial Pilot,3,"CHEM 201, BIOL 211. Select 1 course: BIOL 320 BIOL 330, BIOL 431, BIOL 441, BIOL 476",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,251,Commercial Pilot Flight Lab,2,"BIOL 105, BIOL 106, BIOL 211",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,253,Commercial Pilot Flight Lab II,2,"CHEM 202, “C” (2.0) or higher in CHEM 202.",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,338,Advanced Aircraft Systems,3,,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,340,Flight Operations,3,"BIOL 105 and BIOL 106, BIOL 211 ",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,360,Flight Instructor,3,"BIOL 105, BIOL 106, CHEM 201",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,364,Flight Instructor Flight Lab,3,“C” (2.0) or higher in CHEM 201 ,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,436,Flight Operations and Procedures,3,"CHEM 202, “C” (2.0) or higher in CHEM 202.",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,450,Professional Pilot Theory,3,CHEM 322. CHEM 324 is strongly recommended.,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,451,Professional Flight Course,3,"BIOL 106, CHEM 324. BIOL 106 or permission “C” (2.0) or higher in all prerequisites.",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,455,Aircraft Performance,3,CHEM 460 ,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,ACCT,200,Financial Accounting,3,Concurrent registration in CHEM 460 or completion of CHEM 460 with “C” or higher. CHEM 305 is highly recommended. ,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,BLAW,200,Legal Environment of Business,3,"BIOL 105, BIOL 106",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,ECON,202,Principles of Microeconomics,3,"BIOL 105, BIOL 106. RISEbio program participant, instructor permission",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,FINA,362,Business Finance,3,BIOL 215 or consent ,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,MGMT,230,Principles of Management,3,BIOL 215,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,MGMT,300,Introduction to MIS,3,BIOL 215,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,MGMT,340,Human Resource Management,3,"BIOL 105, BIOL 106, BIOL 215 or consent ",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,MGMT,380,Human Behavior in Organizations,3,"BIOL 105, BIOL 106, BIOL 215 or consent ",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,MGMT,472,Project Management,3,,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,MRKT,210,Principles of Marketing,3,"BIOL 105, BIOL 106, BIOL 215, or consent ",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,160,Introduction to UAS,3,"BIOL 105, BIOL 106, BIOL 211",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,365,UAS Sensors,3,BIOL 306,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,375,UAS Telemetry and Communication,3,"BIOL 105, BIOL 106, BIOL 306",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,470,Advanced UAS Operation,3,"BIOL 100 or BIOL 105, BIOL 106 recommended ",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,480,UAS Emphasis Senior project/Capstone,4,BIOL 105 and BIOL 106 or consent ,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,CIS,121,Introduction to Programming,4,"BIOL 105, BIOL 106, BIOL 306",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,CIS,350,Information Security,4,BIOL 100 or BIOL 105 ,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,EET,113,DC Circuits,3,BIOL 211; Co-requisite: BIOL 424,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,GEOG,373,Introduction to Geography Information Systems,4,BIOL 215,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,GEOG,474,Introduction to Remote Sensing,4,"CHEM 201, BIOL 423",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,MET,142,Introduction to Parametric Modeling,3,"BIOL 105, BIOL 106",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,STAT,154,Elementary Statistics,4,BIOL 100 or BIOL 105 ,,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  6 Credit(s).,AVIA,343,Airport Management,3,"BIOL 105, BIOL 106, BIOL 215, BIOL 306",,,
Aviation,BS,Aviation - BS,502,120,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  6 Credit(s).,AVIA,344,Airport Operations,3,"BIOL 105, BIOL 106, BIOL 217, one semester organic chemistry recommended. ",,,
