ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,100,AVIA 100,Aviation Program Orientation,1,,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,101,AVIA 101,World of Aviation,3,,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,150,AVIA 150,Private Pilot,3,,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,201,AVIA 201,Theory of Flight,3,"PHYS 101, MATH 112. Select 1 course: AVIA 150 or AVIA 240",,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,334,AVIA 334,Aviation Management,3,,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,432,AVIA 432,Aviation Law - General,3,,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,437,AVIA 437,Aviation Safety,3,AVIA 150,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,445,AVIA 445,Aviation Human Factors,3,Select 1 course: AVIA 150 or AVIA 240,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,217,GEOG 217,Weather,4,,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Required General Education,,,,,MATH,112,MATH 112,College Algebra,4," Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Required General Education,,,,,PHYS,101,PHYS 101,Introductory Physics,3,,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,, ,Choose  48 Credit(s).,AVIA,102,AVIA 102,Aviation Terminology,3,,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,, ,Choose  48 Credit(s).,AVIA,152,AVIA 152,Private Pilot Helicopter Flight Lab,3,,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,, ,Choose  48 Credit(s).,AVIA,171,AVIA 171,Multi-Engine Flight Lab,1,"AVIA 151, or equivalent",,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,, ,Choose  48 Credit(s).,AVIA,242,AVIA 242,Instrument Pilot Helicopter Flight Lab,3, AVIA 152,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,, ,Choose  48 Credit(s).,AVIA,252,AVIA 252,Commercial Pilot Helicopter Flight Lab,3," AVIA 152, AVIA 242",,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,, ,Choose  48 Credit(s).,AVIA,270,AVIA 270,Helicopter Pilot,3," AVIA 150, AVIA 250, AVIA 260",,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,, ,Choose  48 Credit(s).,AVIA,275,AVIA 275,Helicopter Flight Theory,3,,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,, ,Choose  48 Credit(s).,AVIA,300,AVIA 300,Advanced Studies Orientation,1, ENG 271W or ENG 272W ,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,, ,Choose  48 Credit(s).,AVIA,305,AVIA 305,Aviation Professional Communications,1,,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,, ,Choose  48 Credit(s).,AVIA,336,AVIA 336,Basic Aircraft Systems,3,,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,, ,Choose  48 Credit(s).,AVIA,337,AVIA 337,Avionics,3,,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,, ,Choose  48 Credit(s).,AVIA,339,AVIA 339,Aerospace Propulsion,3,,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,, ,Choose  48 Credit(s).,AVIA,370,AVIA 370,Confidence Maneuver Training flight lab,3,AVIA 253,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,, ,Choose  48 Credit(s).,AVIA,383,AVIA 383,Flight Instructor Helicopter Flight Lab,1, AVIA 252,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,, ,Choose  48 Credit(s).,AVIA,392,AVIA 392,Instrument Instructor Helicopter Flight Lab,1," AVIA 242, AVIA 252",,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,, ,Choose  48 Credit(s).,AVIA,435,AVIA 435,Aviation Law - Transactions,3, AVIA 432,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,, ,Choose  48 Credit(s).,AVIA,442,AVIA 442,Fundamentals of Air Traffic Control,3,AVIA 240,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,, ,Choose  48 Credit(s).,AVIA,444,AVIA 444,Aircraft Dispatcher 2,3,AVIA 443,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,, ,Choose  48 Credit(s).,AVIA,452,AVIA 452,Professional Aviator Course,3,,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,, ,Choose  48 Credit(s).,AVIA,490,AVIA 490,Aviation Workshop,,, ANTH 491 or ANTH 492 or ANTH 493 or ANTH 494,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,, ,Choose  48 Credit(s).,AVIA,497,AVIA 497,Aviation Internship,,,,
Aviation,BS,Aviation - BS,502,120,Aeronautics,Undergraduate,2024-2025,Emphasis Unrestricted Electives,,, ,Choose  48 Credit(s).,AVIA,499,AVIA 499,Individual Study in Aviation,,,,
