ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Emphasis Common Core,,,,,ACCT,200,ACCT 200,Financial Accounting,3,MATH 112 or MATH 115	or MATH 121 or MATH 130 or MATH 181,,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Emphasis Common Core,,,,,BLAW,200,BLAW 200,Legal Environment of Business,3,,,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Emphasis Common Core,,,,,ECON,202,ECON 202,Principles of Microeconomics,3,,,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Emphasis Common Core,,,,,FINA,362,FINA 362,Business Finance,3,ACCT 200,,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Emphasis Common Core,,,,,MGMT,230,MGMT 230,Principles of Management,3,,,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Emphasis Common Core,,,,,MGMT,300,MGMT 300,Introduction to MIS,3,ISYS 101 or CIS 101,,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Emphasis Common Core,,,,,MGMT,340,MGMT 340,Human Resource Management,3,,,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Emphasis Common Core,,,,,MGMT,380,MGMT 380,Human Behavior in Organizations,3,,,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Emphasis Common Core,,,,,MGMT,472,MGMT 472,Project Management,3,,,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Emphasis Common Core,,,,,MRKT,210,MRKT 210,Principles of Marketing,3,,,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  6 Credit(s).,AVIA,343,AVIA 343,Airport Management,3,,,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  6 Credit(s).,AVIA,344,AVIA 344,Airport Operations,3,,,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  6 Credit(s).,AVIA,443,AVIA 443,Airline Dispatch,3,"AVIA 240, GEOG 217",,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,100,AVIA 100,Aviation Program Orientation,1,,,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,101,AVIA 101,World of Aviation,3,,,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,150,AVIA 150,Private Pilot,3,,,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,201,AVIA 201,Theory of Flight,3,"PHYS 101, MATH 112. Select 1 course: AVIA 150 or AVIA 240",,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,334,AVIA 334,Aviation Management,3,,,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,432,AVIA 432,Aviation Law - General,3,,,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,437,AVIA 437,Aviation Safety,3,AVIA 150,,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,445,AVIA 445,Aviation Human Factors,3,Select 1 course: AVIA 150 or AVIA 240,,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,217,GEOG 217,Weather,4,,,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Required General Education,,,,,MATH,112,MATH 112,College Algebra,4," Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,
Aviation,BS,Aviation - BS,502,120,Aviation Management,Undergraduate,2024-2025,Required General Education,,,,,PHYS,101,PHYS 101,Introductory Physics,3,,,
