ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,151,AVIA 151,Private Pilot Flight Lab,2,,,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,153,AVIA 153,Private Pilot Flight Lab II,1,,,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,240,AVIA 240,Instrument Pilot,3," AVIA 150, or equivalent ",,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,241,AVIA 241,Instrument Pilot Flight Lab,2,,,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,243,AVIA 243,Instrument Pilot Flight Lab II,1,,,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,250,AVIA 250,Commercial Pilot,3,"AVIA 153, AVIA 240",,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,251,AVIA 251,Commercial Pilot Flight Lab,2,,,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,253,AVIA 253,Commercial Pilot Flight Lab II,2,,,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,338,AVIA 338,Advanced Aircraft Systems,3,AVIA 201,,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,340,AVIA 340,Flight Operations,3,AVIA 240,,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,360,AVIA 360,Flight Instructor,3,"AVIA 243, AVIA 250",,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,364,AVIA 364,Flight Instructor Flight Lab,3,,,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,436,AVIA 436,Flight Operations and Procedures,3,AVIA 340,,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,450,AVIA 450,Professional Pilot Theory,3,"AVIA 253, AVIA 340",,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,451,AVIA 451,Professional Flight Course,3,AVIA 253,AVIA 450,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,455,AVIA 455,Aircraft Performance,3,AVIA 338,,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,100,AVIA 100,Aviation Program Orientation,1,,,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,101,AVIA 101,World of Aviation,3,,,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,150,AVIA 150,Private Pilot,3,,,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,201,AVIA 201,Theory of Flight,3,"PHYS 101, MATH 112. Select 1 course: AVIA 150 or AVIA 240",,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,334,AVIA 334,Aviation Management,3,,,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,432,AVIA 432,Aviation Law - General,3,,,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,437,AVIA 437,Aviation Safety,3,AVIA 150,,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Major Common Core,,,,,AVIA,445,AVIA 445,Aviation Human Factors,3,Select 1 course: AVIA 150 or AVIA 240,,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,217,GEOG 217,Weather,4,,,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Required General Education,,,,,MATH,112,MATH 112,College Algebra,4," Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,
Aviation,BS,Aviation - BS,502,120,Professional Flight,Undergraduate,2024-2025,Required General Education,,,,,PHYS,101,PHYS 101,Introductory Physics,3,,,
