ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Aviation,BS,Aviation - BS,502,120,Unmanned Aircraft Systems,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,160,AVIA 160,Introduction to UAS,3,,,
Aviation,BS,Aviation - BS,502,120,Unmanned Aircraft Systems,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,365,AVIA 365,UAS Sensors,3,AVIA 160,,
Aviation,BS,Aviation - BS,502,120,Unmanned Aircraft Systems,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,375,AVIA 375,UAS Telemetry and Communication,3,AVIA 370,,
Aviation,BS,Aviation - BS,502,120,Unmanned Aircraft Systems,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,470,AVIA 470,Advanced UAS Operation,3,"CIS 350, AVIA 375",,
Aviation,BS,Aviation - BS,502,120,Unmanned Aircraft Systems,Undergraduate,2024-2025,Emphasis Common Core,,,,,AVIA,480,AVIA 480,UAS Emphasis Senior project/Capstone,4,AVIA 470,,
Aviation,BS,Aviation - BS,502,120,Unmanned Aircraft Systems,Undergraduate,2024-2025,Emphasis Common Core,,,,,CIS,121,CIS 121,Introduction to Programming,4,MATH 112 or MATH 113 or MATH 115 or MATH 121,,
Aviation,BS,Aviation - BS,502,120,Unmanned Aircraft Systems,Undergraduate,2024-2025,Emphasis Common Core,,,,,CIS,350,CIS 350,Information Security,4,EE 107 or CIS 121 or an approved substitute.,,
Aviation,BS,Aviation - BS,502,120,Unmanned Aircraft Systems,Undergraduate,2024-2025,Emphasis Common Core,,,,,EET,113,EET 113,DC Circuits,3,MATH 112 or MATH 115,,
Aviation,BS,Aviation - BS,502,120,Unmanned Aircraft Systems,Undergraduate,2024-2025,Emphasis Common Core,,,,,GEOG,373,GEOG 373,Introduction to Geography Information Systems,4,,,
Aviation,BS,Aviation - BS,502,120,Unmanned Aircraft Systems,Undergraduate,2024-2025,Emphasis Common Core,,,,,GEOG,474,GEOG 474,Introduction to Remote Sensing,4,,,
