ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,,,BIOL,215,BIOL 215,General Ecology,4, BIOL 105 and BIOL 106 or consent ,,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,,,BIOL,217,BIOL 217,Plant Science,4, BIOL 105 and BIOL 106 or consent ,,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,,,BIOL,306,BIOL 306,Vertebrate Zoology,4,"BIOL 105, BIOL 106",,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,Chemistry Requirement ,Choose  5 Credit(s).,CHEM,111,CHEM 111,Chemistry of Life Process Part II (Organic & Biochemistry),5, CHEM 106 or high school chemistry ,,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,Chemistry Requirement ,Choose  5 Credit(s).,CHEM,202,CHEM 202,General Chemistry II,5, “C” (2.0) or higher in CHEM 201 ,,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,Ecology Requirement ,Choose  4 Credit(s).,BIOL,402,BIOL 402,Stream Ecology,4," BIOL 105, BIOL 106, BIOL 215 or consent",,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,Ecology Requirement ,Choose  4 Credit(s).,BIOL,404,BIOL 404,Wetlands,4,BIOL 215,,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,Ecology Requirement ,Choose  4 Credit(s).,BIOL,406,BIOL 406,Fish Management,4,BIOL 215,,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,Ecology Requirement ,Choose  4 Credit(s).,BIOL,409,BIOL 409,Advanced Field Ecology,4," BIOL 105, BIOL 106, BIOL 215 or consent ",,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,Ecology Requirement ,Choose  4 Credit(s).,BIOL,412,BIOL 412,Soil Ecology,4," BIOL 105, BIOL 106, BIOL 215, or consent ",,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,Ecology Requirement ,Choose  4 Credit(s).,BIOL,432,BIOL 432,Lake Ecology,4,BIOL 215,,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,Ecology Requirement ,Choose  4 Credit(s).,BIOL,440,BIOL 440,Wildlife Management,4,"BIOL 105, BIOL 106, BIOL 215, BIOL 306",,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,Ecology Requirement ,Choose  4 Credit(s).,BIOL,442,BIOL 442,Flora of Minnesota,4,,,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,Ecology Requirement ,Choose  4 Credit(s).,BIOL,443W,BIOL 443W,Plant Ecology,4,,,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,Ecology Requirement ,Choose  4 Credit(s).,BIOL,451,BIOL 451,Agroecology,4,"BIOL 105, BIOL 106",,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,Ecology Requirement ,Choose  4 Credit(s).,BIOL,472,BIOL 472,Microbial Ecology and Bioremediation,4," BIOL 105, BIOL 106, and BIOL 270 ",,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,Subcelluar Requirement ,Choose3 - 5 Credit(s).,BIOL,104,BIOL 104,Introduction to Soil Science,4,,,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,Subcelluar Requirement ,Choose3 - 5 Credit(s).,BIOL,320,BIOL 320,Cell Biology,4," BIOL 105 and BIOL 106, BIOL 211 ",,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,Subcelluar Requirement ,Choose3 - 5 Credit(s).,BIOL,371,BIOL 371,Microbiology,4,"BIOL 105, BIOL 106, CHEM 201",,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,Subcelluar Requirement ,Choose3 - 5 Credit(s).,BIOL,424,BIOL 424,Developmental Biology,3, BIOL 100 or BIOL 105 ,,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,Subcelluar Requirement ,Choose3 - 5 Credit(s).,BIOL,438,BIOL 438,General Endocrinology,3, BIOL 100 or BIOL 105 ,,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,Subcelluar Requirement ,Choose3 - 5 Credit(s).,BIOL,466,BIOL 466,Principles of Pharmacology,3,"CHEM 201, BIOL 211. Select 1 course: BIOL 320 BIOL 330, BIOL 431, BIOL 441, BIOL 476",,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,Subcelluar Requirement ,Choose3 - 5 Credit(s).,BIOL,479,BIOL 479,Molecular Biology,4," BIOL 105, BIOL 106, BIOL 211",,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,Subcelluar Requirement ,Choose3 - 5 Credit(s).,CHEM,322,CHEM 322,Organic Chemistry I,4," CHEM 202, “C” (2.0) or higher in CHEM 202.",,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Common Core,,,Subcelluar Requirement ,Choose3 - 5 Credit(s).,GEOL,104,GEOL 104,Introduction to Soil Science,4,,,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Upper Division Electives At least 8 credits must be courses with a laboratory component.,Choose11 - 12 Credit(s).,BIOL,305,BIOL 305,Invertebrate Zoology,4,"BIOL 105, BIOL 106",,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Upper Division Electives At least 8 credits must be courses with a laboratory component.,Choose11 - 12 Credit(s).,BIOL,398,BIOL 398,RISEbio research,2,"BIOL 105, BIOL 106. RISEbio program participant, instructor permission",,
Biology,BS,Biology - BS,2063,120,Organismal Biology and Ecology,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Upper Division Electives At least 8 credits must be courses with a laboratory component.,Choose11 - 12 Credit(s).,BIOL,403,BIOL 403,Conservation Biology,3, BIOL 215 or consent ,,
