ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Biology,MS,Biology - MS,2064,30,,Graduate,2024-2025,Capstone Course,,,,,BIOL,699,BIOL 699,Thesis,1-6,,,
Biology,MS,Biology - MS,2064,30,,Graduate,2024-2025,Common Core,,, 3 credits of BIOL 695 is required.,Choose  7 Credit(s).,BIOL,601,BIOL 601,Biometrics,2,,,
Biology,MS,Biology - MS,2064,30,,Graduate,2024-2025,Common Core,,, 3 credits of BIOL 695 is required.,Choose  7 Credit(s).,BIOL,602,BIOL 602,Research Methods,2,,,
Biology,MS,Biology - MS,2064,30,,Graduate,2024-2025,Common Core,,, 3 credits of BIOL 695 is required.,Choose  7 Credit(s).,BIOL,695,BIOL 695,Seminar,1,,,
Biology,MS,Biology - MS,2064,30,,Graduate,2024-2025,Restricted Electives,,, ,Choose  4 Credit(s).,BIOL,605,BIOL 605,Ethical Issues in Biological Research,2,,,
Biology,MS,Biology - MS,2064,30,,Graduate,2024-2025,Restricted Electives,,, ,Choose  4 Credit(s).,BIOL,606,BIOL 606,Paradigms in Ecology,2,,,
Biology,MS,Biology - MS,2064,30,,Graduate,2024-2025,Restricted Electives,,, ,Choose  4 Credit(s).,BIOL,619,BIOL 619,Selected Topics in Biology,2-3,,,
Biology,MS,Biology - MS,2064,30,,Graduate,2024-2025,Restricted Electives,,, ,Choose  4 Credit(s).,ENVR,619,ENVR 619,Selected Topics in Environmental Science,2-3,,,
Biology,MS,Biology - MS,2064,30,,Graduate,2024-2025,Unrestricted Electives,,,Biology Courses ,Choose13 - 16 Credit(s).,BIOL,502,BIOL 502,Stream Ecology,4,,,
Biology,MS,Biology - MS,2064,30,,Graduate,2024-2025,Unrestricted Electives,,,Biology Courses ,Choose13 - 16 Credit(s).,BIOL,503,BIOL 503,Conservation Biology,3,,,
Biology,MS,Biology - MS,2064,30,,Graduate,2024-2025,Unrestricted Electives,,,Biology Courses ,Choose13 - 16 Credit(s).,BIOL,504,BIOL 504,Wetlands,4,,,
Biology,MS,Biology - MS,2064,30,,Graduate,2024-2025,Unrestricted Electives,,,Biology Courses ,Choose13 - 16 Credit(s).,BIOL,509,BIOL 509,Advanced Field Ecology,4,,,
Biology,MS,Biology - MS,2064,30,,Graduate,2024-2025,Unrestricted Electives,,,Biology Courses ,Choose13 - 16 Credit(s).,BIOL,510,BIOL 510,Global Change Biology,3,,,
Biology,MS,Biology - MS,2064,30,,Graduate,2024-2025,Unrestricted Electives,,,Biology Courses ,Choose13 - 16 Credit(s).,BIOL,511,BIOL 511,Human Genetics,3,,,
Biology,MS,Biology - MS,2064,30,,Graduate,2024-2025,Unrestricted Electives,,,Biology Courses ,Choose13 - 16 Credit(s).,BIOL,512,BIOL 512,Soil Ecology,4,,,
Biology,MS,Biology - MS,2064,30,,Graduate,2024-2025,Unrestricted Electives,,,Biology Courses ,Choose13 - 16 Credit(s).,BIOL,513,BIOL 513,Bioinformatics,4,,,
Biology,MS,Biology - MS,2064,30,,Graduate,2024-2025,Unrestricted Electives,,,Biology Courses ,Choose13 - 16 Credit(s).,BIOL,517,BIOL 517,Biology of Aging and Chronic Diseases,3,,,
Biology,MS,Biology - MS,2064,30,,Graduate,2024-2025,Unrestricted Electives,,,Biology Courses ,Choose13 - 16 Credit(s).,BIOL,520,BIOL 520,Diagnostic Parasitology,4,,,
Biology,MS,Biology - MS,2064,30,,Graduate,2024-2025,Unrestricted Electives,,,Biology Courses ,Choose13 - 16 Credit(s).,BIOL,521,BIOL 521,Entomology,3,,,
Biology,MS,Biology - MS,2064,30,,Graduate,2024-2025,Unrestricted Electives,,,Biology Courses ,Choose13 - 16 Credit(s).,BIOL,523,BIOL 523,Comparative Vertebrate Anatomy,4,,,
Biology,MS,Biology - MS,2064,30,,Graduate,2024-2025,Unrestricted Electives,,,Biology Courses ,Choose13 - 16 Credit(s).,BIOL,524,BIOL 524,Developmental Biology,3,,,
Biology,MS,Biology - MS,2064,30,,Graduate,2024-2025,Unrestricted Electives,,,Biology Courses ,Choose13 - 16 Credit(s).,BIOL,531,BIOL 531,Comparative Animal Physiology,3,,,
