ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,270,BIOL 270,Microbiology,4," One BIOL course and one semester of chemistry from among CHEM 104, CHEM 106, CHEM 111, or CHEM 201 ",,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,320,BIOL 320,Cell Biology,4," BIOL 105 and BIOL 106, BIOL 211 ",,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,452,BIOL 452,Biological Instrumentation,3," BIOL 105, BIOL 106, or consent ",,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,453,BIOL 453,Biological Engineering Analysis I,4," BIOL 270 and one semester each of calculus, physics, and organic chemistry, taken concurrently with BIOL 456. ",,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,454,BIOL 454,Biological Engineering Analysis II,4," BIOL 453, taken currently with BIOL 457 ",,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,474,BIOL 474,Immunology,4," BIOL 105, BIOL 106, and BIOL 270 ",,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,476,BIOL 476,Microbial Physiology and Genetics,5," BIOL 105, BIOL 106, BIOL 270 ",,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,479,BIOL 479,Molecular Biology,4," BIOL 105, BIOL 106, BIOL 211",,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,202,CHEM 202,General Chemistry II,5, “C” (2.0) or higher in CHEM 201 ,,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,322,CHEM 322,Organic Chemistry I,4," CHEM 202, “C” (2.0) or higher in CHEM 202.",,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,360,CHEM 360,Principles of Biochemistry,4,CHEM 322. CHEM 324 is strongly recommended.,,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,212,PHYS 212,Principles of Physics II,4, PHYS 211 ,,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Add'l Math/Statistics ,Choose3 - 4 Credit(s).,HLTH,475,HLTH 475,Biostatistics,3," MATH 110, STAT 154, Or any other mathematics course higher than MATH 110.",,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Add'l Math/Statistics ,Choose3 - 4 Credit(s).,MATH,122,MATH 122,Calculus II,4,MATH 121 with “C” (2.0) or better or consent,,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Add'l Math/Statistics ,Choose3 - 4 Credit(s).,STAT,154,STAT 154,Elementary Statistics,4," Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Capstone Experience Choose in consultation with your advisor.,Choose  6 Credit(s).,BIOL,456,BIOL 456,Biotechnology Project/Laboratory I,3, Concurrent enrollment in BIOL 453 ,,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Capstone Experience Choose in consultation with your advisor.,Choose  6 Credit(s).,BIOL,457,BIOL 457,Biotechnology Project/Laboratory II,3," BIOL 456, taken concurrently with BIOL 454 ",,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Capstone Experience Choose in consultation with your advisor.,Choose  6 Credit(s).,BIOL,497,BIOL 497,Internship I,1-12, Consent ,,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Capstone Experience Choose in consultation with your advisor.,Choose  6 Credit(s).,BIOL,498,BIOL 498,Internship II,1-12, Consent ,,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Capstone Experience Choose in consultation with your advisor.,Choose  6 Credit(s).,BIOL,499,BIOL 499,Individual Study,1-4,,,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,BIOL,105,BIOL 105,General Biology I,4,,,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,BIOL,106,BIOL 106,General Biology II,4,,,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,BIOL,211,BIOL 211,Genetics,4," BIOL 105, BIOL 106, and MATH 112 ",,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Required General Education,,,,,CHEM,201,CHEM 201,General Chemistry I,5,“C” (2.0) or higher in MATH 112 or the equivalent; high school chemistry or “C” (2.0) or higher in CHEM 104.,,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Required General Education,,,,,MATH,121,MATH 121,Calculus I,4,"Satisfy Placement Table in this section, MATH 115 or both MATH 112 and MATH 113 with “C” (2.0) or better.",,
Biotechnology,BS,Biotechnology - BS,226,120,,Undergraduate,2024-2025,Required General Education,,,,,PHYS,211,PHYS 211,Principles of Physics I,4,"Either MATH 112 and MATH 113, or MATH 115",,
