ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Major Common Core,,,,,ACCT,200,ACCT 200,Financial Accounting,3,MATH 112 or MATH 115	or MATH 121 or MATH 130 or MATH 181,,
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Major Common Core,,,,,ACCT,210,ACCT 210,Managerial Accounting,3, ACCT 200,,
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Major Common Core,,,,,BLAW,200,BLAW 200,Legal Environment of Business,3,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,101,CIS 101,Introduction to Information Systems,3,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Major Common Core,,,,,ECON,202,ECON 202,Principles of Microeconomics,3,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Major Common Core,,,,,FINA,362,FINA 362,Business Finance,3,ACCT 200,,
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Major Common Core,,,,,IBUS,380,IBUS 380,Principles of International Business,3,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,230,MGMT 230,Principles of Management,3,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,300,MGMT 300,Introduction to MIS,3,ISYS 101 or CIS 101,,
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,332,MGMT 332,Creativity and Innovation,3,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,340,MGMT 340,Human Resource Management,3,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,346,MGMT 346,Operations Management for the Supply Chain,3, ECON 207 ,,
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,391,MGMT 391,Introduction to Business Professionalism,1,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,472,MGMT 472,Project Management,3,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,481,MGMT 481,Business Policy & Strategy,3,"FINA 362, MRKT 210, MGMT 230, MGMT 346",,
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,484,MGMT 484,Leadership,3,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,490,MGMT 490,Business Professionals,3,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,492,MGMT 492,BBA Capstone,3,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Major Common Core,,,,,MRKT,210,MRKT 210,Principles of Marketing,3,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Major Common Core,,,,,MRKT,318,MRKT 318,Integrated Marketing Communications,3,MRKT 210,,
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Required General Education,,,,,ECON,201,ECON 201,Principles of Macroeconomics,3,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Required General Education,,,,,MATH,112,MATH 112,College Algebra,4," Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,
Business Administration,BBA,Business Administration - BBA,205082018,120,,Undergraduate,2024-2025,Required General Education,,,,,STAT,154,STAT 154,Elementary Statistics,4," Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,
