ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Chemistry,BA,Chemistry - BA,170,120,,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,201,CHEM 201,General Chemistry I,5,“C” (2.0) or higher in MATH 112 or the equivalent; high school chemistry or “C” (2.0) or higher in CHEM 104.,,
Chemistry,BA,Chemistry - BA,170,120,,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,202,CHEM 202,General Chemistry II,5, “C” (2.0) or higher in CHEM 201 ,,
Chemistry,BA,Chemistry - BA,170,120,,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,281,CHEM 281,Biochemistry and Chemistry Professional Foundations,1,CHEM 322,,
Chemistry,BA,Chemistry - BA,170,120,,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,305,CHEM 305,Analytical Chemistry,4, “C” (2.0) or higher in CHEM 202 ,,
Chemistry,BA,Chemistry - BA,170,120,,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,322,CHEM 322,Organic Chemistry I,4," CHEM 202, “C” (2.0) or higher in CHEM 202.",,
Chemistry,BA,Chemistry - BA,170,120,,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,324,CHEM 324,Organic Chemistry II,3,"CHEM 322 with a ""C"" (2.0) or higher.",,
Chemistry,BA,Chemistry - BA,170,120,,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,325,CHEM 325,Organic Chemistry II Lab,1, CHEM 324, CHEM 324 ,
Chemistry,BA,Chemistry - BA,170,120,,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,445,CHEM 445,Physical Chemistry I,4,"MATH 121, PHYS 211, CHEM 305",,
Chemistry,BA,Chemistry - BA,170,120,,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,481W,CHEM 481W,Inquiry and Writing in Biochemistry and Chemistry,3,"ENG 101, CHEM 324",,
Chemistry,BA,Chemistry - BA,170,120,,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,489,CHEM 489,Senior Capstone,1,CHEM 445 or CHEM 465,,
Chemistry,BA,Chemistry - BA,170,120,,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,212,PHYS 212,Principles of Physics II,4, PHYS 211 ,,
Chemistry,BA,Chemistry - BA,170,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Biochemistry Foundation ,Choose3 - 4 Credit(s).,CHEM,360,CHEM 360,Principles of Biochemistry,4,CHEM 322. CHEM 324 is strongly recommended.,,
Chemistry,BA,Chemistry - BA,170,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Biochemistry Foundation ,Choose3 - 4 Credit(s).,CHEM,460,CHEM 460,Biochemistry I,3," BIOL 106, CHEM 324. BIOL 106 or permission “C” (2.0) or higher in all prerequisites.",,
Chemistry,BA,Chemistry - BA,170,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Inorganic Foundation ,Choose  3 Credit(s).,CHEM,316,CHEM 316,Descriptive Inorganic Main Group Chemistry,3, “C” (2.0) or higher in CHEM 202 ,,
Chemistry,BA,Chemistry - BA,170,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Inorganic Foundation ,Choose  3 Credit(s).,CHEM,317,CHEM 317,Transition Metal Chemistry,3, “C” (2.0) or higher in CHEM 202 ,,
Chemistry,BA,Chemistry - BA,170,120,,Undergraduate,2024-2025,Required General Education,,,,,MATH,121,MATH 121,Calculus I,4,"Satisfy Placement Table in this section, MATH 115 or both MATH 112 and MATH 113 with “C” (2.0) or better.",,
Chemistry,BA,Chemistry - BA,170,120,,Undergraduate,2024-2025,Required General Education,,,,,PHYS,211,PHYS 211,Principles of Physics I,4,"Either MATH 112 and MATH 113, or MATH 115",,
