ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Civil Engineering,BSCE,Civil Engineering - BSCE,7351,128,,Undergraduate,2024-2025,Major Common Core,,,,,CIVE,101,CIVE 101,Introduction to Engineering - Civil,2,,,
Civil Engineering,BSCE,Civil Engineering - BSCE,7351,128,,Undergraduate,2024-2025,Major Common Core,,,,,CIVE,145,CIVE 145,CAD for Civil Engineering,2,,,
Civil Engineering,BSCE,Civil Engineering - BSCE,7351,128,,Undergraduate,2024-2025,Major Common Core,,,,,CIVE,235,CIVE 235,Properties of Civil Engineering Materials,3,ME 212,,
Civil Engineering,BSCE,Civil Engineering - BSCE,7351,128,,Undergraduate,2024-2025,Major Common Core,,,,,CIVE,271,CIVE 271,Civil Engineering Measurements,2,"Select One: MATH 113, MATH 115, MATH 121",,
Civil Engineering,BSCE,Civil Engineering - BSCE,7351,128,,Undergraduate,2024-2025,Major Common Core,,,,,CIVE,321,CIVE 321,Fluid Mechanics,3,ME 214. Select one: ME 241 or ME 299,,
Civil Engineering,BSCE,Civil Engineering - BSCE,7351,128,,Undergraduate,2024-2025,Major Common Core,,,,,CIVE,340,CIVE 340,Structural Analysis,3, CIVE 223 or ME 223 ,,
Civil Engineering,BSCE,Civil Engineering - BSCE,7351,128,,Undergraduate,2024-2025,Major Common Core,,,,,CIVE,350,CIVE 350,Hydraulics and Hydrology,4," CIVE 321 or ME 321, ME 291",,
Civil Engineering,BSCE,Civil Engineering - BSCE,7351,128,,Undergraduate,2024-2025,Major Common Core,,,,,CIVE,360,CIVE 360,Geotechnical Engineering,4, CIVE 223 or ME 223, CIVE 321 or ME 321,
Civil Engineering,BSCE,Civil Engineering - BSCE,7351,128,,Undergraduate,2024-2025,Major Common Core,,,,,CIVE,370W,CIVE 370W,Transportation Engineering,4,"CIVE 145, ME 291",,
Civil Engineering,BSCE,Civil Engineering - BSCE,7351,128,,Undergraduate,2024-2025,Major Common Core,,,,,CIVE,380,CIVE 380,Environmental Engineering,3,Select one: CHEM 201 or GEOL 291,,
Civil Engineering,BSCE,Civil Engineering - BSCE,7351,128,,Undergraduate,2024-2025,Major Common Core,,,,,CIVE,401W,CIVE 401W,Civil Engineering Design I,2,"ENG 271W, CIVE 340, CIVE 350, CIVE 360, CIVE 370W",,
Civil Engineering,BSCE,Civil Engineering - BSCE,7351,128,,Undergraduate,2024-2025,Major Common Core,,,,,CIVE,402W,CIVE 402W,Civil Engineering Design II,3,CIVE 401W,,
Civil Engineering,BSCE,Civil Engineering - BSCE,7351,128,,Undergraduate,2024-2025,Major Common Core,,,,,CIVE,435,CIVE 435,Civil Engineering Experimentation I,2,"CIVE 235, CIVE 340",,
Civil Engineering,BSCE,Civil Engineering - BSCE,7351,128,,Undergraduate,2024-2025,Major Common Core,,,,,CIVE,436,CIVE 436,Civil Engineering Experimentation II,2,"CIVE 350, CIVE 360, CIVE 380",,
Civil Engineering,BSCE,Civil Engineering - BSCE,7351,128,,Undergraduate,2024-2025,Major Common Core,,,,,GEOL,121,GEOL 121,Physical Geology,4,,,
Civil Engineering,BSCE,Civil Engineering - BSCE,7351,128,,Undergraduate,2024-2025,Major Common Core,,, ,Choose  3 Credit(s).,CIVE,446,CIVE 446,Reinforced Concrete Design,3, CIVE 340 ,,
Civil Engineering,BSCE,Civil Engineering - BSCE,7351,128,,Undergraduate,2024-2025,Major Common Core,,, ,Choose  3 Credit(s).,CIVE,448,CIVE 448,Steel Design,3, CIVE 340 ,,
Civil Engineering,BSCE,Civil Engineering - BSCE,7351,128,,Undergraduate,2024-2025,Major Common Core,,, ,Choose2 - 3 Credit(s).,ME,241,ME 241,Thermodynamics,3, PHYS 221 ,,
Civil Engineering,BSCE,Civil Engineering - BSCE,7351,128,,Undergraduate,2024-2025,Major Common Core,,, ,Choose2 - 3 Credit(s).,ME,299,ME 299,Thermal Analysis,2, PHYS 221 with “C-” (1.67) or better ,,
