ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Undergraduate,2024-2025,Required General Education,,, ,Choose  9 Credit(s).,BIOL,105,General Biology I,4,,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Undergraduate,2024-2025,Required General Education,,, ,Choose  9 Credit(s).,CHEM,201,General Chemistry I,5,,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Undergraduate,2024-2025,Required General Education,,,Math requirement ,Choose  4 Credit(s).,MATH,112,College Algebra,4,,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Undergraduate,2024-2025,Required General Education,,,Math requirement ,Choose  4 Credit(s).,MATH,115,Precalculus Mathematics,4,,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Undergraduate,2024-2025,Required General Education,,,Math requirement ,Choose  4 Credit(s).,MATH,121,Calculus I,4,,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Undergraduate,2024-2025,Required General Education,,,,,BIOL,105,General Biology I,4,,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Undergraduate,2024-2025,Required General Education,,,,,CHEM,201,General Chemistry I,5,,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Undergraduate,2024-2025,Required General Education,,, ,Choose  4 Credit(s).,MATH,112,College Algebra,4,,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Undergraduate,2024-2025,Required General Education,,, ,Choose  4 Credit(s).,MATH,115,Precalculus Mathematics,4,,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Undergraduate,2024-2025,Required General Education,,, ,Choose  4 Credit(s).,MATH,121,Calculus I,4,,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Undergraduate,2024-2025,Required General Education,,,,,MATH,121,Calculus I,4,,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Undergraduate,2024-2025,Required General Education,,,,,PHYS,211,Principles of Physics I,4,,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,106,General Biology II,4,,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,211,Genetics,4,,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,325,Principles of Human Anatomy,4,,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,330,Principles of Human Physiology,4,,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,202,General Chemistry II,5,,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Undergraduate,2024-2025,Emphasis Common Core,,, ,,BIOL,320,Cell Biology,4,,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Undergraduate,2024-2025,Emphasis Common Core,,, ,,BIOL,371,Microbiology,4,,,,
