ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Cytotechnology,Undergraduate,2024-2025,Emphasis Common Core,,, ,,BIOL,320,BIOL 320,Cell Biology,4," BIOL 105 and BIOL 106, BIOL 211 ",,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Cytotechnology,Undergraduate,2024-2025,Emphasis Common Core,,, ,,BIOL,371,BIOL 371,Microbiology,4,"BIOL 105, BIOL 106, CHEM 201",,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Cytotechnology,Undergraduate,2024-2025,Emphasis Restricted Electives,,,,,CHEM,322,CHEM 322,Organic Chemistry I,4," CHEM 202, “C” (2.0) or higher in CHEM 202.",,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Cytotechnology,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  32 Credit(s).,BIOL,493,BIOL 493,Cytotechnology Clinical Internship I,1-12,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Cytotechnology,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  32 Credit(s).,BIOL,494,BIOL 494,Cytotechnology Clinical Internship II,1-12,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Cytotechnology,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  32 Credit(s).,BIOL,495,BIOL 495,Cytotechnology Clinical Internship III,1-12,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Cytotechnology,Undergraduate,2024-2025,Emphasis Restricted Electives,,, ,Choose  32 Credit(s).,BIOL,496,BIOL 496,Cytotechnology Clinical Internship IV,1-12,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Cytotechnology,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Biology Electives ,Choose3 - 4 Credit(s).,BIOL,424,BIOL 424,Developmental Biology,3, BIOL 100 or BIOL 105 ,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Cytotechnology,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Biology Electives ,Choose3 - 4 Credit(s).,BIOL,435,BIOL 435,Histology,4, BIOL 220 ,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Cytotechnology,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Biology Electives ,Choose3 - 4 Credit(s).,BIOL,474,BIOL 474,Immunology,4," BIOL 105, BIOL 106, and BIOL 270 ",,
