ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Medical Laboratory Science,Undergraduate,2024-2025,Emphasis Common Core,,, ,Choose  13 Credit(s).,BIOL,175,BIOL 175,Orientation to Clinical Laboratory Science,1,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Medical Laboratory Science,Undergraduate,2024-2025,Emphasis Common Core,,, ,Choose  13 Credit(s).,BIOL,371,BIOL 371,Microbiology,4,"BIOL 105, BIOL 106, CHEM 201",,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Medical Laboratory Science,Undergraduate,2024-2025,Emphasis Common Core,,, ,Choose  13 Credit(s).,BIOL,474,BIOL 474,Immunology,4," BIOL 105, BIOL 106, and BIOL 270 ",,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Medical Laboratory Science,Undergraduate,2024-2025,Emphasis Common Core,,, ,Choose  13 Credit(s).,CHEM,322,CHEM 322,Organic Chemistry I,4," CHEM 202, “C” (2.0) or higher in CHEM 202.",,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Medical Laboratory Science,Undergraduate,2024-2025,Emphasis Common Core,,, ,Choose  13 Credit(s).,CHEM,360,CHEM 360,Principles of Biochemistry,4,CHEM 322. CHEM 324 is strongly recommended.,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Medical Laboratory Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,, Internship credits are determined in consultation with advisor. ,Choose32 - 36 Credit(s).,MEDT,410,MEDT 410,Clinical Hematology I,1-10,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Medical Laboratory Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,, Internship credits are determined in consultation with advisor. ,Choose32 - 36 Credit(s).,MEDT,411,MEDT 411,Clinical Immunohematology I,1-10,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Medical Laboratory Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,, Internship credits are determined in consultation with advisor. ,Choose32 - 36 Credit(s).,MEDT,412,MEDT 412,Clinical Immunology I,1-10,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Medical Laboratory Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,, Internship credits are determined in consultation with advisor. ,Choose32 - 36 Credit(s).,MEDT,413,MEDT 413,Clinical Chemistry I,1-10,,,
Clinical and Diagnostic Sciences,BS,Clinical and Diagnostic Sciences - BS,92,120,Medical Laboratory Science,Undergraduate,2024-2025,Emphasis Restricted Electives,,, Internship credits are determined in consultation with advisor. ,Choose32 - 36 Credit(s).,MEDT,414,MEDT 414,Clinical Microbiology I,1-10,,,
