ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
College Student Affairs,MS,College Student Affairs - MS,202323480,36,,Graduate,2024-2025,Capstone Course,,, * Students may need four credits to meet supervised practice requirements. Consult with your advisor on credits needed for your program.,Choose3 - 4 Credit(s).,CSP,686,CSP 686,Internship I in College Student Affairs,3,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,,Graduate,2024-2025,Capstone Course,,, * Students may need four credits to meet supervised practice requirements. Consult with your advisor on credits needed for your program.,Choose3 - 4 Credit(s).,CSP,687,CSP 687,Internship II in College Student Affairs,1-4,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,,Graduate,2024-2025,Common Core,,,,,CSP,620,CSP 620,Introduction to College Student Affairs in Higher Education,3,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,,Graduate,2024-2025,Common Core,,,,,CSP,622,CSP 622,Administration and Finance in Student Affairs,3,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,,Graduate,2024-2025,Common Core,,,,,CSP,645,CSP 645,Counseling Procedures & Skills I,3,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,,Graduate,2024-2025,Common Core,,,,,CSP,647,CSP 647,Crisis Intervention Strategies,3,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,,Graduate,2024-2025,Common Core,,,,,CSP,648,CSP 648,Counseling in a Multicultural Society,3,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,,Graduate,2024-2025,Common Core,,,,,CSP,658,CSP 658,Career Development,3,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,,Graduate,2024-2025,Common Core,,,,,CSP,662,CSP 662,College Student Development in the US,3,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,,Graduate,2024-2025,Common Core,,,,,CSP,664,CSP 664,Organizational and Program Assessment in Student Affairs,3,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,,Graduate,2024-2025,Common Core,,,,,CSP,673,CSP 673,Group Counseling,3,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,,Graduate,2024-2025,Common Core,,,,,CSP,685,CSP 685,Practicum in College Student Affairs,3,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,,Graduate,2024-2025,Research/Methods Course(s),,,,,CSP,675,CSP 675,Research and Program Evaluation in Counseling and Student Personnel,3,,,
