ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Major Common Core,,,,,COMM,105W,COMM 105W,Interpersonal Communication,4,,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Major Common Core,,,,,COMM,421,COMM 421,Communication Studies Teaching and Coaching Methods,1-4,,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Major Common Core,,,,,ENG,275W,ENG 275W,Introduction to Literary Studies,4, ENG 101 ,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Major Common Core,,,,,ENG,285,ENG 285,Practical Grammar,2,,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Major Common Core,,,,,ENG,322,ENG 322,Topics in British Literature,4,,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Major Common Core,,,,,ENG,323,ENG 323,Topics in US Literature,4,,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Major Common Core,,,,,ENG,361,ENG 361,"Teaching English: Literature, Grades 5-12",4,,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Major Common Core,,,,,ENG,362,ENG 362,"Teaching English: Writing, Grades 5-12",4,,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Major Common Core,,,,,ENG,381,ENG 381,Introduction to English Linguistics,4,,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Major Common Core,,,,,ENG,407,ENG 407,Shakespeare,4,,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Aesthetic Response ,Choose  4 Credit(s).,COMM,310,COMM 310,Performance of Literature,4,,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Aesthetic Response ,Choose  4 Credit(s).,CW,242W,CW 242W,Introduction To Creative Writing,4,,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Major Restricted Electives,,,World Literature ,Choose3 - 4 Credit(s).,ENG,435,ENG 435,The World Novel,2-4,,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Major Restricted Electives,,,World Literature ,Choose3 - 4 Credit(s).,ENG,461,ENG 461,World Literature for Children and Young Adults,2-4,,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Young Adult Literature ,Choose  3 Credit(s).,ENG,463,ENG 463,Adolescent Literature,3,,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Young Adult Literature ,Choose  3 Credit(s).,ENG,464,ENG 464,Teaching Literature in the Middle School,3,,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Required General Education,,,,,COMM,102,COMM 102,Public Speaking,3,,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Required General Education,,,,,COMM,110,COMM 110,Media and Society,4,,,Purple
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Required General Education,,,,,COMM,203,COMM 203,Intercultural Communication,4,,,Purple
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Required General Education,,,,,HLTH,240,HLTH 240,Drug Education,3,,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Required General Education,,,,,KSP,220W,KSP 220W,Human Relations in a Multicultural Society,3,,,Gold
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Required General Education,,,"Literature, Humanities, Film. Choose one course in literature, or in humanities, or in film from the following list.",Choose  4 Credit(s).,ENG,110,ENG 110,Introduction to Literature,4,,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Required General Education,,,"Literature, Humanities, Film. Choose one course in literature, or in humanities, or in film from the following list.",Choose  4 Credit(s).,ENG,112W,ENG 112W,Why Literature Matters,4, ENG 101 ,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Required General Education,,,"Literature, Humanities, Film. Choose one course in literature, or in humanities, or in film from the following list.",Choose  4 Credit(s).,ENG,125,ENG 125,International Children's Literature,4,,,Purple
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Required General Education,,,"Literature, Humanities, Film. Choose one course in literature, or in humanities, or in film from the following list.",Choose  4 Credit(s).,ENG,146,ENG 146,Introduction to Shakespeare,4,,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Required General Education,,,"Literature, Humanities, Film. Choose one course in literature, or in humanities, or in film from the following list.",Choose  4 Credit(s).,ENG,211W,ENG 211W,Literature and Human Diversity,4, ENG 101 ,,Purple
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Required General Education,,,"Literature, Humanities, Film. Choose one course in literature, or in humanities, or in film from the following list.",Choose  4 Credit(s).,ENG,212W,ENG 212W,World Literature,4, ENG 101 ,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Required General Education,,,"Literature, Humanities, Film. Choose one course in literature, or in humanities, or in film from the following list.",Choose  4 Credit(s).,ENG,213W,ENG 213W,Literature and Ethics,4, ENG 101 ,,
Communication Arts and Literature - Education,BS,Communication Arts and Literature - Education - BS,8001,120,,Undergraduate,2024-2025,Required General Education,,,"Literature, Humanities, Film. Choose one course in literature, or in humanities, or in film from the following list.",Choose  4 Credit(s).,ENG,215,ENG 215,Topics in Literature,2-4,,,
