ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,201,CDIS 201,Observation of Human Communication,3,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,220,CDIS 220,Basic Audiology,3,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,290,CDIS 290,Introduction to Communication Disorders,3,,,Purple
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,312,CDIS 312,Speech and Language Development,3,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,322,CDIS 322,Speech and Hearing Science,3,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,346,CDIS 346,Cultural Humility in Communication Sciences and Disorders,3,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,350W,CDIS 350W,Interprofessional Practice and Research,3,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,392,CDIS 392,Phonetics,3,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,394,CDIS 394,Applied Anatomy and Physiology,3,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,410,CDIS 410,Neurological Bases of Speech,2,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,421,CDIS 421,Aural Rehabilitation,3,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,445,CDIS 445,Grand Rounds-Foundation,1,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,446,CDIS 446,Grand Rounds-Presentation,2,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Audiology Option ,Choose12 - 17 Credit(s).,CDIS,320,CDIS 320,Beginning and Intermediate Audiometrics,2,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Audiology Option ,Choose12 - 17 Credit(s).,CDIS,401,CDIS 401,Hearing Disorders,3,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Audiology Option ,Choose12 - 17 Credit(s).,CDIS,404,CDIS 404,"Deaf Studies: Deaf Culture, History and Social Justice",3,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Audiology Option ,Choose12 - 17 Credit(s).,CDIS,408,CDIS 408,Seminar in Central Auditory Processing Disorders,3,,,
