ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Capstone Course,,,,,CDIS,698,CDIS 698,Internship,1-12,,,
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Common Core,,,,,CDIS,541,CDIS 541,"Diversity, Equity and Inclusion in Speech-Language Pathology",2,,,
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Common Core,,,,,CDIS,577,CDIS 577,Augmentative and Alternative Communication,2,,,
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Common Core,,,,,CDIS,613,CDIS 613,School Age Language Assessment and Intervention,2,,,
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Common Core,,,,,CDIS,614,CDIS 614,Early Childhood Language Assessment and Intervention,2,,,
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Common Core,,,,,CDIS,615,CDIS 615,Sem: Speech Sound Disorder,2,,,
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Common Core,,,,,CDIS,616,CDIS 616,Voice and Upper Airway Disorders,3,,,
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Common Core,,,,,CDIS,617,CDIS 617,Stuttering,3,,,
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Common Core,,,,,CDIS,619,CDIS 619,Adult Language and Cognitive Disorders,4,,,
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Common Core,,,,,CDIS,621,CDIS 621,Motor Speech Disorders,3,,,
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Common Core,,,,,CDIS,688,CDIS 688,"Culturally Responsive Practices in Speech, Language and Hearing Sciences",2,,,
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Common Core,,,,,CDIS,689,CDIS 689,Cultural Responsiveness: Global Experiences,1,,,
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Common Core,,,,,CDIS,692,CDIS 692,Dysphagia,3,,,
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Common Core,,,,,CDIS,696,CDIS 696,Comprehensive Assessment Clinic,1,,,
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Common Core,,,,,CDIS,697,CDIS 697,Professional Preparation in Speech-Language Pathology,1,,,
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Research/Methods Course(s),,,,,CDIS,610,CDIS 610,Research in Communication Sciences and Disorders ,2,,,
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Restricted Electives,Clinical Practicum Courses ,Clinical Practicum Courses ,,,CDIS,693,CDIS 693,"Clinical Practicum Diversity, Equity and Inclusion in Speech-Language Patho",1,,,
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Restricted Electives,Clinical Practicum Courses ,Clinical Practicum Courses ,,,CDIS,695,CDIS 695,Clinic Prac: Comm Disord,1,,,
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Restricted Electives,Seminar Course ,Seminar Course ,,,CDIS,675,CDIS 675,Sem: Selected Topics,3,,,
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Restricted Electives,Seminar Course ,Seminar Course ,,,CDIS,676,CDIS 676,"Seminar: Selected Topics in Diversity, Equity and Inclusion",3,,,
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Unrestricted Electives,,,,,CDIS,578,CDIS 578,Interprofessional Practices,1,,,
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Unrestricted Electives,,,,,CDIS,694,CDIS 694,Alternate Plan Paper,1-2,,,
Communication Sciences and Disorders,MS,Communication Sciences and Disorders - MS,26,52,,Graduate,2024-2025,Unrestricted Electives,,,,,CDIS,699,CDIS 699,Thesis,3,,,
