ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,340,CIS 340, Introduction to Database Systems ,4,CIS 121 or an approved substitute.,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,350,CIS 350, Information Security ,4,EE 107 or CIS 121 or an approved substitute.,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,380,CIS 380,Systems Analysis and Design,4,CIS 340. Select One Course: CIS 122 or CIS 123,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,497,CIS 497, Internship ,1-12,,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Major Common Core,,,,,COMM,333,COMM 333,Advanced Public Communication,4,,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Major Common Core,,,,,ENG,272W,ENG 272W,Business Communication,4,,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Major Common Core,,,,,STAT,154,STAT 154,Elementary Statistics,4," Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,223,CIS 223,Algorithms,4,MATH 121 and CS 111 or CIS 122 or IT 214,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,224,CIS 224,Computer Architecture,4,CS 111 or CIS 122	or IT 214,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,311,CIS 311,Business Application Programming,4,CIS 122,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,360,CIS 360,Introduction to Networking,4,"CIS 121. Select 1: MATH 113, MATH 115, MATH 121. Or an approved substitute.",,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,414,CIS 414,Advanced Object-Oriented Programming with Design Patterns,4,"CIS 223, CIS 380",,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,440,CIS 440,Database Management Systems,4,"CIS 340, CIS 380",,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,450,CIS 450,Information Warfare,4,CIS 350,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,460,CIS 460,Network and Security Protocols,4,CIS 360,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,462,CIS 462,"Network, Security, Administration and Programming",4,CIS 360,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,465,CIS 465,Mobile Device Application Programming,4,"CIS 223, CIS 380",,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,480,CIS 480,Software Quality Assurance and Testing,4,"CIS 223, CIS 380",,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,482,CIS 482,Human Computer Interaction,4,MATH 121. Select one: STAT 154 or PSYC 201. Select one: CS 230 or CIS 380,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,483,CIS 483,Web Application Design and Development,4,CIS 380,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,484,CIS 484,Software Engineering,4,"CIS 223, CIS 380",,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,499,CIS 499,Individual Study,1-4,,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,,Undergraduate,2024-2025,Required General Education,,,,,MATH,112,MATH 112,College Algebra,4," Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,
