ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Computer Engineering,BSEC,Computer Engineering - BSEC,7350,128,,Undergraduate,2024-2025,Major Common Core,,,,,EE,245,EE 245,Robotics Programming and Algorithms,3,CIS 122,,
Computer Engineering,BSEC,Computer Engineering - BSEC,7350,128,,Undergraduate,2024-2025,Major Common Core,,,,,EE,281,EE 281,Digital System Design with Testability,3," EE 106, EE 107",,
Computer Engineering,BSEC,Computer Engineering - BSEC,7350,128,,Undergraduate,2024-2025,Major Common Core,,,,,EE,282,EE 282,Digital System Design with Testability Lab,1,, EE 281,
Computer Engineering,BSEC,Computer Engineering - BSEC,7350,128,,Undergraduate,2024-2025,Major Common Core,,,,,EE,332,EE 332,Electronics I,3,EE 231,,
Computer Engineering,BSEC,Computer Engineering - BSEC,7350,128,,Undergraduate,2024-2025,Major Common Core,,,,,EE,334,EE 334,Microprocessor Engineering II,3,,,
Computer Engineering,BSEC,Computer Engineering - BSEC,7350,128,,Undergraduate,2024-2025,Major Common Core,,,,,EE,336,EE 336,Principles of Engineering Design I,1, Junior Standing,,
Computer Engineering,BSEC,Computer Engineering - BSEC,7350,128,,Undergraduate,2024-2025,Major Common Core,,,,,EE,337,EE 337,Principles of Engineering Design II,1,EE 336,,
Computer Engineering,BSEC,Computer Engineering - BSEC,7350,128,,Undergraduate,2024-2025,Major Common Core,,,,,EE,341,EE 341,Signals & Systems,3,EE 230. MATH 321 and PHYS 222,,
Computer Engineering,BSEC,Computer Engineering - BSEC,7350,128,,Undergraduate,2024-2025,Major Common Core,,,,,EE,342,EE 342,Electronics Laboratory,1,EE 231 and EE 332 taken concurrently.,,
Computer Engineering,BSEC,Computer Engineering - BSEC,7350,128,,Undergraduate,2024-2025,Major Common Core,,,,,EE,344,EE 344,Microprocessor II Laboratory,1,Concurrent with EE 334,,
Computer Engineering,BSEC,Computer Engineering - BSEC,7350,128,,Undergraduate,2024-2025,Major Common Core,,,,,EE,358,EE 358,Control Systems,3, EE 341 ,,
Computer Engineering,BSEC,Computer Engineering - BSEC,7350,128,,Undergraduate,2024-2025,Major Common Core,,,,,EE,368,EE 368,Control Systems Laboratory,1,EE 341 and concurrent with EE 358,,
Computer Engineering,BSEC,Computer Engineering - BSEC,7350,128,,Undergraduate,2024-2025,Major Common Core,,,,,EE,390,EE 390,Smart Sensor Systems,3,EE334 & EE344,,
Computer Engineering,BSEC,Computer Engineering - BSEC,7350,128,,Undergraduate,2024-2025,Major Common Core,,,,,EE,395,EE 395,Computer Hardware and Organization,3," EE 234, EE 235, EE 281",,
Computer Engineering,BSEC,Computer Engineering - BSEC,7350,128,,Undergraduate,2024-2025,Major Common Core,,,,,EE,450,EE 450,Engineering Economics,3,Advanced standing in the program,,
Computer Engineering,BSEC,Computer Engineering - BSEC,7350,128,,Undergraduate,2024-2025,Major Common Core,,,,,EE,467W,EE 467W,Principles of Engineering Design III,1-2                                     ,"EE 332, EE 337, EE 341, EE 358. Select One Course: EE 333, EE 390. Select One Course: EE 334, EE 353. Select One Course: EE 350, EE 395",,
Computer Engineering,BSEC,Computer Engineering - BSEC,7350,128,,Undergraduate,2024-2025,Major Common Core,,,,,EE,477W,EE 477W,Principles of Engineering Design IV,1-2                                     , EE 467 and Senior Standing,,
Computer Engineering,BSEC,Computer Engineering - BSEC,7350,128,,Undergraduate,2024-2025,Major Common Core,,,,,EE,486,EE 486,Signal and Power Integrity,3,EE 231. EE 341,,
