ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,121,CIS 121,Introduction to Programming,4,MATH 112 or MATH 113 or MATH 115 or MATH 121,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,122,CIS 122,Data Structures,4,"CIS 121. Select One Course: MATH 112, MATH 113, MATH 115, MATH 121, or MATH 130",,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,223,CIS 223,Algorithms,4,MATH 121 and CS 111 or CIS 122 or IT 214,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,224,CIS 224,Computer Architecture,4,CS 111 or CIS 122	or IT 214,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,340,CIS 340,Introduction to Database Systems,4,CIS 121 or an approved substitute.,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,350,CIS 350,Information Security,4,EE 107 or CIS 121 or an approved substitute.,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,360,CIS 360,Introduction to Networking,4,"CIS 121. Select 1: MATH 113, MATH 115, MATH 121. Or an approved substitute.",,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,380,CIS 380,Systems Analysis and Design,4,CIS 340. Select One Course: CIS 122 or CIS 123,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,440,CIS 440,Database Management Systems,4,"CIS 340, CIS 380",,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,497,CIS 497,Internship,1-12,,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Major Common Core,,,,,ENG,271W,ENG 271W,Technical Communication,4, ENG 101 ,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Required General Education,,,,,CIS,202W,CIS 202W,Computers in Society,4,,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Required General Education,,,,,ENG,101,ENG 101,Foundations of Writing & Rhetoric,4,,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Required General Education,,,,,MATH,115,MATH 115,Precalculus Mathematics,4,"Satisfy Math Placement Table in this section, or grade of P in MATH 098.",,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Required General Education,,,,,MATH,121,MATH 121,Calculus I,4,"Satisfy Placement Table in this section, MATH 115 or both MATH 112 and MATH 113 with “C” (2.0) or better.",,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Required General Education,,,,,STAT,154,STAT 154,Elementary Statistics,4," Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Required General Education,,, Choose one of the following Communication Courses,Choose  3 Credit(s).,COMM,100,COMM 100,Fundamentals of Communication,3,,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Required General Education,,, Choose one of the following Communication Courses,Choose  3 Credit(s).,COMM,102,COMM 102,Public Speaking,3,,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  12 Credit(s).,CIS,414,CIS 414,Advanced Object-Oriented Programming with Design Patterns,4,"CIS 223, CIS 380",,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  12 Credit(s).,CIS,418,CIS 418,Foundations of Data Science,4,"CIS 223, CIS 340",,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  12 Credit(s).,CIS,442,CIS 442,"Database Security, Auditing and Disaster Recovery",4,"CIS 350, CIS 440",,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  12 Credit(s).,CIS,443,CIS 443,Health Information Technology in Clinical Practice,4,"CIS 113, CIS 340",,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  12 Credit(s).,CIS,444,CIS 444,Data Analytics,4,CIS 440,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  12 Credit(s).,CIS,446,CIS 446,Cloud Computing,4,,,
