ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,121,CIS 121,Introduction to Programming,4,MATH 112 or MATH 113 or MATH 115 or MATH 121,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,122,CIS 122,Data Structures,4,"CIS 121. Select One Course: MATH 112, MATH 113, MATH 115, MATH 121, or MATH 130",,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,223,CIS 223,Algorithms,4,MATH 121 and CS 111 or CIS 122 or IT 214,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,224,CIS 224,Computer Architecture,4,CS 111 or CIS 122	or IT 214,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Common Core,,,,,CS,301,CS 301,CS Core: Operating Systems,2,"CIS 223, CIS 224 or EE 234, and admission to major.",,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Common Core,,,,,CS,302,CS 302,CS Core: Software Engineering & Parallel Computing,2,"CIS 223, CIS 224, and admission to major.",,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Common Core,,,,,CS,303,CS 303,CS Core: Programming Languages,2,"CIS 223, CIS 224, and admission to major.",,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Common Core,,,,,CS,304,CS 304,CS Core: Databases & Information Security,2,"CIS 223, CIS 224, and admission to major.",,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Common Core,,,,,CS,391W,CS 391W,Computer Science Project 1,4,CIS 223 and MATH 280,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Common Core,,,,,CS,392W,CS 392W,Computer Science Project 2,4,CS 391W,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Common Core,,,,,CS,491W,CS 491W,Computer Science Capstone 1,4,"CS 301, CS 302, CS 303, CS 304, CS 392W",,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Common Core,,,,,CS,495,CS 495,Computer Science Seminar,1,Admission to major.,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Common Core,,,,,MATH,122,MATH 122,Calculus II,4,MATH 121 with “C” (2.0) or better or consent,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Common Core,,,,,MATH,247,MATH 247,Linear Algebra I,4,MATH 122 with “C” (2.0) or better or consent,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Common Core,,,,,MATH,280,MATH 280,Discrete Mathematics for Computer Science I,4,MATH 121 with “C” (2.0) or better or consent.,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Common Core,,,,,MATH,354,MATH 354,Concepts of Probability & Statistics,4,MATH 122 with “C” (2.0) or better or consent,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Common Core,,,,,MATH,380,MATH 380,Discrete Mathematics for Computer Science II,4,MATH 247 and MATH 280 with a grade of “C” (2.0) or better,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Common Core,,,Thesis or Capstone Students have the option of completing a thesis or a fourth project.,Choose  4 Credit(s).,CS,492W,CS 492W,Computer Science Capstone 2,4,"CS 491W and (CS 306, CS 401, CS 403, CS 406, CS 410, CS 420, CS 435, CS 440, CS 445, CS 450, CS 465, CS 470, CS 480, or CS 485)",,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Common Core,,,Thesis or Capstone Students have the option of completing a thesis or a fourth project.,Choose  4 Credit(s).,CS,498W,CS 498W,Senior Thesis,4, Senior standing and consent,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Restricted Electives,,, 400-level topics classes can be repeated when topics are different.,Choose  12 Credit(s).,CS,306,CS 306,Network Architectures,2,CIS 223 and CIS 224 or EE 234,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Restricted Electives,,, 400-level topics classes can be repeated when topics are different.,Choose  12 Credit(s).,CS,308,CS 308,Applied Algorithms,2,,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Restricted Electives,,, 400-level topics classes can be repeated when topics are different.,Choose  12 Credit(s).,CS,401,CS 401,Topics in Operating Systems,2,,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Restricted Electives,,, 400-level topics classes can be repeated when topics are different.,Choose  12 Credit(s).,CS,403,CS 403,Topics in Programming Languages,2,,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Restricted Electives,,, 400-level topics classes can be repeated when topics are different.,Choose  12 Credit(s).,CS,406,CS 406,Topics in Networking & Communication,2,,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Restricted Electives,,, 400-level topics classes can be repeated when topics are different.,Choose  12 Credit(s).,CS,410,CS 410,Topics in Algorithms & Computability,2,Admission to major or permission.,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Restricted Electives,,, 400-level topics classes can be repeated when topics are different.,Choose  12 Credit(s).,CS,415,CS 415,Topics in Parallel & Distributed Computing,2,Admission to major or permission.,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Restricted Electives,,, 400-level topics classes can be repeated when topics are different.,Choose  12 Credit(s).,CS,420,CS 420,Topics in Architecture & Organization,2,Admission to major or permission.,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Restricted Electives,,, 400-level topics classes can be repeated when topics are different.,Choose  12 Credit(s).,CS,435,CS 435,Topics in Intelligent Systems,2,,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Restricted Electives,,, 400-level topics classes can be repeated when topics are different.,Choose  12 Credit(s).,CS,440,CS 440,Topics in Information Management,2,,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Restricted Electives,,, 400-level topics classes can be repeated when topics are different.,Choose  12 Credit(s).,CS,445,CS 445,Topics in Information Assurance and Security,2,,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Restricted Electives,,, 400-level topics classes can be repeated when topics are different.,Choose  12 Credit(s).,CS,450,CS 450,Topics in Computational Science,2,,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Restricted Electives,,, 400-level topics classes can be repeated when topics are different.,Choose  12 Credit(s).,CS,465,CS 465,Topics in Graphics & Visualization,2,Admission to major or permission.,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Restricted Electives,,, 400-level topics classes can be repeated when topics are different.,Choose  12 Credit(s).,CS,470,CS 470,Topics in Human Computer Interaction,2,Admission to major or permission.,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Restricted Electives,,, 400-level topics classes can be repeated when topics are different.,Choose  12 Credit(s).,CS,480,CS 480,Topics in Software Engineering,2,Admission to major or permission.,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Major Restricted Electives,,, 400-level topics classes can be repeated when topics are different.,Choose  12 Credit(s).,CS,485,CS 485,Topics in Platform-Based Development,2,,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Required General Education,,,,,ENG,101,ENG 101,Foundations of Writing & Rhetoric,4,,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Required General Education,,,,,MATH,121,MATH 121,Calculus I,4,"Satisfy Placement Table in this section, MATH 115 or both MATH 112 and MATH 113 with “C” (2.0) or better.",,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Required General Education,,,Communication ,Choose3 - 4 Credit(s).,COMM,102,COMM 102,Public Speaking,3,,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Required General Education,,,Communication ,Choose3 - 4 Credit(s).,ENG,271W,ENG 271W,Technical Communication,4, ENG 101 ,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Required General Education,,,"Science To meet university general education requirements, courses must come from at least two different disciplines.",Choose8 - 9 Credit(s).,BIOL,105,BIOL 105,General Biology I,4,,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Required General Education,,,"Science To meet university general education requirements, courses must come from at least two different disciplines.",Choose8 - 9 Credit(s).,BIOL,106,BIOL 106,General Biology II,4,,,
Computer Science,BS,Computer Science - BS,201749219,120,,Undergraduate,2024-2025,Required General Education,,,"Science To meet university general education requirements, courses must come from at least two different disciplines.",Choose8 - 9 Credit(s).,CHEM,201,CHEM 201,General Chemistry I,5,“C” (2.0) or higher in MATH 112 or the equivalent; high school chemistry or “C” (2.0) or higher in CHEM 104.,,
