ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,ACCT,200,ACCT 200,Financial Accounting,3,MATH 112 or MATH 115	or MATH 121 or MATH 130 or MATH 181,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,ACCT,210,ACCT 210,Managerial Accounting,3, ACCT 200,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,BLAW,200,BLAW 200,Legal Environment of Business,3,,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,BLAW,476,BLAW 476,Construction and Design Law,3, BLAW 200 ,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,CIS,101,CIS 101,Introduction to Information Systems,3,,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,CM,108,CM 108,Construction Work Experience,1,,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,CM,111,CM 111,Introduction to Construction Management,1,,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,CM,120,CM 120,Construction Graphics,3,,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,CM,130,CM 130,Construction Documents,2,,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,CM,210,CM 210,Construction Materials and Methods I,3,"CM 111, CM 120, CM 130, CIS 101",,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,CM,220,CM 220,Construction Materials and Methods II,3, CM 210,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,CM,222,CM 222,Introduction to Statics and Mechanics of Materials,3," PHYS 101, MATH 113 or MATH 115 or MATH 121",,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,CM,271,CM 271,Civil Engineering Measurements,2, MATH 113 or MATH 115 or MATH 121,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,CM,297,CM 297,Construction Professional Practice,1," CM 108, CM 210",,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,CM,300,CM 300,Construction Safety,3, CM 210,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,CM,310,CM 310,Estimating I,3, MATH 113 or MATH 115 or MATH 121,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,CM,330,CM 330,Planning and Scheduling,3,CM 220,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,CM,340,CM 340,Construction Project Management,3," CM 220, CM 222, CM 297",,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,CM,350,CM 350,Mechanical and Electrical Systems for Construction,3, CM 220,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,CM,380,CM 380,Construction Equipment Management,3," CM 220, CM 300",,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,CM,410,CM 410,Estimating II,3," CM 310, CM 330",,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,CM,450,CM 450,Construction Capstone Project,3,CM 340,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,CM,492,CM 492,Construction Management Seminar,3, Senior Standing or instructor permission,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,CM,497,CM 497,Internship,1-12                                    ," CM 300, CM 310, CM 330",,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,230,MGMT 230,Principles of Management,3,,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,300,MGMT 300,Introduction to MIS,3,ISYS 101 or CIS 101,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Select one of two classes  ,Choose  3 Credit(s).,FINA,362,FINA 362,Business Finance,3,ACCT 200,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Select one of two classes  ,Choose  3 Credit(s).,MRKT,210,MRKT 210,Principles of Marketing,3,,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Required General Education,,,,,ECON,201,ECON 201,Principles of Macroeconomics,3,,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Required General Education,,,,,ECON,202,ECON 202,Principles of Microeconomics,3,,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Required General Education,,,,,ECON,207,ECON 207,Business Statistics,4,MATH 112 or equivalent,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Required General Education,,,,,ENG,101,ENG 101,Foundations of Writing & Rhetoric,4,,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Required General Education,,,,,ENG,271W,ENG 271W,Technical Communication,4, ENG 101 ,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Required General Education,,,,,MATH,115,MATH 115,Precalculus Mathematics,4,"Satisfy Math Placement Table in this section, or grade of P in MATH 098.",,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Required General Education,,,Analytical Science Courses (8 Credits) ,Choose3 - 4 Credit(s).,PHYS,101,PHYS 101,Introductory Physics,3,,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Required General Education,,,Analytical Science Courses (8 Credits) ,Choose3 - 4 Credit(s).,PHYS,211,PHYS 211,Principles of Physics I,4,"Either MATH 112 and MATH 113, or MATH 115",,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Required General Education,,,Choose remaining credits ,Choose4 - 5 Credit(s).,CHEM,201,CHEM 201,General Chemistry I,5,“C” (2.0) or higher in MATH 112 or the equivalent; high school chemistry or “C” (2.0) or higher in CHEM 104.,,
Construction Management,BS,Construction Management - BS,4494,120,,Undergraduate,2024-2025,Required General Education,,,Choose remaining credits ,Choose4 - 5 Credit(s).,GEOL,100,GEOL 100,Our Geologic Environment,3-4,,,
