ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Corrections,BS,Corrections - BS,578,120,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,200,CJ 200,Foundations and Orientation to Corrections,3,,,
Corrections,BS,Corrections - BS,578,120,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,310,CJ 310,Research Methods in Criminal Justice & Criminology,3,,,
Corrections,BS,Corrections - BS,578,120,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,323,CJ 323,Cultural Competency in Corrections,3,,,Purple
Corrections,BS,Corrections - BS,578,120,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,401,CJ 401,Advanced Crime Theory & Prevention,3,,,
Corrections,BS,Corrections - BS,578,120,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,421W,CJ 421W,Community Corrections,3,,,
Corrections,BS,Corrections - BS,578,120,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,423,CJ 423,Correctional Counseling,3,,,
Corrections,BS,Corrections - BS,578,120,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,456,CJ 456,Correctional Law,3,,,
Corrections,BS,Corrections - BS,578,120,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,496,CJ 496,Field Practicum & Capstone Experience in Corrections,12,,,
Corrections,BS,Corrections - BS,578,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  9 Credit(s).,CJ,309,CJ 309,Drugs and Society,3,,,
Corrections,BS,Corrections - BS,578,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  9 Credit(s).,CJ,321,CJ 321,Victims/Survivors: Criminal Justice Response,3,,,
Corrections,BS,Corrections - BS,578,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  9 Credit(s).,CJ,324,CJ 324,Women in the Criminal Justice System,3,,,
Corrections,BS,Corrections - BS,578,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  9 Credit(s).,CJ,371,CJ 371,Criminal Justice Community Experiences,1,,,
Corrections,BS,Corrections - BS,578,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  9 Credit(s).,CJ,393,CJ 393,Issues in Criminal Justice,1-3,,,
Corrections,BS,Corrections - BS,578,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  9 Credit(s).,CJ,422,CJ 422,Community Reentry,3,,,
Corrections,BS,Corrections - BS,578,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  9 Credit(s).,CJ,429,CJ 429,Evidence Based Practices in Corrections,1-6,,,
Corrections,BS,Corrections - BS,578,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  9 Credit(s).,CJ,485,CJ 485,Topics in Criminal Justice,1-3,,,
Corrections,BS,Corrections - BS,578,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  9 Credit(s).,GWS,411,GWS 411, Sexual Assault Victim Advocacy,4,,,Purple
Corrections,BS,Corrections - BS,578,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  9 Credit(s).,SOC,241,SOC 241,Social Deviance,4,,,
Corrections,BS,Corrections - BS,578,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  9 Credit(s).,SOC,409,SOC 409,Family Violence,4,,,
Corrections,BS,Corrections - BS,578,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  9 Credit(s).,SOC,420,SOC 420,Identity Work in Women's Reentry Experiences,4,,,Gold
Corrections,BS,Corrections - BS,578,120,,Undergraduate,2024-2025,Required General Education,,,Diversity and Human Relations Must complete at least one course,Choose3 - 4 Credit(s).,ANTH,240,ANTH 240,Language and Culture,4,,,Purple
Corrections,BS,Corrections - BS,578,120,,Undergraduate,2024-2025,Required General Education,,,Diversity and Human Relations Must complete at least one course,Choose3 - 4 Credit(s).,CDIS,205,CDIS 205,Beginning American Sign Language - Level I,3,,,
