ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Counseling and Student Personnel,MS,Counseling and Student Personnel - MS,160,60,Mental Health Counseling,Graduate,2024-2025,Capstone Course,,,,,CSP,679,CSP 679,Internship I in Mental Health Counseling,1-4,,,
Counseling and Student Personnel,MS,Counseling and Student Personnel - MS,160,60,Mental Health Counseling,Graduate,2024-2025,Common Core,,,,,CSP,645,CSP 645,Counseling Procedures & Skills I,3,,,
Counseling and Student Personnel,MS,Counseling and Student Personnel - MS,160,60,Mental Health Counseling,Graduate,2024-2025,Common Core,,,,,CSP,647,CSP 647,Crisis Intervention Strategies,3,,,
Counseling and Student Personnel,MS,Counseling and Student Personnel - MS,160,60,Mental Health Counseling,Graduate,2024-2025,Common Core,,,,,CSP,648,CSP 648,Counseling in a Multicultural Society,3,,,
Counseling and Student Personnel,MS,Counseling and Student Personnel - MS,160,60,Mental Health Counseling,Graduate,2024-2025,Common Core,,,,,CSP,652,CSP 652,Human Development through the Family Life Cycle,3,,,
Counseling and Student Personnel,MS,Counseling and Student Personnel - MS,160,60,Mental Health Counseling,Graduate,2024-2025,Common Core,,,,,CSP,658,CSP 658,Career Development,3,,,
Counseling and Student Personnel,MS,Counseling and Student Personnel - MS,160,60,Mental Health Counseling,Graduate,2024-2025,Common Core,,,,,CSP,665,CSP 665,Counseling Theories,3,,,
Counseling and Student Personnel,MS,Counseling and Student Personnel - MS,160,60,Mental Health Counseling,Graduate,2024-2025,Common Core,,,,,CSP,666,CSP 666,Counseling Procedures and Skills II,3,CSP 645,,
Counseling and Student Personnel,MS,Counseling and Student Personnel - MS,160,60,Mental Health Counseling,Graduate,2024-2025,Emphasis Common Core,,,,,CSP,573,CSP 573,Counseling the Chemically Dependent Family,3,,,
Counseling and Student Personnel,MS,Counseling and Student Personnel - MS,160,60,Mental Health Counseling,Graduate,2024-2025,Emphasis Common Core,,,,,CSP,618,CSP 618,Introduction to Mental Health Counseling,3,,,
Counseling and Student Personnel,MS,Counseling and Student Personnel - MS,160,60,Mental Health Counseling,Graduate,2024-2025,Emphasis Common Core,,,,,CSP,650,CSP 650,Child and Adolescent Counseling Techniques,3,,,
Counseling and Student Personnel,MS,Counseling and Student Personnel - MS,160,60,Mental Health Counseling,Graduate,2024-2025,Emphasis Common Core,,,,,CSP,653,CSP 653,Professional Issues in Mental Health Counseling and Family Counseling,3,,,
Counseling and Student Personnel,MS,Counseling and Student Personnel - MS,160,60,Mental Health Counseling,Graduate,2024-2025,Emphasis Common Core,,,,,CSP,661,CSP 661,Appraisal Techniques in Mental Health Counseling and Family Counseling,3,,,
Counseling and Student Personnel,MS,Counseling and Student Personnel - MS,160,60,Mental Health Counseling,Graduate,2024-2025,Emphasis Common Core,,,,,CSP,667,CSP 667,Family Counseling,3,,,
Counseling and Student Personnel,MS,Counseling and Student Personnel - MS,160,60,Mental Health Counseling,Graduate,2024-2025,Emphasis Common Core,,,,,CSP,668,CSP 668,Couples Counseling,3,,,
Counseling and Student Personnel,MS,Counseling and Student Personnel - MS,160,60,Mental Health Counseling,Graduate,2024-2025,Emphasis Common Core,,,,,CSP,669,CSP 669,Interventin: Treatment Planning/Evaluation,3,,,
Counseling and Student Personnel,MS,Counseling and Student Personnel - MS,160,60,Mental Health Counseling,Graduate,2024-2025,Emphasis Common Core,,,,,CSP,673,CSP 673,Group Counseling,3,,,
Counseling and Student Personnel,MS,Counseling and Student Personnel - MS,160,60,Mental Health Counseling,Graduate,2024-2025,Emphasis Common Core,,,,,CSP,678,CSP 678,Practicum in Mental Health Counseling,1-4,"CSP 618 Introduction to Mental Health Counseling. CSP 645 Counseling Procedures and Skills I, CSP 665 Counseling Theories, CSP 666, Counseling Procedures and Skills II, CSP 673 Group Counseling",,
Counseling and Student Personnel,MS,Counseling and Student Personnel - MS,160,60,Mental Health Counseling,Graduate,2024-2025,Emphasis Common Core,,,,,CSP,689,CSP 689,Technology in Counseling & Student Affairs,3,,,
Counseling and Student Personnel,MS,Counseling and Student Personnel - MS,160,60,Mental Health Counseling,Graduate,2024-2025,Research/Methods Course(s),,,,,CSP,675,CSP 675,Research and Program Evaluation in Counseling and Student Personnel,3,,,
