ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Common Core,,,,,CW,242W,CW 242W,Introduction To Creative Writing,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Common Core,,,,,CW,340,CW 340,Form and Technique in Prose,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Common Core,,,,,CW,341,CW 341,Form and Technique in Poetry,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Common Core,,,,,CW,342,CW 342,Beginning Creative Nonfiction Workshop,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Common Core,,,,,CW,343,CW 343,Beginning Fiction Workshop,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Common Core,,,,,CW,344,CW 344,Beginning Poetry Workshop,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Common Core,,,,,CW,447W,CW 447W,Advanced Creative Writing,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,FILM,217,FILM 217,Introduction to Film Production,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,THEA,487W,THEA 487W,Playwriting,3, THEA 100. Permission of instructor.,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,311W,ENG 311W,Communities and Writing,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,316,ENG 316,Topics in Literature,,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,317,ENG 317,Literature & the Environment,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,318,ENG 318,Multicultural Literature,,,,Purple
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,319,ENG 319,Animals and Literature,4,,,Purple
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,320,ENG 320,British Literature to 1785,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,321,ENG 321,British Literature:  1785-Present,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,322,ENG 322,Topics in British Literature,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,323,ENG 323,Topics in US Literature,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,325,ENG 325,Children's Literature,3,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,327,ENG 327,American Literature to 1865,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,328,ENG 328,American Literature: 1865 to the Present,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,361,ENG 361,"Teaching English: Literature, Grades 5-12",4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,362,ENG 362,"Teaching English: Writing, Grades 5-12",4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,381,ENG 381,Introduction to English Linguistics,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,385,ENG 385,Introduction to Sociolinguistics,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,401,ENG 401,Topics in Writing Studies,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,402W,ENG 402W,Gender in Literature,4,,,Purple
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,403W,ENG 403W,Selected Authors,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,407,ENG 407,Shakespeare,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,410,ENG 410,21st Century Literature,, ENG 275W,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,412W,ENG 412W,Arab American Literature,4,,,Purple
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,425,ENG 425,Topics in Children's Literature,,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,426,ENG 426,Selected Periods,,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,430,ENG 430,Independent Reading,, Consent ,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,433W,ENG 433W,Selected Studies in World Literature,4,,,Purple
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,435,ENG 435,The World Novel,,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,436W,ENG 436W,Native American Literature,4,,,Purple
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,437W,ENG 437W,Latina/o Literature,,,,Purple
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,438W,ENG 438W,African American Literature,4,,,Purple
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,441,ENG 441,Literary Theory and Criticism,4, 6 semester credits in literature ,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,461,ENG 461,World Literature for Children and Young Adults,,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,463,ENG 463,Adolescent Literature,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,464,ENG 464,Teaching Literature in the Middle School,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,466,ENG 466,Usability,4, ENG 271W or ENG 272W,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,467,ENG 467,International Technical Communication,,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,469,ENG 469,Project Management in Technical Communication,4, ENG 271W,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,470,ENG 470,Independent Writing,, Consent ,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,471,ENG 471,Visual Technical Communication,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,472,ENG 472,Topics in Technical Communication,,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,474W,ENG 474W,Research and Writing Technical Reports,4, ENG 271W or ENG 272W ,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,475,ENG 475,Editing Technical Publications,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,477W,ENG 477W,"Technical Documentation,Policies, and Procedures",4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,478,ENG 478,Technical and Scientific Literature,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,479,ENG 479,Rhetorical Theory Applied to Technical Documents,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,480,ENG 480,Proposals,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,481,ENG 481,History of the English Language,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,482,ENG 482,Teaching Listening and Speaking to English Learners,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,483,ENG 483,Writing About Health and Medicine,4,,,
Creative Writing,BA,Creative Writing - BA,7994,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,,"Choose from CW, ENG, FILM or THEA ",Choose  12 Credit(s).,ENG,484,ENG 484,Teaching Grammar and Vocabulary to English Learners,4,,,
