ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Creative Writing,MFA,Creative Writing - MFA,2192,46,,Graduate,2024-2025,Capstone Course,,,,,CW,699,CW 699,Thesis,1-4,,,
Creative Writing,MFA,Creative Writing - MFA,2192,46,,Graduate,2024-2025,Common Core,,,,,CW,638,CW 638,The Writing Life,3,,,
Creative Writing,MFA,Creative Writing - MFA,2192,46,,Graduate,2024-2025,Common Core,,,,,CW,640,CW 640,Form and Technique in Prose,3,,,
Creative Writing,MFA,Creative Writing - MFA,2192,46,,Graduate,2024-2025,Common Core,,,,,CW,641,CW 641,Form and Technique in Poetry,3,,,
Creative Writing,MFA,Creative Writing - MFA,2192,46,,Graduate,2024-2025,Common Core,,,,,CW,672,CW 672,Research & Publication in Creative Writing,3,,,
Creative Writing,MFA,Creative Writing - MFA,2192,46,,Graduate,2024-2025,Restricted Electives,,,Creative Writing Electives 594 and 649 are repeatable with new content. (Other courses acceptable with consent of advisor),Choose  6 Credit(s).,CW,594,CW 594,Special Topics Workshop,2-4,,,
Creative Writing,MFA,Creative Writing - MFA,2192,46,,Graduate,2024-2025,Restricted Electives,,,Creative Writing Electives 594 and 649 are repeatable with new content. (Other courses acceptable with consent of advisor),Choose  6 Credit(s).,CW,649,CW 649,Topics in Creative Writing,2-4,,,
Creative Writing,MFA,Creative Writing - MFA,2192,46,,Graduate,2024-2025,Restricted Electives,,,Creative Writing Electives 594 and 649 are repeatable with new content. (Other courses acceptable with consent of advisor),Choose  6 Credit(s).,CW,698,CW 698,Internship,1-3,,,
Creative Writing,MFA,Creative Writing - MFA,2192,46,,Graduate,2024-2025,Restricted Electives,,,Writing Seminars/Workshops 549 and 594 are acceptable in this category when offered as writing workshops. Courses are repeatable with new content.,Choose  12 Credit(s).,CW,549,CW 549,Topics in Creative Writing Form and Technique,2-4,,,
Creative Writing,MFA,Creative Writing - MFA,2192,46,,Graduate,2024-2025,Restricted Electives,,,Writing Seminars/Workshops 549 and 594 are acceptable in this category when offered as writing workshops. Courses are repeatable with new content.,Choose  12 Credit(s).,CW,594,CW 594,Special Topics Workshop,2-4,,,
