ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Criminal Justice,BS,Criminal Justice - BS,201370119,120,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,201,CJ 201,Careers in Criminal Justice,3,,,
Criminal Justice,BS,Criminal Justice - BS,201370119,120,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,231,CJ 231,Criminal Law & Procedures,4,,,
Criminal Justice,BS,Criminal Justice - BS,201370119,120,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,309,CJ 309,Drugs and Society,3,,,
Criminal Justice,BS,Criminal Justice - BS,201370119,120,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,310,CJ 310,Research Methods in Criminal Justice & Criminology,3,,,
Criminal Justice,BS,Criminal Justice - BS,201370119,120,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,321,CJ 321,Victims/Survivors: Criminal Justice Response,3,,,
Criminal Justice,BS,Criminal Justice - BS,201370119,120,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,401,CJ 401,Advanced Crime Theory & Prevention,3,,,
Criminal Justice,BS,Criminal Justice - BS,201370119,120,,Undergraduate,2024-2025,Major Common Core,,,,,CJ,402,CJ 402,Criminal Justice Ethics and Leadership,3,,,
Criminal Justice,BS,Criminal Justice - BS,201370119,120,,Undergraduate,2024-2025,Major Common Core,,,Community Experiences Course must be taken twice in different terms for a total of 2 credits,Choose  2 Credit(s).,CJ,371,CJ 371,Criminal Justice Community Experiences,1,,,
Criminal Justice,BS,Criminal Justice - BS,201370119,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Cultural Competency ,Choose  3 Credit(s).,CJ,322,CJ 322,Peacekeeping in a Diverse Society I,3,,,Purple
Criminal Justice,BS,Criminal Justice - BS,201370119,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Cultural Competency ,Choose  3 Credit(s).,CJ,323,CJ 323,Cultural Competency in Corrections,3,,,Purple
Criminal Justice,BS,Criminal Justice - BS,201370119,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, 9 credits must be at the 300-400 level,Choose  12 Credit(s).,GEOG,352,GEOG 352,GIS for Crime Analysis,3,,,
Criminal Justice,BS,Criminal Justice - BS,201370119,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, 9 credits must be at the 300-400 level,Choose  12 Credit(s).,GWS,411,GWS 411, Sexual Assault Victim Advocacy,4,,,Purple
Criminal Justice,BS,Criminal Justice - BS,201370119,120,,Undergraduate,2024-2025,Major Unrestricted Electives,,, 9 credits must be at the 300-400 level,Choose  12 Credit(s).,PSYC,389,PSYC 389,Psychology and the Law,3,,,
Criminal Justice,BS,Criminal Justice - BS,201370119,120,,Undergraduate,2024-2025,Required General Education,,,,,CJ,101,CJ 101,Introduction to Criminal Justice Systems,3,,,Purple
Criminal Justice,BS,Criminal Justice - BS,201370119,120,,Undergraduate,2024-2025,Required General Education,,,,,CJ,255,CJ 255,Juvenile Delinquency & Justice,3,,,Purple
Criminal Justice,BS,Criminal Justice - BS,201370119,120,,Undergraduate,2024-2025,Required General Education,,,,,POL,111,POL 111,United States Government,4,,,
Criminal Justice,BS,Criminal Justice - BS,201370119,120,,Undergraduate,2024-2025,Required General Education,,,,,SOC,101,SOC 101,Introduction to Sociology,4,,,Purple
