ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Common Core,,,,,CJ,601,Practical Data Analysis & Application,3,"ART 392, ART 406",,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Common Core,,,,,CJ,603,Advanced Criminological Theory,3,"ART 392, ART 404",,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Common Core,,,,,CJ,604,Criminal Justice Systems Management and Administration,3,Jr. standing with consent of advisor and department chair. ,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Common Core,,,,,CJ,605,Critical Issues in Criminal Justice,3,Consent ,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Research/Methods Course(s),,,,,CJ,602,Advanced Research Methods,3,,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Capstone Course,,, ,Choose1 - 3 Credit(s).,CJ,691,Alternative Plan Paper,1-3,,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Capstone Course,,, ,Choose1 - 3 Credit(s).,CJ,692,Professional Portfolio,1-3,,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Capstone Course,,, ,Choose1 - 3 Credit(s).,CJ,693,Professional Project,1-3,,,Purple,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 14 Credit(s).,CJ,542,Study Tour: International Response to Terrorism,3,,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 14 Credit(s).,CJ,543,Study Tour: International Criminal Justice Systems,3,,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 14 Credit(s).,CJ,545,Criminal Justice Response to Terrorism and Political Violence,3,,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 14 Credit(s).,CJ,551,Administrative Law,3,,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 14 Credit(s).,CJ,553,Constitutional Law,3,,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 14 Credit(s).,CJ,554,Civil Liberties,3,,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 14 Credit(s).,CJ,585,Topics in Criminal Justice,3,,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 14 Credit(s).,CJ,622,Legal Issues in Criminal Justice,3,,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 14 Credit(s).,CJ,623,Organizational Planning and Budgeting,3,,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 14 Credit(s).,CJ,624,Public Policy in Criminal Justice Systems,3,,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 14 Credit(s).,CJ,626,Leadership Analysis and Development,3,,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 14 Credit(s).,CJ,631,Correctional Intervention,3,,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 14 Credit(s).,CJ,632,"Race, Crime, and Social Control",3,,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 14 Credit(s).,CJ,633,"Women, Crime, and Justice",3,,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 14 Credit(s).,CJ,641,Police Effectiveness,3,,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 14 Credit(s).,CJ,642,Criminal Justice Leadership During Crisis,3,,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 14 Credit(s).,CJ,643,Emergency Management,3,,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 14 Credit(s).,CJ,650,Seminar in Criminal Justice,3,,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 14 Credit(s).,CJ,698,Internship,,,,,
Criminal Justice,MS,Criminal Justice - MS,202523714,30,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 14 Credit(s).,CJ,699,Independent Study,,,,,
