ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Common Core,,, ,Choose  3 Credit(s).,PHIL,110,Logic and Critical Thinking,3,,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Common Core,,, ,Choose  3 Credit(s).,PHIL,112W,Scientific Reasoning,3,ART 104,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: Natural Science ,Choose  6 Credit(s).,PHIL,101W,Philosophical Problem: The Mind-Body Problem,3,ART 260 or consent,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: Natural Science ,Choose  6 Credit(s).,PHIL,420,Epistemology,3,ART 260 or consent ,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: Natural Science ,Choose  6 Credit(s).,PHIL,430,Metaphysics,3,ART 261 or consent ,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: Natural Science ,Choose  6 Credit(s).,PHIL,474,Philosophy of the Mind,3,Consent of advisor ,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: Natural Science ,Choose  6 Credit(s).,PHIL,475,Philosophical Issues in Cognitive Science,3,,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: Natural Science ,Choose  6 Credit(s).,PHIL,476,Philosophy of perception,3,,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: Natural Science ,Choose  6 Credit(s).,PHIL,480,Philosophy of Science,3,,,Purple,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 1: Natural Science ,Choose  6 Credit(s).,PHIL,481,Philosophy of Biology,3,"ART 260, ART 261 or consent ",,Purple,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: Humanities ,Choose  6 Credit(s).,PHIL,115W,"Philosophy of Race, Class and Gender",3,,,Purple,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: Humanities ,Choose  6 Credit(s).,PHIL,120W,Introduction to Ethics,3,ART 261 or consent ,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: Humanities ,Choose  6 Credit(s).,PHIL,205W,"Culture, Identity, and Diversity",3,"ART 392, ART 406",,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: Humanities ,Choose  6 Credit(s).,PHIL,358W,Topics in Asian Philosophy,3,ART 261 or consent ,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: Humanities ,Choose  6 Credit(s).,PHIL,361,Philosophy of Religion,3,"ART 260, ART 261",,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: Humanities ,Choose  6 Credit(s).,PHIL,455,Existentialism & Phenomenology,3,,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: Humanities ,Choose  6 Credit(s).,PHIL,460,Philosophy of the Arts,3,Consent ,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: Humanities ,Choose  6 Credit(s).,PHIL,465,Philosophy of Film,3,,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: Humanities ,Choose  6 Credit(s).,PHIL,476,Philosophy of Perception,3,,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 2: Humanities ,Choose  6 Credit(s).,PHIL,482,Philosophy of Social Science,3,,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 3: Social Science ,Choose  6 Credit(s).,PHIL,115W,"Philosophy of Race, Class and Gender",3,,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 3: Social Science ,Choose  6 Credit(s).,PHIL,205W,"Culture, Identity, and Diversity",3,ART 110 ,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 3: Social Science ,Choose  6 Credit(s).,PHIL,240W,"Law, Justice & Society",3,ART 110 ,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 3: Social Science ,Choose  6 Credit(s).,PHIL,321W,Social & Political Philosophy,3,ART 202,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 3: Social Science ,Choose  6 Credit(s).,PHIL,322W,Ethical Theory,3,,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 3: Social Science ,Choose  6 Credit(s).,PHIL,323W,Philosophy of Economics,3,,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 3: Social Science ,Choose  6 Credit(s).,PHIL,420,Epistemology,3,"ART 100 or ART 101, ART 110 or consent",,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 3: Social Science ,Choose  6 Credit(s).,PHIL,440,Philosophy of Law,3,"ART 100 or ART 101, ART 110 or consent",,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 3: Social Science ,Choose  6 Credit(s).,PHIL,455,Existentialism & Phenomenology,3,,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 3: Social Science ,Choose  6 Credit(s).,PHIL,476,Philosophy of Perception,3,,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 3: Social Science ,Choose  6 Credit(s).,PHIL,482,Philosophy of Social Science,3,,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 4: History ,Choose  6 Credit(s).,PHIL,323W,Philosophy of Economics,3,,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 4: History ,Choose  6 Credit(s).,PHIL,334W,History of Philosophy: Classical Philosophy,3,,,,
Critical Thinking,CERT,Critical Thinking - CERT,202165870,12,Undergraduate,2024-2025,Major Restricted Electives,,,Area 4: History ,Choose  6 Credit(s).,PHIL,336W,History of Philosophy: Renaissance and Modern Philosophy,3,ART 103 or consent ,,,
