ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Common Core,,,,,ETHN,650,ETHN 650,Helping Across Cultures,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Common Core,,,,,ETHN,660,ETHN 660,Cross-Cultural Training and Diversity Management,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Restricted Electives,,,(Select any six credits [two courses]. Courses must be from different categories.) 1. Category of Ethnic Families in the United States,Choose  3 Credit(s).,ETHN,570,ETHN 570,Women of Color,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Restricted Electives,,,(Select any six credits [two courses]. Courses must be from different categories.) 1. Category of Ethnic Families in the United States,Choose  3 Credit(s).,ETHN,590,ETHN 590,Racial/Ethnic Families in the U.S.,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Restricted Electives,,,"2. Category of Disability (Students may choose a course related to disability. Note: ""REHB 619 is not currently offered online. Another REHB course, e.g., REHB 677 can be substituted."")",Choose  3 Credit(s).,REHB,619,REHB 619,Psychosocial Aspects of Disability,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Restricted Electives,,,3. Category of Human Administrative Services ,Choose  3 Credit(s).,SOC,517,SOC 517,Program Administration,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Restricted Electives,,,3. Category of Human Administrative Services ,Choose  3 Credit(s).,URBS,553,URBS 553,Grants Administration,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Restricted Electives,,,3. Category of Human Administrative Services ,Choose  3 Credit(s).,URBS,650,URBS 650,Urban Administrative Services,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Unrestricted Electives,,,,,ETHN,500,ETHN 500,Cultural Pluralism,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Unrestricted Electives,,,,,ETHN,501,ETHN 501,Applied Cultural Research,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Unrestricted Electives,,,,,ETHN,502,ETHN 502,Ethnic Research Methods/Skills,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Unrestricted Electives,,,,,ETHN,505,ETHN 505,Perspectives on New Immigrants,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Unrestricted Electives,,,,,ETHN,510,ETHN 510,Foundations of Oppression,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Unrestricted Electives,,,,,ETHN,520,ETHN 520,African American Studies,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Unrestricted Electives,,,,,ETHN,540,ETHN 540,Asian American Studies,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Unrestricted Electives,,,,,ETHN,550,ETHN 550,Latino/Hispanic Studies,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Unrestricted Electives,,,,,ETHN,560,ETHN 560,Urban Minority Problems,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Unrestricted Electives,,,,,ETHN,570,ETHN 570,Women of Color,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Unrestricted Electives,,,,,ETHN,582,ETHN 582,African American Civil Rights Movement,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Unrestricted Electives,,,,,ETHN,586,ETHN 586,Racial and Ethnic Politics,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Unrestricted Electives,,,,,ETHN,590,ETHN 590,Racial/Ethnic Families in the U.S.,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Unrestricted Electives,,,,,ETHN,603,ETHN 603,Seminar in Ethnic/Cross-Cultural Studies,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Unrestricted Electives,,,,,ETHN,610,ETHN 610,Seminar on Foundations of Oppression,3,,,
Cultural Diversity,GC,Cultural Diversity - GC,6296,18,,Graduate,2024-2025,Unrestricted Electives,,,,,ETHN,677,ETHN 677,Individual Study,1-3,,,
