ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Dietetics,MS,Dietetics - MS,202323065,40,,Graduate,2024-2025,Capstone Course,,,,,FCS,610,FCS 610,Research and Evidence in Nutrition,3,,,
Dietetics,MS,Dietetics - MS,202323065,40,,Graduate,2024-2025,Common Core,,,,,CSP,571,CSP 571,Interpersonal Helping Skills,3,,,
Dietetics,MS,Dietetics - MS,202323065,40,,Graduate,2024-2025,Common Core,,,,,FCS,560,FCS 560,Foundations of Medical Nutrition Therapy,3,,,
Dietetics,MS,Dietetics - MS,202323065,40,,Graduate,2024-2025,Common Core,,,,,FCS,562,FCS 562,Advanced Medical Nutrition Therapy,3,FCS 560,,
Dietetics,MS,Dietetics - MS,202323065,40,,Graduate,2024-2025,Common Core,,,,,FCS,593,FCS 593,Supervised Experiential Learning I,1-6,,,
Dietetics,MS,Dietetics - MS,202323065,40,,Graduate,2024-2025,Common Core,,,,,FCS,601,FCS 601,Community and Behavioral Health Nutrition,3,,,
Dietetics,MS,Dietetics - MS,202323065,40,,Graduate,2024-2025,Common Core,,,,,FCS,630,FCS 630,Dietetics Graduate Seminar,1,,,
Dietetics,MS,Dietetics - MS,202323065,40,,Graduate,2024-2025,Common Core,,,,,FCS,631,FCS 631,Nutrition Education and Counseling,2,,,
Dietetics,MS,Dietetics - MS,202323065,40,,Graduate,2024-2025,Common Core,,,,,FCS,632,FCS 632,RDN Exam Prep,1,,,
Dietetics,MS,Dietetics - MS,202323065,40,,Graduate,2024-2025,Common Core,,,,,FCS,640,FCS 640,Nutritional Supplements and Pharmacology,2,,,
Dietetics,MS,Dietetics - MS,202323065,40,,Graduate,2024-2025,Common Core,,,,,FCS,693,FCS 693,Supervised Experiential Learning II,1-10,,,
Dietetics,MS,Dietetics - MS,202323065,40,,Graduate,2024-2025,Research/Methods Course(s),,,,,HLTH,675,HLTH 675,Applied Biostatistics,3,,,
