ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Earth Science,BS,Earth Science - BS,82,120,Undergraduate,2024-2025,Major Common Core,,,,,AST,101,Introduction to Astronomy,3,,,,
Earth Science,BS,Earth Science - BS,82,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,100,Our Natural World,4,,,,
Earth Science,BS,Earth Science - BS,82,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,201,General Chemistry I,5,“C” (2.0) or higher in MATH 112 or the equivalent; high school chemistry or “C” (2.0) or higher in CHEM 104.,,,
Earth Science,BS,Earth Science - BS,82,120,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,101,Introductory Physical Geography,4,,,,
Earth Science,BS,Earth Science - BS,82,120,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,217,Weather,4,,,,
Earth Science,BS,Earth Science - BS,82,120,Undergraduate,2024-2025,Major Common Core,,,,,GEOL,121,Physical Geology,4,,,,
Earth Science,BS,Earth Science - BS,82,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,211,Principles of Physics I,4,"Either MATH 112 and MATH 113, or MATH 115",,,
Earth Science,BS,Earth Science - BS,82,120,Undergraduate,2024-2025,Major Restricted Electives,,,,,ANTH,210,Introduction to Archaeology,4,,,,
Earth Science,BS,Earth Science - BS,82,120,Undergraduate,2024-2025,Major Restricted Electives,,,,,ANTH,331,Environmental Anthropology,4,,,,
Earth Science,BS,Earth Science - BS,82,120,Undergraduate,2024-2025,Major Restricted Electives,,,,,ANTH,417,Quaternary Environments and Climatic Change,4,"GEOG 101, ANTH 210; Students are strongly encouraged to take Geog 315 or 4/515 before enrolling. Geol 121 can be substituted for Geog 101 with instructor permission.",,,
