ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Education,MAT,Education - MAT,243,34,,Graduate,2024-2025,Common Core,,,,,KSP,600,KSP 600,Technology and Design in the Classroom,2-3,,,
Education,MAT,Education - MAT,243,34,,Graduate,2024-2025,Common Core,,,,,KSP,603,KSP 603,Critical Issues in Education,3,,,
Education,MAT,Education - MAT,243,34,,Graduate,2024-2025,Common Core,,,,,KSP,605,KSP 605,Planning and Pedagogy: Cultivating Equity-Based Learning Experiences,3,,,
Education,MAT,Education - MAT,243,34,,Graduate,2024-2025,Common Core,,,,,KSP,607,KSP 607,Powerful Partnerships with Families and Community,3,,,
Education,MAT,Education - MAT,243,34,,Graduate,2024-2025,Common Core,,,,,KSP,608,KSP 608,Asset-Based Pedagogy and Learning Environments,3,,,
Education,MAT,Education - MAT,243,34,,Graduate,2024-2025,Common Core,,,,,KSP,609,KSP 609,Research Methods,3,,,
Education,MAT,Education - MAT,243,34,,Graduate,2024-2025,Common Core,,,,,KSP,633,KSP 633,Assessment and Grading Practices with a Critical Lens,3,,,
Education,MAT,Education - MAT,243,34,,Graduate,2024-2025,Common Core,,,,,KSP,660,KSP 660,Student Teaching: K-12 and Secondary Programs,7-8                                     ,,,
Education,MAT,Education - MAT,243,34,,Graduate,2024-2025,Common Core,,,,,KSP,669,KSP 669,"Reading, Literacy, Multilingualism, and Student Advocacy in Education",3,,,
Education,MAT,Education - MAT,243,34,,Graduate,2024-2025,Common Core,,,,,KSP,674,KSP 674,Professional Seminar,1,,,
Education,MAT,Education - MAT,243,34,,Graduate,2024-2025,Common Core,,,,,KSP,699,KSP 699,Thesis,1-6,,,
