ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Educational Leadership,EDD,Educational Leadership - EDD,7752,90,,Graduate,2024-2025,Capstone Course,,,,,EDLD,799,EDLD 799,Dissertation,1-12,,,
Educational Leadership,EDD,Educational Leadership - EDD,7752,90,,Graduate,2024-2025,Common Core,,,,,EDLD,734,EDLD 734,Professional Development Colloquium I,3,,,
Educational Leadership,EDD,Educational Leadership - EDD,7752,90,,Graduate,2024-2025,Common Core,,,,,EDLD,735,EDLD 735,Professional Development Colloquium II,3,EDLD 734 Professional Development Colloquium I,,
Educational Leadership,EDD,Educational Leadership - EDD,7752,90,,Graduate,2024-2025,Common Core,,,,,EDLD,747,EDLD 747,Organizational and Critical Race Theory & Analysis,3,,,
Educational Leadership,EDD,Educational Leadership - EDD,7752,90,,Graduate,2024-2025,Common Core,,,,,EDLD,751,EDLD 751,Seminar: Advanced Leadership Ethics,3,,,
Educational Leadership,EDD,Educational Leadership - EDD,7752,90,,Graduate,2024-2025,Common Core,,,,,EDLD,752,EDLD 752,Seminar: Leadership Exemplars,3,,,
Educational Leadership,EDD,Educational Leadership - EDD,7752,90,,Graduate,2024-2025,Common Core,,,,,EDLD,759,EDLD 759,Influences and Assessment of Public Policy,3,,,
Educational Leadership,EDD,Educational Leadership - EDD,7752,90,,Graduate,2024-2025,Common Core,,,"Doctoral Internship (Specialization): Higher Education, P-12, or Non-Profit Leadership Select 4 credits each, in consultation with advisor, during Semester 3 and Semester 5.",Choose  8 Credit(s).,EDLD,798,EDLD 798,Doctoral Internship in Educational Leadership,1-12,,,
Educational Leadership,EDD,Educational Leadership - EDD,7752,90,,Graduate,2024-2025,Research/Methods Course(s),,,,,EDLD,782,EDLD 782,Design and Method in Qualitative Inquiry,3,,,
Educational Leadership,EDD,Educational Leadership - EDD,7752,90,,Graduate,2024-2025,Research/Methods Course(s),,,,,EDLD,792,EDLD 792,Quantitative Research Methods for Educational Leadership,3,,,
