ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Educational Leadership,SPEC,Educational Leadership - SPEC,4470,30,,Graduate,2024-2025,Common Core,,,,,EDLD,665,EDLD 665,Legal Issues in Administration,3,,,
Educational Leadership,SPEC,Educational Leadership - SPEC,4470,30,,Graduate,2024-2025,Common Core,,,,,EDLD,670,EDLD 670,Portfolio Review,1-6,,,
Educational Leadership,SPEC,Educational Leadership - SPEC,4470,30,,Graduate,2024-2025,Common Core,,,,,EDLD,671,EDLD 671,Introduction to School Administration,3,,,
Educational Leadership,SPEC,Educational Leadership - SPEC,4470,30,,Graduate,2024-2025,Common Core,,,,,EDLD,672,EDLD 672,Policy and Administration,3,,,
Educational Leadership,SPEC,Educational Leadership - SPEC,4470,30,,Graduate,2024-2025,Common Core,,,,,EDLD,673,EDLD 673,Leadership of Special Programs,3,,,
Educational Leadership,SPEC,Educational Leadership - SPEC,4470,30,,Graduate,2024-2025,Common Core,,,,,EDLD,674,EDLD 674,Supervision and Administration,3,,,
Educational Leadership,SPEC,Educational Leadership - SPEC,4470,30,,Graduate,2024-2025,Common Core,,,,,EDLD,679,EDLD 679,Advanced School Administration and Finance,3,,,
Educational Leadership,SPEC,Educational Leadership - SPEC,4470,30,,Graduate,2024-2025,Common Core,,,,,EDLD,682,EDLD 682,Field Based Research,3,,,
Educational Leadership,SPEC,Educational Leadership - SPEC,4470,30,,Graduate,2024-2025,Common Core,,,,,EDLD,698,EDLD 698,Internship in Administration,3-12,,,
Educational Leadership,SPEC,Educational Leadership - SPEC,4470,30,,Graduate,2024-2025,Restricted Electives,,,Superintendent and Additional Licensure Prerequisite: Must have a Specialist degree with administrative license before taking these courses.,,EDLD,635,EDLD 635,Second License Internship,1-6,,,
Educational Leadership,SPEC,Educational Leadership - SPEC,4470,30,,Graduate,2024-2025,Restricted Electives,,,Superintendent and Additional Licensure Prerequisite: Must have a Specialist degree with administrative license before taking these courses.,,EDLD,636,EDLD 636,Superintendent Internship,3-6,,,
Educational Leadership,SPEC,Educational Leadership - SPEC,4470,30,,Graduate,2024-2025,Restricted Electives,,,Superintendent and Additional Licensure Prerequisite: Must have a Specialist degree with administrative license before taking these courses.,,EDLD,637,EDLD 637,Superintendent Portfolio,1-6,,,
Educational Leadership,SPEC,Educational Leadership - SPEC,4470,30,,Graduate,2024-2025,Restricted Electives,,,Superintendent and Additional Licensure Prerequisite: Must have a Specialist degree with administrative license before taking these courses.,,EDLD,670,EDLD 670,Portfolio Review,1-6,,,
