ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,104,CHEM 104,Introduction to Chemistry,3,,,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Major Common Core,,,,,EET,340,EET 340,Programmable Hardware Technology,4,EE 234 and EE 235 or EET 254,,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Major Common Core,,,,,EET,341,EET 341,Electronic Shop Practices,2,EET 221,,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Major Common Core,,,,,EET,355,EET 355,Electrical Power Systems,4,"EET 114, MATH 127, PHYS 212",,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Major Common Core,,,,,EET,384,EET 384,Microprocessors II,4,,,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Major Common Core,,,,,EET,452,EET 452,Operational Amplifier Applications,3,"MATH 127, EET 223",,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Major Common Core,,,,,EET,456,EET 456,Analog Communications,4,EET 223,STAT 221,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Major Common Core,,,,,EET,461,EET 461,Industrial Automation I,4,"EET 223, EET 384",,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Major Common Core,,,,,EET,462,EET 462,Industrial Automation II,4, EET 461 ,,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Major Common Core,,,,,EET,497,EET 497,Internship,1-6,,,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Major Common Core,,,,,MET,427,MET 427,Quality Management Systems,3,STAT 154,,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Major Unrestricted Electives,,,,,STAT,154,STAT 154,Elementary Statistics,4," Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Major Unrestricted Electives,,,,,STAT,221,STAT 221,Applied Probability and Statistics for Engineers,3, MATH 112 with grade of “C” (2.0) or better ,,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Major Unrestricted Electives,,,,,STAT,354,STAT 354,Concepts of Probability & Statistics,4, MATH 122 with C or better or consent ,,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Other Graduation Requirements,,,,,EE,450,EE 450,Engineering Economics,3,Advanced standing in the program,,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EE,105,EE 105,Introduction to Electrical and Computer Engineering and Technology,1,,,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EE,107,EE 107,Intro to Electrical and Computer Engineering Through Software Development,3,,,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EE,234,EE 234,Microprocessor Engineering I,3,EE 107 or EET 142,,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EE,235,EE 235,Microprocessor Engineering Laboratory I,1,EE 234,EE 234,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EET,113,EET 113,DC Circuits,3,MATH 112 or MATH 115,,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EET,114,EET 114,AC Circuits,3,MATH 113 or MATH 115 may be taken concurrently.,,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EET,141,EET 141,Integrated Computer Technology I,4,, EET 113 ,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EET,143,EET 143,Integrated Computer Technology III,4,"EE 107, EET 142",,
Electronic Engineering Technology,BS,Electronic Engineering Technology - BS,2191,128,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EET,221,EET 221,Electronic CAD,3, EET 113,,
