ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Elementary Education,MS,Elementary Education - MS,209999785,31,,Graduate,2024-2025,Capstone Course,,, Select one option in consultation with your advisor.,Choose1 - 4 Credit(s).,ELE,694,ELE 694,Alternate Plan Paper,1-2,,,
Elementary Education,MS,Elementary Education - MS,209999785,31,,Graduate,2024-2025,Capstone Course,,, Select one option in consultation with your advisor.,Choose1 - 4 Credit(s).,ELE,695,ELE 695,Creative Projects,1-2,,,
Elementary Education,MS,Elementary Education - MS,209999785,31,,Graduate,2024-2025,Capstone Course,,, Select one option in consultation with your advisor.,Choose1 - 4 Credit(s).,ELE,699,ELE 699,Thesis,1-4,,,
Elementary Education,MS,Elementary Education - MS,209999785,31,,Graduate,2024-2025,Common Core,,,,,ELE,616,ELE 616,Teaching for Empowered Citizenship,3,,,
Elementary Education,MS,Elementary Education - MS,209999785,31,,Graduate,2024-2025,Common Core,,,,,ELE,635,ELE 635,Analysis of Research in Education,3,,,
Elementary Education,MS,Elementary Education - MS,209999785,31,,Graduate,2024-2025,Research/Methods Course(s),,,,,ELE,610,ELE 610,Scholarly Writing,3,,,
Elementary Education,MS,Elementary Education - MS,209999785,31,,Graduate,2024-2025,Restricted Electives,Math Track ,Math Track ,,,ELE,605,ELE 605,Equitable Practices for Teaching Elementary Mathematics,3,,,
Elementary Education,MS,Elementary Education - MS,209999785,31,,Graduate,2024-2025,Restricted Electives,Math Track ,Math Track ,,,ELE,644,ELE 644,Cultivating Equity through Formative Assessment in Elementary Mathematics,3,,,
Elementary Education,MS,Elementary Education - MS,209999785,31,,Graduate,2024-2025,Restricted Electives,Math Track ,Math Track ,,,ELE,646,ELE 646,Creating Inclusive Spaces for Learning Elementary Mathematics,3,,,
Elementary Education,MS,Elementary Education - MS,209999785,31,,Graduate,2024-2025,Restricted Electives,STEM Track ,STEM Track ,,,ELE,536,ELE 536,Engineering for Elementary Teachers,2,,,
Elementary Education,MS,Elementary Education - MS,209999785,31,,Graduate,2024-2025,Restricted Electives,STEM Track ,STEM Track ,,,ELE,546,ELE 546,Educational Technology-STEM,2,,,
Elementary Education,MS,Elementary Education - MS,209999785,31,,Graduate,2024-2025,Restricted Electives,STEM Track ,STEM Track ,,,ELE,567,ELE 567,"Integrating Science, Technology, Engineering and Mathematics",2,,,
Elementary Education,MS,Elementary Education - MS,209999785,31,,Graduate,2024-2025,Restricted Electives,STEM Track ,STEM Track ,,,ELE,650,ELE 650,Integrating Technology into the Literacy Curriculum,3,,,
