ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,AET,535,Automotive Design & Construction,,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,AET,536,Hybrid and Electric Vehicles,3,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,AET,568,Automotive Research Methods and Design of Experiments,4,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,AET,592,Seminar: Automotive,,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,AET,637,Automotive Emission Design and Measurement,,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,AET,638,High Performance Engineering,,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,AET,647,Advanced Automotive Emissions and Measurement,,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,AET,648,Advanced High Performance Engineering,,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,AET,661,Automotive Experimental Research 1,2,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,AET,662,Automotive Experimental Research 2,2,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,AET,663,Automotive Experimental Research 3,2,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,AET,664,Automotive Experimental Research 4,2,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,AET,677,Individual Study,,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,AET,694,Alternate Plan Paper,,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,AET,697,Internship: Automotive,,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,AET,699,Thesis,,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,CIVE,532,Properties of Concrete,3,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,CIVE,552,Open Channel Flow,3,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,CIVE,554,Hydraulic Structures,3,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,CIVE,558,Stormwater Management,3,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,CIVE,561,Fundamentals of Pavement Design,3,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,CIVE,567,Earth Structures,3,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,CIVE,571,Highway Planning and Design,3,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,CIVE,576,Planning and Design of Airports,3,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,CIVE,581,"Water and Wastewater Treatment, Collection and Distribution",3,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,CIVE,584,Landfill and Hazardous Waste Engineering,3,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,CIVE,594,Global Experience in Engineering and Technology,1,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,EE,539,Electronics for Non-Electrical Engineering Majors,4,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,EE,550,Engineering Economics,3,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,EE,553,Advanced Communication Systems Engineering,3,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,EE,556,Robotic Vision,3,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,EE,562,Advanced Digital Systems,3,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,EE,567,Principles of Engineering Design I,2,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,EE,570,Wireless Networking,3,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,EE,571,Advanced Control Systems,3,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,EE,572,Digital Signal Processing,3,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,EE,573,Electrical Power Systems Analysis and Design,3,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,EE,574,Power Electronics,4,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,EE,575,Integrated Circuit Engineering,3,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,EE,576,"Antennas, Propagation, & Microwave Engineering",3,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,EE,577,Principles of Engineering Design II,2,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,EE,578,Topics in Engineering,,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,EE,579,Superconductive Devices,3,,,,
Engineering,MS,Engineering - MS,503,32,Graduate,2024-2025,Restricted Electives,,, ,Choose26 - 33 Credit(s).,EE,580,Integrated Circuit Fabrication Lab,1,,,,
