ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Common Core,,,,,ENG,675,Technical Communication for STEM Professionals ,3,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Common Core,,,,,MET,525,Project & Value Management,3,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Common Core,,,,,MET,528,Lean Manufacturing,3,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Common Core,,,,,MET,625,Advanced Project Management,3,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Common Core,,,,,MET,627,Six Sigma from an Industrial Perspective,3,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Restricted Electives,,,MBA Electives ,Choose  6 Credit(s).,MBA,612,Data Analysis and Statistics for Managers,2,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Restricted Electives,,,MBA Electives ,Choose  6 Credit(s).,MBA,614,Economic Analysis for Managers,2,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Restricted Electives,,,MBA Electives ,Choose  6 Credit(s).,MBA,642,Management of Human Resources,2,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Restricted Electives,,,MBA Electives ,Choose  6 Credit(s).,MBA,645,Information Technology and Systems Management,2,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Restricted Electives,,,MBA Electives ,Choose  6 Credit(s).,MBA,651,Managing Behavior in a Changing World,2,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Restricted Electives,,,MBA Electives ,Choose  6 Credit(s).,MBA,657,Managing Service and Manufacturing Operations,2,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Restricted Electives,,,MBA Electives ,Choose  6 Credit(s).,MBA,667,Organizational Development and Change,2,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Unrestricted Electives,,,Manufacturing Electives ,Choose  6 Credit(s).,MET,507,Manufacturing Resource Planning and Control,3,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Unrestricted Electives,,,Manufacturing Electives ,Choose  6 Credit(s).,MET,523,Ergonomics & Work Measurement,3,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Unrestricted Electives,,,Manufacturing Electives ,Choose  6 Credit(s).,MET,526,Logistics & Transportation,3,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Unrestricted Electives,,,Manufacturing Electives ,Choose  6 Credit(s).,MET,527,Quality Management Systems,3,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Unrestricted Electives,,,Manufacturing Electives ,Choose  6 Credit(s).,MET,555,Project and Value Management II,3,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Unrestricted Electives,,,Manufacturing Electives ,Choose  6 Credit(s).,MET,628,Statistical Quality Control,3,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Unrestricted Electives,,,Manufacturing Electives ,Choose  6 Credit(s).,MET,645,Computer-Aided Engineering,1-3,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Unrestricted Electives,,,Manufacturing Electives ,Choose  6 Credit(s).,MET,678,Manufacturing Processes,2,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Unrestricted Electives,,,Manufacturing Electives ,Choose  6 Credit(s).,MET,679,Advanced Manufacturing Automation,3,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Unrestricted Electives,,,Manufacturing Electives ,Choose  6 Credit(s).,MET,692,Seminar: Manufacturing,1-3,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Unrestricted Electives,,,Manufacturing Electives ,Choose  6 Credit(s).,MET,697,Internship: Industrial,1-5,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Research/Methods Course(s),,,,,MET,654,Design of Experiments,3,,,,
Engineering Management,PSM,Engineering Management - PSM,201124877,32,Graduate,2024-2025,Capstone Course,,,,,MET,698,Professional Science Masters Capstone Experience,2,,,,
