ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
English Literature,GC,English Literature - GC,201718100,18,,Graduate,2024-2025,Common Core,,,,,ENG,606,ENG 606,British Literary History and Criticism,3,,,
English Literature,GC,English Literature - GC,201718100,18,,Graduate,2024-2025,Common Core,,,,,ENG,607,ENG 607,American Literary History and Criticism,3,,,
English Literature,GC,English Literature - GC,201718100,18,,Graduate,2024-2025,Common Core,,,,,ENG,635,ENG 635,Sem: World Literature,3,,,
English Literature,GC,English Literature - GC,201718100,18,,Graduate,2024-2025,Research/Methods Course(s),,,,,ENG,651,ENG 651,Introduction to Graduate Research,3,,,
English Literature,GC,English Literature - GC,201718100,18,,Graduate,2024-2025,Restricted Electives,,,Literature Seminar ,Choose3 - 6 Credit(s).,ENG,603,ENG 603,Sem: Selected Authors,3,,,
English Literature,GC,English Literature - GC,201718100,18,,Graduate,2024-2025,Restricted Electives,,,Literature Seminar ,Choose3 - 6 Credit(s).,ENG,605,ENG 605,Sem: Shakespeare,3,,,
English Literature,GC,English Literature - GC,201718100,18,,Graduate,2024-2025,Restricted Electives,,,Literature Seminar ,Choose3 - 6 Credit(s).,ENG,608,ENG 608,Sem: British Literature to 1800,3,,,
English Literature,GC,English Literature - GC,201718100,18,,Graduate,2024-2025,Restricted Electives,,,Literature Seminar ,Choose3 - 6 Credit(s).,ENG,609,ENG 609,Sem: British Literature after 1800,3,,,
English Literature,GC,English Literature - GC,201718100,18,,Graduate,2024-2025,Restricted Electives,,,Literature Seminar ,Choose3 - 6 Credit(s).,ENG,610,ENG 610,Sem: American Literature to 1865,3,,,
English Literature,GC,English Literature - GC,201718100,18,,Graduate,2024-2025,Restricted Electives,,,Literature Seminar ,Choose3 - 6 Credit(s).,ENG,611,ENG 611,Sem: American Literature after 1865,3,,,
English Literature,GC,English Literature - GC,201718100,18,,Graduate,2024-2025,Restricted Electives,,,Literature Seminar ,Choose3 - 6 Credit(s).,ENG,612,ENG 612,Seminar: Gender in Literature,3,,,
English Literature,GC,English Literature - GC,201718100,18,,Graduate,2024-2025,Restricted Electives,,,Literature Seminar ,Choose3 - 6 Credit(s).,ENG,618,ENG 618,Seminar: Multicultural American Literature,3,,,
English Literature,GC,English Literature - GC,201718100,18,,Graduate,2024-2025,Restricted Electives,,,Literature Seminar ,Choose3 - 6 Credit(s).,ENG,654,ENG 654,Teaching College-Level Literature,3,,,
English Literature,GC,English Literature - GC,201718100,18,,Graduate,2024-2025,Restricted Electives,,,Literature Seminar ,Choose3 - 6 Credit(s).,ENG,661,ENG 661,Topics in Children's & Young Adult Literature,2-3,,,
English Literature,GC,English Literature - GC,201718100,18,,Graduate,2024-2025,Restricted Electives,,,Literature Seminar ,Choose3 - 6 Credit(s).,ENG,671,ENG 671,Seminar: Literary Theory and Criticism,3,,,
