ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Capstone Course,,, ,Choose  1 Credit(s).,ENG,694,ENG 694,Alternate Plan Paper,1-2,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Common Core,,,,,ENG,606,ENG 606,British Literary History and Criticism,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Common Core,,,,,ENG,607,ENG 607,American Literary History and Criticism,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Common Core,,,,,ENG,635,ENG 635,Sem: World Literature,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Common Core,,,,,ENG,671,ENG 671,Seminar: Literary Theory and Criticism,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Research/Methods Course(s),,,,,ENG,651,ENG 651,Introduction to Graduate Research,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Restricted Electives,,, ,Choose  12 Credit(s).,ENG,603,ENG 603,Sem: Selected Authors,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Restricted Electives,,, ,Choose  12 Credit(s).,ENG,605,ENG 605,Sem: Shakespeare,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Restricted Electives,,, ,Choose  12 Credit(s).,ENG,608,ENG 608,Sem: British Literature to 1800,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Restricted Electives,,, ,Choose  12 Credit(s).,ENG,609,ENG 609,Sem: British Literature after 1800,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Restricted Electives,,, ,Choose  12 Credit(s).,ENG,610,ENG 610,Sem: American Literature to 1865,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Restricted Electives,,, ,Choose  12 Credit(s).,ENG,611,ENG 611,Sem: American Literature after 1865,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Restricted Electives,,, ,Choose  12 Credit(s).,ENG,612,ENG 612,Seminar: Gender in Literature,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Restricted Electives,,, ,Choose  12 Credit(s).,ENG,618,ENG 618,Seminar: Multicultural American Literature,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Restricted Electives,,, ,Choose  12 Credit(s).,ENG,625,ENG 625,Seminar: Composition Theory,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Restricted Electives,,, ,Choose  12 Credit(s).,ENG,654,ENG 654,Teaching College-Level Literature,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Restricted Electives,,, ,Choose  12 Credit(s).,ENG,661,ENG 661,Topics in Children's & Young Adult Literature,2-3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,501,ENG 501,Topics in Writing Studies,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,503,ENG 503,Selected Authors,,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,510,ENG 510,21st Century Literature,,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,526,ENG 526,Selected Periods,,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,533,ENG 533,Selected Studies in World Literature,4,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,535,ENG 535,The World Novel,,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,536,ENG 536,Native American Literature,,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,537,ENG 537,Latina/o Literature,,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,538,ENG 538,African American Literature,,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,555,ENG 555,Advanced Writing Workshop,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,556,ENG 556,Writing Center Theory and Pedagogy,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,566,ENG 566,Usability,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,567,ENG 567,International Technical Communication,,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,569,ENG 569,Project Management in Technical Communication,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,571,ENG 571,Visual Technical Communication,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,572,ENG 572,Topics in Technical Communication,,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,575,ENG 575,Editing Technical Publications,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,577,ENG 577,"Technical Documentation, Policies, & Procedures",3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,582,ENG 582,Teaching Listening and Speaking to English Learners,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,583,ENG 583,Writing About Health and Medicine,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,584,ENG 584,Teaching Grammar and Vocabulary to English Learners,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,586,ENG 586,Theories of Second Language Teaching and Learning,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,587,ENG 587,Teaching Reading and Writing to English Learners,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,589,ENG 589,"Policies, Programs, and Assessment for K-12 English Learners",3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,592,ENG 592,Selected Topics,,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,594,ENG 594,English Workshop,,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,622,ENG 622,Workshop for Composition Teaching Assistants,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,623,ENG 623,Workshop for Second Language Writing Teaching Assistants,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,624,ENG 624,TESOL Practical Experience,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,627,ENG 627,Research Methods in TESOL/Applied Linguistics,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,628,ENG 628,Second Language Writing,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,629,ENG 629,Second Language Literacy,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,633,ENG 633,Second Language Acquisition,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,634,ENG 634,Topics in TESOL/Applied Linguistics,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,646,ENG 646,Contemporary Prose,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,647,ENG 647,Contemporary Poetry,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,655,ENG 655,Topics in Teaching Writing,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,656,ENG 656,Teacher Research in the Writing Classroom,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,657,ENG 657,Teaching Writing with Literature,3,,,
English,MA,English - MA,6849,32,Literature and English Studies,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  6 Credit(s).,ENG,662,ENG 662,Topics in English Education,,,,
