ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Environmental Science,MS,Environmental Science - MS,4456,34,,Graduate,2024-2025,Capstone Course,,, ,Choose3 - 6 Credit(s).,ENVR,699,ENVR 699,Thesis,1-6,,,
Environmental Science,MS,Environmental Science - MS,4456,34,,Graduate,2024-2025,Common Core,,,,,BIOL,510,BIOL 510,Global Change Biology,3,,,
Environmental Science,MS,Environmental Science - MS,4456,34,,Graduate,2024-2025,Common Core,,,,,ENVR,540,ENVR 540,Environmental Regulations,3,,,
Environmental Science,MS,Environmental Science - MS,4456,34,,Graduate,2024-2025,Common Core,,,,,ENVR,550,ENVR 550,Environmental Pollution & Control,3,,,
Environmental Science,MS,Environmental Science - MS,4456,34,,Graduate,2024-2025,Common Core,,,,,ENVR,560,ENVR 560,Analysis of Pollutants,4,,,
Environmental Science,MS,Environmental Science - MS,4456,34,,Graduate,2024-2025,Common Core,,,,,ENVR,570,ENVR 570,Environmental Assessment,3,,,
Environmental Science,MS,Environmental Science - MS,4456,34,,Graduate,2024-2025,Restricted Electives,,,Environmental Science  ,Choose  6 Credit(s).,GEOG,673,GEOG 673,Advanced GIS,3,,,
Environmental Science,MS,Environmental Science - MS,4456,34,,Graduate,2024-2025,Restricted Electives,,,Environmental Science  ,Choose  6 Credit(s).,GEOG,681,GEOG 681,Environmental Issues,3,,,
Environmental Science,MS,Environmental Science - MS,4456,34,,Graduate,2024-2025,Restricted Electives,,,Environmental Science  ,Choose  6 Credit(s).,URBS,604,URBS 604,Planning Law,3,,,
Environmental Science,MS,Environmental Science - MS,4456,34,,Graduate,2024-2025,Restricted Electives,,,Environmental Science  ,Choose  6 Credit(s).,URBS,661,URBS 661,Long Range & Strategic Planning,3,,,
Environmental Science,MS,Environmental Science - MS,4456,34,,Graduate,2024-2025,Restricted Electives,,,Environmental Science  ,Choose  6 Credit(s).,URBS,662,URBS 662,Planning the Built Enrironment,3,,,
